,index,name,names,gender,total_agent,total_object,perc_agent
1,499,Jupiter,"['Jupiter', 'Ammon', 'mighty Jupiter', 'Jupiter Ammon', 'horned Jupiter Ammon', 'Libyan Ammon']",he/him/his,76,21,0.7835051546
2,605,Jove,"['Jove', 'Hector', 'Ajax', 'mighty Jove', 'brave Ajax', 'But Ajax , who had so often stood alone against Hector , against sword and flame , against Jove himself , could not stand against mere passion , and indignation conquered the unconquerable hero']",he/him/his,71,20,0.7802197802
3,1482,the god,"['the god', 'The god']",he/him/his,99,12,0.8918918919
5,519,Phoebus,"['Phoebus', 'Apollo', 'Phoebus Apollo']",he/him/his,69,8,0.8961038961
6,1835,the boy,"['the boy', 'The boy']",he/him/his,69,25,0.7340425532
8,941,Hercules,"['Hercules', 'mighty Hercules', 'brave Hercules', 'Tyrinthian Hercules']",he/him/his,58,7,0.8923076923
9,1161,Achilles,"['Achilles', 'great Achilles', 'fierce Achilles', 'savage Achilles', 'mighty Achilles']",he/him/his,51,14,0.7846153846
10,776,Perseus,['Perseus'],he/him/his,67,9,0.8815789474
11,553,Phaethon,"['Phaethon', 'brave Phaethon', 'the unlucky Phaethon', 'PHAETHON']",he/him/his,48,4,0.9230769231
14,1694,her father,"['her father', 'Her father']",he/him/his,34,11,0.7555555556
16,1385,Vertumnus,['Vertumnus'],he/him/his,45,5,0.9
19,6572,the king,"['the king', 'The king']",he/him/his,38,13,0.7450980392
21,634,Cadmus,['Cadmus'],he/him/his,32,5,0.8648648649
22,958,Theseus,"['Theseus', 'Great Theseus']",he/him/his,41,5,0.8913043478
23,965,Minos,"['Minos', 'my Minos , who is scorned because of the bitter weight of old age , and no longer orders the kingdom in the way he did before']",he/him/his,36,7,0.8372093023
24,974,Peleus,"['Peleus', 'the exiled Peleus']",he/him/his,37,4,0.9024390244
25,1775,his father,"['his father', 'His father']",he/him/his,21,8,0.724137931
26,1852,the father,"['the father', 'The father']",he/him/his,31,4,0.8857142857
28,1321,Aeneas,"['Aeneas', 'Trojan', 'Trojan Aeneas', 'a weeping Aeneas , who was unsure of his future']",he/him/his,36,6,0.8571428571
29,908,Tereus,"['Tereus', 'the unsuspecting Tereus']",he/him/his,30,7,0.8108108108
34,2234,the hero,"['the hero', 'The hero']",he/him/his,24,5,0.8275862069
37,5857,my father,"['my father', 'My father']",he/him/his,18,1,0.9473684211
38,924,Jason,"['Jason', 'Jason of Pagasae']",he/him/his,21,5,0.8076923077
39,1347,Achaemenides,['Achaemenides'],he/him/his,27,9,0.75
40,2082,the lover,"['the lover', 'The lover']",he/him/his,26,8,0.7647058824
41,514,Neptune,['Neptune'],he/him/his,33,3,0.9166666667
42,1773,his son,"['his son', 'His son']",he/him/his,17,10,0.6296296296
44,5872,her husband,['her husband'],he/him/his,7,10,0.4117647059
48,546,Atlas,"['Atlas', 'Great Atlas', 'mighty Atlas']",he/him/his,18,3,0.8571428571
49,4411,The Berecyntian king,['The Berecyntian king'],he/him/his,25,4,0.8620689655
50,1271,Ulysses,"['Ulysses', 'The Dulichian', 'Dulichian Ulysses', 'victorious Ulysses']",he/him/his,21,8,0.724137931
52,598,Cycnus,['Cycnus'],he/him/his,14,6,0.7
53,1006,Meleager,['Meleager'],he/him/his,14,1,0.9333333333
54,1162,Ceyx,"['Ceyx', 'King Ceyx']",he/him/his,20,3,0.8695652174
55,1328,Polyphemus,"['Polyphemus', 'grim Polyphemus']",he/him/his,18,1,0.9473684211
60,5875,the man,"['the man', 'The man']",he/him/his,14,8,0.6363636364
63,1014,Caeneus,"['Caeneus', 'the Thessalian', 'Thessalian Caeneus']",he/him/his,14,8,0.6363636364
64,1426,Cipus,['Cipus'],he/him/his,23,2,0.92
67,819,Dorylas,['Dorylas'],he/him/his,16,5,0.7619047619
68,879,Cinyras,['Cinyras'],he/him/his,9,9,0.5
69,1145,Hippomenes,"['Hippomenes', 'Poor Hippomenes']",he/him/his,17,8,0.68
72,791,Phineus,"['Phineus', 'most cowardly Phineus']",he/him/his,21,1,0.9545454545
77,1255,Latreus,['Latreus'],he/him/his,13,4,0.7647058824
78,5901,Girl,"['Girl', 'girl']",he/him/his,12,9,0.5714285714
80,497,Boreas,"['Boreas', 'Chill Boreas']",he/him/his,30,1,0.9677419355
81,2019,a boy,"['a boy', 'A BOY']",he/him/his,8,3,0.7272727273
82,5897,a man,['a man'],he/him/his,2,4,0.3333333333
86,1027,Nestor,"['Nestor', 'King Nestor of Pylos']",he/him/his,15,4,0.7894736842
87,7812,the poet,"['the poet', 'The poet']",he/him/his,8,5,0.6153846154
89,1119,Orpheus,"['Orpheus', 'Thracian Orpheus']",he/him/his,14,4,0.7777777778
90,1461,a god,['a god'],he/him/his,20,2,0.9090909091
91,509,Augustus,['Augustus'],he/him/his,13,2,0.8666666667
92,545,Mercury,"['Mercury', 'Mercury Atlantiades', 'Atlantiades']",he/him/his,24,1,0.96
93,1842,the youth,['the youth'],he/him/his,8,7,0.5333333333
96,972,Aeacus,['Aeacus'],he/him/his,8,3,0.7272727273
99,8996,Alemon ’s son,['Alemon ’s son'],he/him/his,16,3,0.8421052632
100,1581,the king of the gods,"['the king of the gods', 'The king of the gods']",he/him/his,17,2,0.8947368421
103,692,Pentheus,"['Pentheus', 'punished Pentheus']",he/him/his,17,5,0.7727272727
105,536,Inachus,"['Inachus', 'Old Inachus']",he/him/his,13,3,0.8125
106,542,Argus,['Argus'],he/him/his,17,5,0.7727272727
107,2079,the Raven,['the Raven'],he/him/his,13,3,0.8125
110,1808,your father,"['your father', 'Your father']",he/him/his,4,3,0.5714285714
111,973,Telamon,['Telamon'],he/him/his,9,2,0.8181818182
114,957,Aegeus,['Aegeus'],he/him/his,5,0,1
115,508,Caesar,['Caesar'],he/him/his,5,2,0.7142857143
116,511,Aeolus,"['Aeolus', 'King Aeolus']",he/him/his,6,0,1
117,1856,her grandson,['her grandson'],he/him/his,12,2,0.8571428571
118,6107,the old man,"['the old man', 'The old man']",he/him/his,10,3,0.7692307692
120,1057,Erysichthon,['Erysichthon'],he/him/his,13,2,0.8666666667
121,3843,the centaur,"['the centaur', 'The centaur']",he/him/his,13,0,1
123,1537,the all - powerful father of the gods,['the all - powerful father of the gods'],he/him/his,20,1,0.9523809524
128,1181,Priam,"['Priam', 'old Priam']",he/him/his,3,3,0.5
129,8276,his cowardly friend,['his cowardly friend'],he/him/his,8,8,0.5
134,3158,the Thracian king,"['the Thracian king', 'The Thracian king']",he/him/his,11,2,0.8461538462
135,6993,my brother,['my brother'],he/him/his,5,8,0.3846153846
136,928,Aeson,['Aeson'],he/him/his,3,3,0.5
139,4428,The aged judge,['The aged judge'],he/him/his,8,3,0.7272727273
142,549,Pan,['Pan'],he/him/his,15,1,0.9375
145,794,Athis,['Athis'],he/him/his,4,1,0.8
147,7271,Europa ’s son,['Europa ’s son'],he/him/his,10,0,1
150,1350,Eurylochus,['Eurylochus'],he/him/his,12,4,0.75
152,6106,Jupiter ’s son,['Jupiter ’s son'],he/him/his,7,3,0.7
153,635,Mars,"['Mars', 'mighty Mars']",he/him/his,8,1,0.8888888889
154,2222,the son of Agenor,"['the son of Agenor', 'The son of Agenor']",he/him/his,15,2,0.8823529412
156,3301,Aeson ’s son,['Aeson ’s son'],he/him/his,5,4,0.5555555556
159,7883,this one,['this one'],he/him/his,8,4,0.6666666667
160,4706,the son,['the son'],he/him/his,7,3,0.7
164,6039,her son,['her son'],he/him/his,1,2,0.3333333333
