aaaaaaah	-0.042	0.212	-0.418
aaaah	0.04	0.272	-0.436
aardvark	-0.146	-0.02	-0.126
aback	-0.23	-0.186	-0.424
abacus	0.02	-0.448	-0.03
abalone	0	-0.04	-0.176
abandon	-0.896	0.038	-0.51
abandoned	-0.908	-0.038	-0.74
abandonment	-0.744	-0.14	-0.596
abashed	-0.646	0.288	-0.386
abate	-0.49	0.392	0.208
abatement	-0.224	-0.324	-0.328
abba	0.124	0	-0.04
abbey	0.16	-0.266	-0.112
abbot	-0.146	-0.358	-0.034
abbreviate	0.062	-0.25	-0.34
abbreviation	-0.062	-0.388	-0.31
abdomen	-0.062	-0.076	-0.058
abdominal	-0.02	-0.088	-0.11
abduct	-0.654	0.44	0.23
abduction	-0.876	0.98	0.346
aberrant	-0.708	0.53	-0.138
aberration	-0.75	0.632	-0.166
abeyance	-0.34	0.02	-0.416
abhor	-0.75	0.204	-0.302
abhorrence	-0.666	0.368	-0.16
abhorrent	-0.542	0.5	-0.052
abide	0.27	-0.292	0.41
abiding	0.592	-0.346	0.5
ability	0.75	0.02	0.632
abject	-0.292	0.18	-0.166
ablation	-0.164	0	0
ablaze	-0.52	0.694	0.05
able	0.572	0	0.62
abnormal	-0.726	0.208	-0.382
abnormality	-0.816	0.31	-0.234
aboard	0.396	-0.432	-0.038
abode	0.24	-0.396	0
abolish	-0.104	0.23	0.058
abolition	-0.354	0.38	0.058
abominable	-0.76	0.462	-0.036
abominate	-0.604	0.576	-0.268
abomination	-0.844	0.51	0.036
aboriginal	-0.104	-0.146	0.084
abort	-0.694	0.372	-0.142
abortion	-0.836	0.54	-0.434
abortive	-0.82	0.552	-0.44
abound	0.408	-0.02	0.362
abovementioned	0.082	-0.404	0.018
abracadabra	0.346	0.264	-0.132
abrasion	-0.188	0.184	-0.118
abrasive	-0.216	0.22	0.186
abreast	0.27	-0.24	0.038
abroad	0.354	0.192	0.122
abrogate	-0.346	0.02	0.188
abrupt	-0.458	0.638	0.09
abruptly	-0.5	0.616	0.112
abscess	-0.692	-0.098	-0.302
absence	-0.694	-0.53	-0.468
absent	-0.646	-0.558	-0.768
absentee	-0.53	-0.34	-0.442
absenteeism	-0.192	-0.454	-0.286
absinthe	-0.038	0.02	-0.076
absolute	0.052	0.02	0.654
absolution	0.43	0	0.328
absolve	0.368	-0.102	0.32
absorb	-0.062	0.116	0.34
absorbed	-0.02	-0.058	0.038
absorbent	0.104	-0.212	0.436
absorbing	-0.02	-0.02	0.156
absorption	0.218	-0.156	-0.108
abstain	-0.23	-0.23	-0.146
abstention	-0.458	-0.472	0.018
abstinence	-0.48	-0.216	-0.142
abstract	-0.124	-0.416	-0.112
abstraction	-0.062	-0.122	0.05
