English Word	Valence	Arousal	Dominance	Azerbaijani Word
aaaaaaah	0.479	0.606	0.291	aaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	heyrətdə
abacus	0.510	0.276	0.485	abak
abalone	0.500	0.480	0.412	abalone
abandon	0.052	0.519	0.245	tərk etmək
abandoned	0.046	0.481	0.130	tərk edilmiş
abandonment	0.128	0.430	0.202	tərk etmə
abashed	0.177	0.644	0.307	utandı
abate	0.255	0.696	0.604	azalmaq
abatement	0.388	0.338	0.336	azaldılması
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	abbey
abbot	0.427	0.321	0.483	abbat
abbreviate	0.531	0.375	0.330	qısaltmaq
abbreviation	0.469	0.306	0.345	abbreviatura
abdomen	0.469	0.462	0.471	qarın
abdominal	0.490	0.456	0.445	qarın
abduct	0.173	0.720	0.615	qaçırmaq
abduction	0.062	0.990	0.673	qaçırma
aberrant	0.146	0.765	0.431	anormal
aberration	0.125	0.816	0.417	aberasiya
abeyance	0.330	0.510	0.292	fasilə
abhor	0.125	0.602	0.349	nifrət etmək
abhorrence	0.167	0.684	0.420	nifrət
abhorrent	0.229	0.750	0.474	iyrənc
abide	0.635	0.354	0.705	qalmaq
abiding	0.796	0.327	0.750	davamlı
ability	0.875	0.510	0.816	bacarığı
abject	0.354	0.590	0.417	alçaq
ablation	0.418	0.500	0.500	ablasyon
ablaze	0.240	0.847	0.525	alovlanır
able	0.786	0.500	0.810	bacarır
abnormal	0.137	0.604	0.309	anormal
abnormality	0.092	0.655	0.383	anormallıq
aboard	0.698	0.284	0.481	göyərtədə
abode	0.620	0.302	0.500	məskən
abolish	0.448	0.615	0.529	ləğv etmək
abolition	0.323	0.690	0.529	ləğvi
abominable	0.120	0.731	0.482	iyrənc
abominate	0.198	0.788	0.366	iyrənc
abomination	0.078	0.755	0.518	iyrənclik
aboriginal	0.448	0.427	0.542	aborigen
abort	0.153	0.686	0.429	dayandırmaq
abortion	0.082	0.770	0.283	abort
abortive	0.090	0.776	0.280	uğursuz
abound	0.704	0.490	0.681	boldur
abovementioned	0.541	0.298	0.509	yuxarıda qeyd olunan
abracadabra	0.673	0.632	0.434	abrakadabra
abrasion	0.406	0.592	0.441	aşınma
abrasive	0.392	0.610	0.593	aşındırıcı
abreast	0.635	0.380	0.519	ayaqlaşın
abroad	0.677	0.596	0.561	xaricdə
abrogate	0.327	0.510	0.594	ləğv etmək
abrupt	0.271	0.819	0.545	kəskin
abruptly	0.250	0.808	0.556	Kobudcasına
abscess	0.154	0.451	0.349	abses
absence	0.153	0.235	0.266	yoxluq
