English Word	Valence	Arousal	Dominance	Icelandic Word
aaaaaaah	0.479	0.606	0.291	aaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	jarðvarkur
aback	0.385	0.407	0.288	undrandi
abacus	0.510	0.276	0.485	abacus
abalone	0.500	0.480	0.412	abalone
abandon	0.052	0.519	0.245	að segja skilið við
abandoned	0.046	0.481	0.130	yfirgefinn
abandonment	0.128	0.430	0.202	yfirgefa
abashed	0.177	0.644	0.307	skammaður
abate	0.255	0.696	0.604	draga úr
abatement	0.388	0.338	0.336	lækkun
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	klaustrið
abbot	0.427	0.321	0.483	ábóti
abbreviate	0.531	0.375	0.330	stytta
abbreviation	0.469	0.306	0.345	skammstöfun
abdomen	0.469	0.462	0.471	kvið
abdominal	0.490	0.456	0.445	kvið
abduct	0.173	0.720	0.615	ræna
abduction	0.062	0.990	0.673	brottnám
aberrant	0.146	0.765	0.431	afbrigðilegt
aberration	0.125	0.816	0.417	frávik
abeyance	0.330	0.510	0.292	þráhyggja
abhor	0.125	0.602	0.349	andstyggð
abhorrence	0.167	0.684	0.420	andstyggð
abhorrent	0.229	0.750	0.474	viðbjóðslegur
abide	0.635	0.354	0.705	standast
abiding	0.796	0.327	0.750	varanleg
ability	0.875	0.510	0.816	getu
abject	0.354	0.590	0.417	ömurlegt
ablation	0.418	0.500	0.500	brottnám
ablaze	0.240	0.847	0.525	loga
able	0.786	0.500	0.810	fær
abnormal	0.137	0.604	0.309	óeðlilegt
abnormality	0.092	0.655	0.383	óeðlilegt
aboard	0.698	0.284	0.481	um borð
abode	0.620	0.302	0.500	aðsetur
abolish	0.448	0.615	0.529	afnema
abolition	0.323	0.690	0.529	afnám
abominable	0.120	0.731	0.482	viðurstyggilegur
abominate	0.198	0.788	0.366	viðurstyggð
abomination	0.078	0.755	0.518	viðurstyggð
aboriginal	0.448	0.427	0.542	frumbyggja
abort	0.153	0.686	0.429	hætta
abortion	0.082	0.770	0.283	fóstureyðingu
abortive	0.090	0.776	0.280	fóstureyðing
abound	0.704	0.490	0.681	nóg
abovementioned	0.541	0.298	0.509	fyrrnefndur
abracadabra	0.673	0.632	0.434	abrakadabra
abrasion	0.406	0.592	0.441	núningi
abrasive	0.392	0.610	0.593	slípiefni
abreast	0.635	0.380	0.519	við hlið
abroad	0.677	0.596	0.561	erlendis
abrogate	0.327	0.510	0.594	fella niður
abrupt	0.271	0.819	0.545	skyndilega
abruptly	0.250	0.808	0.556	skyndilega
abscess	0.154	0.451	0.349	ígerð
absence	0.153	0.235	0.266	fjarveru
