English Word	Valence	Arousal	Dominance	Romanian Word
aaaaaaah	0.479	0.606	0.291	aaaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	surprins
abacus	0.510	0.276	0.485	abac
abalone	0.500	0.480	0.412	abalone
abandon	0.052	0.519	0.245	abandon
abandoned	0.046	0.481	0.130	abandonat
abandonment	0.128	0.430	0.202	abandon
abashed	0.177	0.644	0.307	ruşinat
abate	0.255	0.696	0.604	reduce
abatement	0.388	0.338	0.336	reducere
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	abaţie
abbot	0.427	0.321	0.483	stareţ
abbreviate	0.531	0.375	0.330	prescurta
abbreviation	0.469	0.306	0.345	abreviere
abdomen	0.469	0.462	0.471	abdomen
abdominal	0.490	0.456	0.445	abdominale
abduct	0.173	0.720	0.615	răpi
abduction	0.062	0.990	0.673	răpire
aberrant	0.146	0.765	0.431	aberant
aberration	0.125	0.816	0.417	aberaţie
abeyance	0.330	0.510	0.292	suspendare
abhor	0.125	0.602	0.349	detesta
abhorrence	0.167	0.684	0.420	oroare
abhorrent	0.229	0.750	0.474	dezgustător
abide	0.635	0.354	0.705	conforma
abiding	0.796	0.327	0.750	stăruitor
ability	0.875	0.510	0.816	abilitate
abject	0.354	0.590	0.417	abject
ablation	0.418	0.500	0.500	ablatie
ablaze	0.240	0.847	0.525	în flăcări
able	0.786	0.500	0.810	in stare
abnormal	0.137	0.604	0.309	anormal
abnormality	0.092	0.655	0.383	anomalie
aboard	0.698	0.284	0.481	la bordul
abode	0.620	0.302	0.500	locuinţă
abolish	0.448	0.615	0.529	aboli
abolition	0.323	0.690	0.529	abolire
abominable	0.120	0.731	0.482	abominabil
abominate	0.198	0.788	0.366	detesta
abomination	0.078	0.755	0.518	urâciune
aboriginal	0.448	0.427	0.542	aborigeni
abort	0.153	0.686	0.429	avorta
abortion	0.082	0.770	0.283	intrerupere de sarcina
abortive	0.090	0.776	0.280	avortiv
abound	0.704	0.490	0.681	abunda
abovementioned	0.541	0.298	0.509	menționat mai sus
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	abraziune
abrasive	0.392	0.610	0.593	abraziv
abreast	0.635	0.380	0.519	la pas
abroad	0.677	0.596	0.561	in strainatate
abrogate	0.327	0.510	0.594	abroga
abrupt	0.271	0.819	0.545	bruscă
abruptly	0.250	0.808	0.556	brusc
abscess	0.154	0.451	0.349	abces
absence	0.153	0.235	0.266	absenta
absent	0.177	0.221	0.116	absent
absentee	0.235	0.330	0.279	absent
absenteeism	0.404	0.273	0.357	absenteism
absinthe	0.481	0.510	0.462	absint
absolute	0.526	0.510	0.827	absolut
absolution	0.715	0.500	0.664	absolvire
absolve	0.684	0.449	0.660	absolvi
absorb	0.469	0.558	0.670	absorbi
absorbed	0.490	0.471	0.519	absorbit
absorbent	0.552	0.394	0.718	absorbant
absorbing	0.490	0.490	0.578	absorbant
absorption	0.609	0.422	0.446	absorbţie
abstain	0.385	0.385	0.427	se abține
abstention	0.271	0.264	0.509	abţinere
abstinence	0.260	0.392	0.429	abstinenta
abstract	0.438	0.292	0.444	abstract
abstraction	0.469	0.439	0.525	abstractizare
absurd	0.188	0.656	0.284	absurd
absurdity	0.115	0.528	0.227	absurditate
abundance	0.812	0.690	0.852	abundenţă
abundant	0.958	0.590	0.760	abundent
abuse	0.071	0.873	0.469	abuz
abused	0.021	0.874	0.235	abuzat
abusive	0.125	0.903	0.567	abuziv
abutment	0.500	0.265	0.616	bont
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	abisal
abyss	0.353	0.725	0.296	abis
academic	0.781	0.420	0.812	academic
academy	0.704	0.473	0.792	academie
accede	0.698	0.510	0.537	adera
accelerant	0.643	0.844	0.802	accelerant
accelerate	0.615	0.902	0.759	accelera
accelerated	0.610	0.812	0.682	accelerat
acceleration	0.704	0.905	0.843	accelerare
accelerator	0.593	0.830	0.812	accelerator
accent	0.598	0.357	0.509	accent
accentuate	0.673	0.556	0.667	accentua
accept	0.847	0.286	0.565	Accept
acceptable	0.812	0.286	0.583	acceptabil
acceptance	0.833	0.287	0.755	acceptare
acceptances	0.847	0.413	0.648	acceptări
access	0.714	0.472	0.567	acces
accessible	0.796	0.410	0.645	accesibil
accession	0.612	0.383	0.636	aderare
accessory	0.562	0.292	0.445	accesorii
accident	0.125	0.908	0.336	accident
accidental	0.319	0.784	0.307	accidental
accidentally	0.333	0.741	0.333	accidental
acclaim	0.562	0.809	0.718	aclama
accolade	0.688	0.591	0.775	acoladă
accommodate	0.844	0.375	0.566	găzdui
accommodation	0.817	0.415	0.587	cazare
accompaniment	0.740	0.479	0.695	acompaniament
accompany	0.833	0.406	0.585	însoți
accompanying	0.787	0.460	0.582	însoțitor
accomplice	0.408	0.580	0.510	complice
accomplish	0.929	0.673	0.816	realiza
accomplished	0.870	0.520	0.798	realizat
accomplishment	0.917	0.694	0.888	realizare
accord	0.898	0.264	0.382	acord
accordance	0.659	0.349	0.600	în conformitate
accordion	0.604	0.490	0.361	acordeon
account	0.531	0.347	0.472	cont
accountability	0.755	0.537	0.833	responsabilitate
accountable	0.709	0.282	0.777	responsabil
accountant	0.625	0.450	0.639	contabil
accounting	0.552	0.390	0.677	contabilitate
accounts	0.592	0.340	0.471	conturi
accredited	0.669	0.479	0.768	acreditat
accretion	0.448	0.519	0.672	acumulare
accrue	0.520	0.481	0.602	acumulează
accueil	0.450	0.451	0.470	primire
accumulate	0.573	0.536	0.607	acumula
accumulation	0.479	0.527	0.600	acumulare
accuracy	0.604	0.481	0.802	precizie
accurate	0.743	0.360	0.737	exacte
accursed	0.135	0.745	0.345	blestemat
accusation	0.073	0.718	0.564	acuzare
accusative	0.198	0.755	0.482	acuzativ
accuse	0.133	0.752	0.500	acuza
accused	0.130	0.670	0.420	acuzat
accuser	0.122	0.779	0.615	acuzator
accusing	0.156	0.745	0.324	acuzând
accustomed	0.542	0.365	0.441	obișnuit
ace	0.643	0.481	0.546	as
acetic	0.333	0.420	0.519	acetic
acetylene	0.306	0.469	0.509	acetilenă
ache	0.146	0.760	0.312	durere
achieve	0.816	0.545	0.843	obține
achieved	0.896	0.519	0.775	realizat
achievement	0.896	0.808	0.759	realizare
aching	0.053	0.880	0.348	durere
achy	0.167	0.840	0.373	dureros
acid	0.265	0.642	0.566	acid
acidity	0.156	0.663	0.360	aciditate
acknowledge	0.786	0.370	0.661	recunoaște
acknowledged	0.714	0.443	0.765	recunoscut
acknowledgement	0.819	0.539	0.830	confirmare
acknowledgment	0.796	0.528	0.777	confirmare
acme	0.408	0.435	0.375	culme
acne	0.167	0.474	0.308	acnee
acorn	0.448	0.198	0.192	ghindă
acoustic	0.542	0.462	0.536	acustic
