English Word	Valence	Arousal	Dominance	Serbian Word
aaaaaaah	0.479	0.606	0.291	ааааааах
aaaah	0.520	0.636	0.282	аааах
aardvark	0.427	0.490	0.437	аардварк
aback	0.385	0.407	0.288	запањен
abacus	0.510	0.276	0.485	абакус
abalone	0.500	0.480	0.412	абалоне
abandon	0.052	0.519	0.245	напустити
abandoned	0.046	0.481	0.130	напуштен
abandonment	0.128	0.430	0.202	напуштање
abashed	0.177	0.644	0.307	стидљиво
abate	0.255	0.696	0.604	попустити
abatement	0.388	0.338	0.336	смањење
abba	0.562	0.500	0.480	абба
abbey	0.580	0.367	0.444	опатија
abbot	0.427	0.321	0.483	игуман
abbreviate	0.531	0.375	0.330	скраћено
abbreviation	0.469	0.306	0.345	скраћеница
abdomen	0.469	0.462	0.471	стомак
abdominal	0.490	0.456	0.445	трбушни
abduct	0.173	0.720	0.615	отети
abduction	0.062	0.990	0.673	отмица
aberrant	0.146	0.765	0.431	аберантно
aberration	0.125	0.816	0.417	аберација
abeyance	0.330	0.510	0.292	абеианце
abhor	0.125	0.602	0.349	гнушати се
abhorrence	0.167	0.684	0.420	гађење
abhorrent	0.229	0.750	0.474	одвратан
abide	0.635	0.354	0.705	остати
abiding	0.796	0.327	0.750	абидинг
ability	0.875	0.510	0.816	способност
abject	0.354	0.590	0.417	одвратан
ablation	0.418	0.500	0.500	аблација
ablaze	0.240	0.847	0.525	у пламену
able	0.786	0.500	0.810	способан
abnormal	0.137	0.604	0.309	абнормално
abnormality	0.092	0.655	0.383	абнормалност
aboard	0.698	0.284	0.481	на броду
abode	0.620	0.302	0.500	пребивалиште
abolish	0.448	0.615	0.529	укинути
abolition	0.323	0.690	0.529	укидања
abominable	0.120	0.731	0.482	одвратан
abominate	0.198	0.788	0.366	одвратан
abomination	0.078	0.755	0.518	одвратност
aboriginal	0.448	0.427	0.542	абориџина
abort	0.153	0.686	0.429	прекид
abortion	0.082	0.770	0.283	абортус
abortive	0.090	0.776	0.280	абортивни
abound	0.704	0.490	0.681	обилују
abovementioned	0.541	0.298	0.509	Горе поменути
abracadabra	0.673	0.632	0.434	абракадабра
abrasion	0.406	0.592	0.441	абразија
abrasive	0.392	0.610	0.593	абразивна
abreast	0.635	0.380	0.519	упоредо
abroad	0.677	0.596	0.561	иностранство
abrogate	0.327	0.510	0.594	укинути
abrupt	0.271	0.819	0.545	нагло
abruptly	0.250	0.808	0.556	нагло
abscess	0.154	0.451	0.349	апсцес
absence	0.153	0.235	0.266	одсуство
absent	0.177	0.221	0.116	одсутан
absentee	0.235	0.330	0.279	одсутан
absenteeism	0.404	0.273	0.357	изостајање са посла
absinthe	0.481	0.510	0.462	абсинт
absolute	0.526	0.510	0.827	апсолутна
absolution	0.715	0.500	0.664	опроштење
absolve	0.684	0.449	0.660	апсолве
absorb	0.469	0.558	0.670	апсорбовати
absorbed	0.490	0.471	0.519	апсорбован
absorbent	0.552	0.394	0.718	упијајуће
absorbing	0.490	0.490	0.578	упијајући
absorption	0.609	0.422	0.446	апсорпција
abstain	0.385	0.385	0.427	уздржати се
abstention	0.271	0.264	0.509	уздржаност
abstinence	0.260	0.392	0.429	уздржавање
abstract	0.438	0.292	0.444	апстрактан
abstraction	0.469	0.439	0.525	одвајање
absurd	0.188	0.656	0.284	апсурдно
absurdity	0.115	0.528	0.227	апсурда
abundance	0.812	0.690	0.852	заступљеност
abundant	0.958	0.590	0.760	обилно
abuse	0.071	0.873	0.469	злоупотреба
abused	0.021	0.874	0.235	злостављао
abusive	0.125	0.903	0.567	увредљиво
abutment	0.500	0.265	0.616	упориште
aby	0.385	0.452	0.368	аби
abysmal	0.250	0.710	0.598	бездан
abyss	0.353	0.725	0.296	бездан
academic	0.781	0.420	0.812	академски
academy	0.704	0.473	0.792	академија
accede	0.698	0.510	0.537	аццеде
accelerant	0.643	0.844	0.802	акцелерант
accelerate	0.615	0.902	0.759	убрзати
accelerated	0.610	0.812	0.682	убрзано
acceleration	0.704	0.905	0.843	убрзање
accelerator	0.593	0.830	0.812	акцелератор
accent	0.598	0.357	0.509	акценат
accentuate	0.673	0.556	0.667	нагласити
accept	0.847	0.286	0.565	прихватити
acceptable	0.812	0.286	0.583	прихватљиво
acceptance	0.833	0.287	0.755	прихватање
acceptances	0.847	0.413	0.648	прихватања
access	0.714	0.472	0.567	приступ
accessible	0.796	0.410	0.645	приступачан
accession	0.612	0.383	0.636	приступање
accessory	0.562	0.292	0.445	прибор
accident	0.125	0.908	0.336	незгода
accidental	0.319	0.784	0.307	случајно
accidentally	0.333	0.741	0.333	случајно
acclaim	0.562	0.809	0.718	похвалити
accolade	0.688	0.591	0.775	аццоладе
accommodate	0.844	0.375	0.566	прилагодити се
accommodation	0.817	0.415	0.587	смештај
accompaniment	0.740	0.479	0.695	пратња
accompany	0.833	0.406	0.585	пратити
accompanying	0.787	0.460	0.582	пратећи
accomplice	0.408	0.580	0.510	саучесник
accomplish	0.929	0.673	0.816	остварити
accomplished	0.870	0.520	0.798	остварено
accomplishment	0.917	0.694	0.888	остварење
accord	0.898	0.264	0.382	споразум
accordance	0.659	0.349	0.600	сагласности
accordion	0.604	0.490	0.361	хармоника
account	0.531	0.347	0.472	рачун
accountability	0.755	0.537	0.833	одговорност
accountable	0.709	0.282	0.777	одговоран
accountant	0.625	0.450	0.639	рачуновођа
accounting	0.552	0.390	0.677	рачуноводство
accounts	0.592	0.340	0.471	рачуни
accredited	0.669	0.479	0.768	акредитован
accretion	0.448	0.519	0.672	акреција
accrue	0.520	0.481	0.602	нагомилати
