English Word	Valence	Arousal	Dominance	Uyghur Word
aaaaaaah	0.479	0.606	0.291	aaaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	abck
abacus	0.510	0.276	0.485	abacus
abalone	0.500	0.480	0.412	abalone
abandon	0.052	0.519	0.245	ۋاز كېچىش
abandoned	0.046	0.481	0.130	تاشلىۋېتىلدى
abandonment	0.128	0.430	0.202	ۋاز كېچىش
abashed	0.177	0.644	0.307	نومۇس قىلدى
abate	0.255	0.696	0.604	abate
abatement	0.388	0.338	0.336	abatement
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	abbey
abbot	0.427	0.321	0.483	abbot
abbreviate	0.531	0.375	0.330	قىسقارتىش
abbreviation	0.469	0.306	0.345	قىسقارتىش
abdomen	0.469	0.462	0.471	قورساق
abdominal	0.490	0.456	0.445	قورساق
abduct	0.173	0.720	0.615	تۇتقۇن قىلىش
abduction	0.062	0.990	0.673	تۇتقۇن قىلىش
aberrant	0.146	0.765	0.431	aberrant
aberration	0.125	0.816	0.417	aberration
abeyance	0.330	0.510	0.292	abeyance
abhor	0.125	0.602	0.349	يىرگىنچلىك
abhorrence	0.167	0.684	0.420	يىرگىنچلىك
abhorrent	0.229	0.750	0.474	يىرگىنچلىك
abide	0.635	0.354	0.705	ئەمەل قىلىڭلار
abiding	0.796	0.327	0.750	ئەمەل قىلىش
ability	0.875	0.510	0.816	ئىقتىدارى
abject	0.354	0.590	0.417	abject
ablation	0.418	0.500	0.500	تاھارەت
ablaze	0.240	0.847	0.525	ئوت
able	0.786	0.500	0.810	ئىقتىدارلىق
abnormal	0.137	0.604	0.309	بىنورمال
abnormality	0.092	0.655	0.383	بىنورماللىق
aboard	0.698	0.284	0.481	پاراخوتتا
abode	0.620	0.302	0.500	تۇرالغۇ
abolish	0.448	0.615	0.529	ئەمەلدىن قالدۇرۇش
abolition	0.323	0.690	0.529	ئەمەلدىن قالدۇرۇش
abominable	0.120	0.731	0.482	يىرگىنچلىك
abominate	0.198	0.788	0.366	يىرگىنچلىك
abomination	0.078	0.755	0.518	يىرگىنچلىك
aboriginal	0.448	0.427	0.542	aboriginal
abort	0.153	0.686	0.429	ئەمەلدىن قالدۇرۇش
abortion	0.082	0.770	0.283	بالا چۈشۈرۈش
abortive	0.090	0.776	0.280	بالا چۈشۈرۈش
abound	0.704	0.490	0.681	كۆپ
abovementioned	0.541	0.298	0.509	يۇقىرىدا تىلغا ئېلىنغان
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	abrasion
abrasive	0.392	0.610	0.593	abrasive
abreast	0.635	0.380	0.519	abreast
abroad	0.677	0.596	0.561	چەتئەللەردە
abrogate	0.327	0.510	0.594	ئەمەلدىن قالدۇرۇش
abrupt	0.271	0.819	0.545	تۇيۇقسىز
abruptly	0.250	0.808	0.556	تۇيۇقسىز
abscess	0.154	0.451	0.349	يىرىڭلىق ئىششىق
absence	0.153	0.235	0.266	يوق
absent	0.177	0.221	0.116	يوق
absentee	0.235	0.330	0.279	يوق
absenteeism	0.404	0.273	0.357	يوق
absinthe	0.481	0.510	0.462	absinthe
absolute	0.526	0.510	0.827	مۇتلەق
absolution	0.715	0.500	0.664	ئەمەلدىن قالدۇرۇش
absolve	0.684	0.449	0.660	absolve
absorb	0.469	0.558	0.670	سۈمۈرۈڭ
absorbed	0.490	0.471	0.519	سۈمۈرۈلگەن
absorbent	0.552	0.394	0.718	سۈمۈرگۈچ
absorbing	0.490	0.490	0.578	سۈمۈرگۈچ
absorption	0.609	0.422	0.446	سۈمۈرۈلۈش
abstain	0.385	0.385	0.427	پەرھىز تۇتۇڭ
abstention	0.271	0.264	0.509	پەرھىز
abstinence	0.260	0.392	0.429	پەرھىز
abstract	0.438	0.292	0.444	ئابستراكت
abstraction	0.469	0.439	0.525	abstraction
absurd	0.188	0.656	0.284	بىمەنە
absurdity	0.115	0.528	0.227	بىمەنە
abundance	0.812	0.690	0.852	مول
abundant	0.958	0.590	0.760	مول
abuse	0.071	0.873	0.469	خورلاش
abused	0.021	0.874	0.235	خورلانغان
abusive	0.125	0.903	0.567	ھاقارەت
abutment	0.500	0.265	0.616	abutment
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	abysmal
abyss	0.353	0.725	0.296	abyss
academic	0.781	0.420	0.812	ئاكادېمىك
academy	0.704	0.473	0.792	academy
accede	0.698	0.510	0.537	ئېتىراپ قىلىڭ
accelerant	0.643	0.844	0.802	تېزلىگۈچى
accelerate	0.615	0.902	0.759	تېزلىتىڭ
accelerated	0.610	0.812	0.682	تېزلەشتى
acceleration	0.704	0.905	0.843	تېزلىنىش
accelerator	0.593	0.830	0.812	تېزلەتكۈچ
accent	0.598	0.357	0.509	تەلەپپۇزى
accentuate	0.673	0.556	0.667	تەلەپپۇز قىلىش
accept	0.847	0.286	0.565	قوبۇل قىلىڭ
acceptable	0.812	0.286	0.583	قوبۇل قىلىشقا بولىدۇ
acceptance	0.833	0.287	0.755	قوبۇل قىلىش
acceptances	0.847	0.413	0.648	قوبۇل قىلىش
access	0.714	0.472	0.567	access
accessible	0.796	0.410	0.645	زىيارەت قىلغىلى بولىدۇ
accession	0.612	0.383	0.636	كىرىش
accessory	0.562	0.292	0.445	قوشۇمچە زاپچاس
accident	0.125	0.908	0.336	ھادىسە
accidental	0.319	0.784	0.307	تاسادىپىي
accidentally	0.333	0.741	0.333	ئېھتىياتسىزلىقتىن
acclaim	0.562	0.809	0.718	ئالقىش
accolade	0.688	0.591	0.775	ئالقىش
accommodate	0.844	0.375	0.566	ماسلىشىش
accommodation	0.817	0.415	0.587	ياتاق
accompaniment	0.740	0.479	0.695	ھەمرا
accompany	0.833	0.406	0.585	ھەمرا بولۇش
accompanying	0.787	0.460	0.582	ھەمراھ
accomplice	0.408	0.580	0.510	شېرىك
accomplish	0.929	0.673	0.816	ئەمەلگە ئاشۇرۇش
accomplished	0.870	0.520	0.798	تاماملاندى
accomplishment	0.917	0.694	0.888	مۇۋەپپەقىيەت
accord	0.898	0.264	0.382	ماقۇل
accordance	0.659	0.349	0.600	بويىچە
accordion	0.604	0.490	0.361	ئاككوردىيون
account	0.531	0.347	0.472	ھېسابات
accountability	0.755	0.537	0.833	جاۋابكارلىق
accountable	0.709	0.282	0.777	جاۋابكار
accountant	0.625	0.450	0.639	بوغالتىر
accounting	0.552	0.390	0.677	بوغالتىرلىق
accounts	0.592	0.340	0.471	ھېسابات
accredited	0.669	0.479	0.768	ئېتىراپ قىلىنغان
accretion	0.448	0.519	0.672	accretion
accrue	0.520	0.481	0.602	accrue
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	توپلاش
accumulation	0.479	0.527	0.600	جۇغلانما
