English Word	Valence	Arousal	Dominance	Tatar Word
aaaaaaah	0.479	0.606	0.291	aaaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	гаҗәп
abacus	0.510	0.276	0.485	абакус
abalone	0.500	0.480	0.412	абалон
abandon	0.052	0.519	0.245	ташлау
abandoned	0.046	0.481	0.130	ташланган
abandonment	0.128	0.430	0.202	ташлау
abashed	0.177	0.644	0.307	оят
abate	0.255	0.696	0.604	.әр сүзнең
abatement	0.388	0.338	0.336	азайту
abba	0.562	0.500	0.480	абба
abbey	0.580	0.367	0.444	абзый
abbot	0.427	0.321	0.483	аббот
abbreviate	0.531	0.375	0.330	кыскарту
abbreviation	0.469	0.306	0.345	кыскарту
abdomen	0.469	0.462	0.471	карын
abdominal	0.490	0.456	0.445	карын
abduct	0.173	0.720	0.615	урлау
abduction	0.062	0.990	0.673	урлау
aberrant	0.146	0.765	0.431	аберант
aberration	0.125	0.816	0.417	аберрация
abeyance	0.330	0.510	0.292	буйсыну
abhor	0.125	0.602	0.349	җирәнгеч
abhorrence	0.167	0.684	0.420	җирәнү
abhorrent	0.229	0.750	0.474	җирәнгеч
abide	0.635	0.354	0.705	тор
abiding	0.796	0.327	0.750	.әр сүзнең
ability	0.875	0.510	0.816	сәләте
abject	0.354	0.590	0.417	.әр сүзнең
ablation	0.418	0.500	0.500	абляция
ablaze	0.240	0.847	0.525	ут
able	0.786	0.500	0.810	сәләтле
abnormal	0.137	0.604	0.309	аномаль
abnormality	0.092	0.655	0.383	аномальлек
aboard	0.698	0.284	0.481	бортта
abode	0.620	0.302	0.500	тору
abolish	0.448	0.615	0.529	бетерү
abolition	0.323	0.690	0.529	бетерү
abominable	0.120	0.731	0.482	җирәнгеч
abominate	0.198	0.788	0.366	җирәнгеч
abomination	0.078	0.755	0.518	җирәнгеч
aboriginal	0.448	0.427	0.542	аборигеналь
abort	0.153	0.686	0.429	аборт
abortion	0.082	0.770	0.283	аборт
abortive	0.090	0.776	0.280	абортив
abound	0.704	0.490	0.681	күп
abovementioned	0.541	0.298	0.509	югарыда күрсәтелгән
abracadabra	0.673	0.632	0.434	абракадабра
abrasion	0.406	0.592	0.441	абразия
abrasive	0.392	0.610	0.593	абразив
abreast	0.635	0.380	0.519	абрест
abroad	0.677	0.596	0.561	чит илләрдә
abrogate	0.327	0.510	0.594	бетерү
abrupt	0.271	0.819	0.545	кинәт
abruptly	0.250	0.808	0.556	кинәт
abscess	0.154	0.451	0.349	абсессия
absence	0.153	0.235	0.266	юклык
absent	0.177	0.221	0.116	юк
absentee	0.235	0.330	0.279	юк
absenteeism	0.404	0.273	0.357	юклык
absinthe	0.481	0.510	0.462	абсинт
absolute	0.526	0.510	0.827	абсолют
absolution	0.715	0.500	0.664	абсолюция
absolve	0.684	0.449	0.660	абсолют
absorb	0.469	0.558	0.670	сеңдерү
absorbed	0.490	0.471	0.519	сеңдерелгән
absorbent	0.552	0.394	0.718	сеңдергеч
absorbing	0.490	0.490	0.578	сеңдерүче
absorption	0.609	0.422	0.446	үзләштерү
abstain	0.385	0.385	0.427	тыелыгыз
abstention	0.271	0.264	0.509	тыелу
abstinence	0.260	0.392	0.429	тыелу
abstract	0.438	0.292	0.444	абстракт
abstraction	0.469	0.439	0.525	абстракция
absurd	0.188	0.656	0.284	абсурд
absurdity	0.115	0.528	0.227	абсурд
abundance	0.812	0.690	0.852	муллык
abundant	0.958	0.590	0.760	мул
abuse	0.071	0.873	0.469	җәберләү
abused	0.021	0.874	0.235	җәберләнгән
abusive	0.125	0.903	0.567	хурлау
abutment	0.500	0.265	0.616	абутмент
aby	0.385	0.452	0.368	абыстай
abysmal	0.250	0.710	0.598	абыстай
abyss	0.353	0.725	0.296	упкын
academic	0.781	0.420	0.812	академик
academy	0.704	0.473	0.792	академия
accede	0.698	0.510	0.537	кушылу
accelerant	0.643	0.844	0.802	тизләткеч
accelerate	0.615	0.902	0.759	тизләтү
accelerated	0.610	0.812	0.682	тизләнде
acceleration	0.704	0.905	0.843	тизләнеш
accelerator	0.593	0.830	0.812	тизләткеч
accent	0.598	0.357	0.509	акцент
accentuate	0.673	0.556	0.667	басым ясау
accept	0.847	0.286	0.565	кабул итү
acceptable	0.812	0.286	0.583	яраклы
acceptance	0.833	0.287	0.755	кабул итү
acceptances	0.847	0.413	0.648	кабул итү
access	0.714	0.472	0.567	керү
accessible	0.796	0.410	0.645	мөмкин
accession	0.612	0.383	0.636	кушылу
accessory	0.562	0.292	0.445	аксессуар
accident	0.125	0.908	0.336	авария
accidental	0.319	0.784	0.307	очраклы
accidentally	0.333	0.741	0.333	очраклы рәвештә
acclaim	0.562	0.809	0.718	мактау
accolade	0.688	0.591	0.775	мактау
accommodate	0.844	0.375	0.566	урнаштыру
accommodation	0.817	0.415	0.587	урнашу
accompaniment	0.740	0.479	0.695	озату
accompany	0.833	0.406	0.585	озату
accompanying	0.787	0.460	0.582	озатучы
accomplice	0.408	0.580	0.510	иярчен
accomplish	0.929	0.673	0.816	башкару
accomplished	0.870	0.520	0.798	башкарылды
accomplishment	0.917	0.694	0.888	казаныш
accord	0.898	0.264	0.382	килешү
accordance	0.659	0.349	0.600	нигезендә
accordion	0.604	0.490	0.361	аккордеон
account	0.531	0.347	0.472	хисап
accountability	0.755	0.537	0.833	җаваплылык
accountable	0.709	0.282	0.777	җаваплы
accountant	0.625	0.450	0.639	бухгалтер
accounting	0.552	0.390	0.677	бухгалтерлык
accounts	0.592	0.340	0.471	счетлар
accredited	0.669	0.479	0.768	аккредитацияләнгән
accretion	0.448	0.519	0.672	аккредитация
accrue	0.520	0.481	0.602	җыю
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	тупла
accumulation	0.479	0.527	0.600	туплау
accuracy	0.604	0.481	0.802	төгәллек
accurate	0.743	0.360	0.737	төгәл
accursed	0.135	0.745	0.345	ләгънәт
accusation	0.073	0.718	0.564	гаепләү
accusative	0.198	0.755	0.482	гаепләү
accuse	0.133	0.752	0.500	гаепләү
accused	0.130	0.670	0.420	гаепләнүче
accuser	0.122	0.779	0.615	гаепләүче
accusing	0.156	0.745	0.324	гаепләү
accustomed	0.542	0.365	0.441	күнеккән
ace	0.643	0.481	0.546	ace
acetic	0.333	0.420	0.519	сирик
acetylene	0.306	0.469	0.509	ацетилен
ache	0.146	0.760	0.312	авырту
achieve	0.816	0.545	0.843	ирешү
achieved	0.896	0.519	0.775	ирешелде
achievement	0.896	0.808	0.759	казаныш
aching	0.053	0.880	0.348	авырту
achy	0.167	0.840	0.373	авырту
acid	0.265	0.642	0.566	кислотасы
acidity	0.156	0.663	0.360	кислотасы
acknowledge	0.786	0.370	0.661	танырга
acknowledged	0.714	0.443	0.765	таныды
