English Word	Valence	Arousal	Dominance	Welsh Word
aaaaaaah	0.479	0.606	0.291	aaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	syfrdan
abacus	0.510	0.276	0.485	abacus
abalone	0.500	0.480	0.412	abalon
abandon	0.052	0.519	0.245	cefnu
abandoned	0.046	0.481	0.130	wedi'i adael
abandonment	0.128	0.430	0.202	gadawiad
abashed	0.177	0.644	0.307	abashed
abate	0.255	0.696	0.604	lleihau
abatement	0.388	0.338	0.336	lleihâd
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	abaty
abbot	0.427	0.321	0.483	abad
abbreviate	0.531	0.375	0.330	talfyrru
abbreviation	0.469	0.306	0.345	talfyriad
abdomen	0.469	0.462	0.471	abdomen
abdominal	0.490	0.456	0.445	abdomenol
abduct	0.173	0.720	0.615	herwgyd
abduction	0.062	0.990	0.673	herwgipio
aberrant	0.146	0.765	0.431	afreolus
aberration	0.125	0.816	0.417	aberiad
abeyance	0.330	0.510	0.292	seguryd
abhor	0.125	0.602	0.349	ffieiddio
abhorrence	0.167	0.684	0.420	ffieidd-dod
abhorrent	0.229	0.750	0.474	ffiaidd
abide	0.635	0.354	0.705	cadw
abiding	0.796	0.327	0.750	arhosol
ability	0.875	0.510	0.816	gallu
abject	0.354	0.590	0.417	yn wrthun
ablation	0.418	0.500	0.500	abladiad
ablaze	0.240	0.847	0.525	fflam
able	0.786	0.500	0.810	galluog
abnormal	0.137	0.604	0.309	annormal
abnormality	0.092	0.655	0.383	annormaledd
aboard	0.698	0.284	0.481	tramor
abode	0.620	0.302	0.500	preswylio
abolish	0.448	0.615	0.529	diddymu
abolition	0.323	0.690	0.529	diddymiad
abominable	0.120	0.731	0.482	ffiaidd
abominate	0.198	0.788	0.366	ffiaidd
abomination	0.078	0.755	0.518	ffieidd-dra
aboriginal	0.448	0.427	0.542	cynfrodorol
abort	0.153	0.686	0.429	erthylu
abortion	0.082	0.770	0.283	erthyliad
abortive	0.090	0.776	0.280	ofer
abound	0.704	0.490	0.681	digonedd
abovementioned	0.541	0.298	0.509	uchod
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	sgraffinio
abrasive	0.392	0.610	0.593	sgraffiniol
abreast	0.635	0.380	0.519	yn wybodus
abroad	0.677	0.596	0.561	dramor
abrogate	0.327	0.510	0.594	diddymu
abrupt	0.271	0.819	0.545	sydyn
abruptly	0.250	0.808	0.556	yn sydyn
abscess	0.154	0.451	0.349	crawniad
absence	0.153	0.235	0.266	absenoldeb
absent	0.177	0.221	0.116	absennol
