English Word	Valence	Arousal	Dominance	Odia Word
aaaaaaah	0.479	0.606	0.291	aaaaaah
aaaah	0.520	0.636	0.282	ଆ
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	ଆବାକ୍
abacus	0.510	0.276	0.485	ଆବାକସ୍ |
abalone	0.500	0.480	0.412	abalone
abandon	0.052	0.519	0.245	ପରିତ୍ୟାଗ କରିବା
abandoned	0.046	0.481	0.130	ପରିତ୍ୟକ୍ତ
abandonment	0.128	0.430	0.202	ତ୍ୟାଗ
abashed	0.177	0.644	0.307	ଲଜ୍ଜିତ
abate	0.255	0.696	0.604	abate
abatement	0.388	0.338	0.336	ଅବରୋଧ
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	ଆବି
abbot	0.427	0.321	0.483	abbot
abbreviate	0.531	0.375	0.330	ସଂକ୍ଷିପ୍ତ
abbreviation	0.469	0.306	0.345	ସଂକ୍ଷିପ୍ତକରଣ
abdomen	0.469	0.462	0.471	ପେଟ
abdominal	0.490	0.456	0.445	ପେଟ
abduct	0.173	0.720	0.615	ଅପହରଣ
abduction	0.062	0.990	0.673	ଅପହରଣ
aberrant	0.146	0.765	0.431	ଅବିରାଣ୍ଟ |
aberration	0.125	0.816	0.417	ଘୃଣ୍ୟତା |
abeyance	0.330	0.510	0.292	ମାନିବା
abhor	0.125	0.602	0.349	ଘୃଣ୍ୟ
abhorrence	0.167	0.684	0.420	ଘୃଣ୍ୟତା
abhorrent	0.229	0.750	0.474	ଘୃଣ୍ୟ
abide	0.635	0.354	0.705	ରୁହ
abiding	0.796	0.327	0.750	ପାଳନ
ability	0.875	0.510	0.816	ଦକ୍ଷତା
abject	0.354	0.590	0.417	ଅବଜେକ୍ଟ
ablation	0.418	0.500	0.500	ଅବ୍ଲିସନ୍ |
ablaze	0.240	0.847	0.525	ନିଆଁ
able	0.786	0.500	0.810	ସକ୍ଷମ
abnormal	0.137	0.604	0.309	ଅସ୍ୱାଭାବିକ
abnormality	0.092	0.655	0.383	ଅସ୍ୱାଭାବିକତା |
aboard	0.698	0.284	0.481	ଜାହାଜରେ
abode	0.620	0.302	0.500	ବାସ କର
abolish	0.448	0.615	0.529	ରଦ୍ଦ
abolition	0.323	0.690	0.529	ରଦ୍ଦ
abominable	0.120	0.731	0.482	ଘୃଣ୍ୟ
abominate	0.198	0.788	0.366	ଘୃଣ୍ୟ
abomination	0.078	0.755	0.518	ଘୃଣ୍ୟ
aboriginal	0.448	0.427	0.542	ଆଦିବାସୀ
abort	0.153	0.686	0.429	ପରିତ୍ୟାଗ
abortion	0.082	0.770	0.283	ଗର୍ଭପାତ
abortive	0.090	0.776	0.280	ଗର୍ଭପାତ
abound	0.704	0.490	0.681	ପ୍ରଚୁର
abovementioned	0.541	0.298	0.509	ଉପରୋକ୍ତ
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	ଘୃଣା
abrasive	0.392	0.610	0.593	ଘୃଣ୍ୟ
abreast	0.635	0.380	0.519	ପୂର୍ବ
abroad	0.677	0.596	0.561	ବିଦେଶ
abrogate	0.327	0.510	0.594	ରଦ୍ଦ କରନ୍ତୁ |
abrupt	0.271	0.819	0.545	ଆକସ୍ମିକ
abruptly	0.250	0.808	0.556	ହଠାତ୍
abscess	0.154	0.451	0.349	ଆବସେସ୍ |
absence	0.153	0.235	0.266	ଅନୁପସ୍ଥିତି
absent	0.177	0.221	0.116	ଅନୁପସ୍ଥିତ
absentee	0.235	0.330	0.279	ଅନୁପସ୍ଥିତ
absenteeism	0.404	0.273	0.357	ଅନୁପସ୍ଥିତି
absinthe	0.481	0.510	0.462	ଅନୁପସ୍ଥିତ |
absolute	0.526	0.510	0.827	ସଂପୂର୍ଣ୍ଣ
absolution	0.715	0.500	0.664	ସଂପୂର୍ଣ୍ଣ
absolve	0.684	0.449	0.660	absolve
absorb	0.469	0.558	0.670	ଶୋଷଣ
absorbed	0.490	0.471	0.519	ଅବଶୋଷିତ |
absorbent	0.552	0.394	0.718	ଶୋଷକ
absorbing	0.490	0.490	0.578	ଶୋଷଣ
absorption	0.609	0.422	0.446	ଅବଶୋଷଣ
abstain	0.385	0.385	0.427	ନିବୃତ୍ତ ହୁଅ
abstention	0.271	0.264	0.509	ନିବୃତ୍ତ |
abstinence	0.260	0.392	0.429	ନିବୃତ୍ତ |
abstract	0.438	0.292	0.444	ବିସ୍ତୃତ
abstraction	0.469	0.439	0.525	ଅବକ୍ଷୟ
