English Word	Valence	Arousal	Dominance	Telugu Word
aaaaaaah	0.479	0.606	0.291	aaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	ఆర్డ్‌వార్క్
aback	0.385	0.407	0.288	విస్మయం
abacus	0.510	0.276	0.485	అబాకస్
abalone	0.500	0.480	0.412	అబలోన్
abandon	0.052	0.519	0.245	విడిచిపెట్టు
abandoned	0.046	0.481	0.130	విడిచిపెట్టారు
abandonment	0.128	0.430	0.202	విడిచిపెట్టడం
abashed	0.177	0.644	0.307	సిగ్గుపడ్డాడు
abate	0.255	0.696	0.604	తగ్గించు
abatement	0.388	0.338	0.336	తగ్గింపు
abba	0.562	0.500	0.480	అబ్బా
abbey	0.580	0.367	0.444	అబ్బే
abbot	0.427	0.321	0.483	మఠాధిపతి
abbreviate	0.531	0.375	0.330	సంక్షిప్తంగా
abbreviation	0.469	0.306	0.345	సంక్షిప్తీకరణ
abdomen	0.469	0.462	0.471	పొత్తికడుపు
abdominal	0.490	0.456	0.445	పొత్తికడుపు
abduct	0.173	0.720	0.615	అపహరించు
abduction	0.062	0.990	0.673	అపహరణ
aberrant	0.146	0.765	0.431	అసహజమైన
aberration	0.125	0.816	0.417	ఉల్లంఘన
abeyance	0.330	0.510	0.292	నిలుపుదల
abhor	0.125	0.602	0.349	అసహ్యించు
abhorrence	0.167	0.684	0.420	అసహ్యం
abhorrent	0.229	0.750	0.474	అసహ్యకరమైన
abide	0.635	0.354	0.705	కట్టుబడి
abiding	0.796	0.327	0.750	కట్టుబడి
ability	0.875	0.510	0.816	సామర్థ్యం
abject	0.354	0.590	0.417	నీచమైన
ablation	0.418	0.500	0.500	అబ్లేషన్
ablaze	0.240	0.847	0.525	మండుతున్నాయి
able	0.786	0.500	0.810	చేయగలరు
abnormal	0.137	0.604	0.309	అసాధారణమైన
abnormality	0.092	0.655	0.383	అసాధారణత
aboard	0.698	0.284	0.481	మీదికి
abode	0.620	0.302	0.500	నివాసం
abolish	0.448	0.615	0.529	రద్దు
abolition	0.323	0.690	0.529	రద్దు
abominable	0.120	0.731	0.482	అసహ్యకరమైన
abominate	0.198	0.788	0.366	అసహ్యించు
abomination	0.078	0.755	0.518	అసహ్యము
aboriginal	0.448	0.427	0.542	ఆదివాసి
abort	0.153	0.686	0.429	గర్భస్రావం
abortion	0.082	0.770	0.283	గర్భస్రావం
abortive	0.090	0.776	0.280	అకాల విజయవంతం కాని
abound	0.704	0.490	0.681	పుష్కలంగా ఉన్నాయి
abovementioned	0.541	0.298	0.509	పైన పేర్కొన్న
abracadabra	0.673	0.632	0.434	అబ్రాకాడబ్రా
