English Word	Valence	Arousal	Dominance	Latvian Word
aaaaaaah	0.479	0.606	0.291	aaaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	satriekts
abacus	0.510	0.276	0.485	abakuss
abalone	0.500	0.480	0.412	āliņģis
abandon	0.052	0.519	0.245	pamest
abandoned	0.046	0.481	0.130	pamesti
abandonment	0.128	0.430	0.202	pamešana
abashed	0.177	0.644	0.307	apmulsis
abate	0.255	0.696	0.604	mazināties
abatement	0.388	0.338	0.336	samazināšana
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	abatija
abbot	0.427	0.321	0.483	abats
abbreviate	0.531	0.375	0.330	saīsināt
abbreviation	0.469	0.306	0.345	abreviatūra
abdomen	0.469	0.462	0.471	vēders
abdominal	0.490	0.456	0.445	vēdera
abduct	0.173	0.720	0.615	nolaupīt
abduction	0.062	0.990	0.673	nolaupīšana
aberrant	0.146	0.765	0.431	novirzes
aberration	0.125	0.816	0.417	aberācija
abeyance	0.330	0.510	0.292	aizkavēšanās
abhor	0.125	0.602	0.349	riebjas
abhorrence	0.167	0.684	0.420	riebums
abhorrent	0.229	0.750	0.474	pretīgs
abide	0.635	0.354	0.705	ievērot
abiding	0.796	0.327	0.750	paliekošs
ability	0.875	0.510	0.816	spēja
abject	0.354	0.590	0.417	nožēlojams
ablation	0.418	0.500	0.500	ablācija
ablaze	0.240	0.847	0.525	liesmot
able	0.786	0.500	0.810	spēj
abnormal	0.137	0.604	0.309	nenormāli
abnormality	0.092	0.655	0.383	anomālija
aboard	0.698	0.284	0.481	uz klāja
abode	0.620	0.302	0.500	mājvieta
abolish	0.448	0.615	0.529	atcelt
abolition	0.323	0.690	0.529	atcelšana
abominable	0.120	0.731	0.482	riebīgs
abominate	0.198	0.788	0.366	riebīgs
abomination	0.078	0.755	0.518	negantība
aboriginal	0.448	0.427	0.542	aborigēnu
abort	0.153	0.686	0.429	pārtraukt
abortion	0.082	0.770	0.283	aborts
abortive	0.090	0.776	0.280	abortīvs
abound	0.704	0.490	0.681	pārpilnībā
abovementioned	0.541	0.298	0.509	Augstāk minēts
abracadabra	0.673	0.632	0.434	abrakadabra
abrasion	0.406	0.592	0.441	nobrāzums
abrasive	0.392	0.610	0.593	abrazīvs
abreast	0.635	0.380	0.519	līdzās
abroad	0.677	0.596	0.561	ārzemēs
abrogate	0.327	0.510	0.594	atcelt
abrupt	0.271	0.819	0.545	pēkšņi
abruptly	0.250	0.808	0.556	pēkšņi
abscess	0.154	0.451	0.349	abscess
absence	0.153	0.235	0.266	prombūtne
absent	0.177	0.221	0.116	prombūtnē
absentee	0.235	0.330	0.279	prombūtnē esošais
absenteeism	0.404	0.273	0.357	neierašanās
absinthe	0.481	0.510	0.462	absints
absolute	0.526	0.510	0.827	absolūts
absolution	0.715	0.500	0.664	absolūciju
absolve	0.684	0.449	0.660	atbrīvot
absorb	0.469	0.558	0.670	absorbēt
absorbed	0.490	0.471	0.519	uzsūcas
absorbent	0.552	0.394	0.718	absorbējošs
absorbing	0.490	0.490	0.578	absorbējošs
absorption	0.609	0.422	0.446	absorbcija
abstain	0.385	0.385	0.427	atturēties
abstention	0.271	0.264	0.509	atturēšanās
abstinence	0.260	0.392	0.429	atturība
abstract	0.438	0.292	0.444	abstrakts
abstraction	0.469	0.439	0.525	abstrakcija
absurd	0.188	0.656	0.284	absurds
absurdity	0.115	0.528	0.227	absurds
abundance	0.812	0.690	0.852	pārpilnība
abundant	0.958	0.590	0.760	bagātīgs
abuse	0.071	0.873	0.469	ļaunprātīga izmantošana
abused	0.021	0.874	0.235	ļaunprātīgi izmantots
abusive	0.125	0.903	0.567	aizskaroši
abutment	0.500	0.265	0.616	abatments
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	bezdibenis
abyss	0.353	0.725	0.296	bezdibenis
academic	0.781	0.420	0.812	akadēmiskais
academy	0.704	0.473	0.792	akadēmija
accede	0.698	0.510	0.537	pievienoties
accelerant	0.643	0.844	0.802	paātrinātājs
accelerate	0.615	0.902	0.759	paātrināt
accelerated	0.610	0.812	0.682	paātrināta
acceleration	0.704	0.905	0.843	paātrinājums
accelerator	0.593	0.830	0.812	akselerators
accent	0.598	0.357	0.509	akcents
accentuate	0.673	0.556	0.667	akcentēt
accept	0.847	0.286	0.565	pieņemt
acceptable	0.812	0.286	0.583	pieņemams
acceptance	0.833	0.287	0.755	pieņemšana
acceptances	0.847	0.413	0.648	pieņemšanas
access	0.714	0.472	0.567	piekļuvi
accessible	0.796	0.410	0.645	pieejams
accession	0.612	0.383	0.636	pievienošanās
accessory	0.562	0.292	0.445	piederums
accident	0.125	0.908	0.336	nelaimes gadījums
accidental	0.319	0.784	0.307	nejauši
accidentally	0.333	0.741	0.333	nejauši
acclaim	0.562	0.809	0.718	atzinību
accolade	0.688	0.591	0.775	atzinība
accommodate	0.844	0.375	0.566	izmitināt
accommodation	0.817	0.415	0.587	izmitināšana
accompaniment	0.740	0.479	0.695	pavadījumā
accompany	0.833	0.406	0.585	pavada
accompanying	0.787	0.460	0.582	pavadošā
accomplice	0.408	0.580	0.510	līdzdalībnieks
accomplish	0.929	0.673	0.816	paveikt
accomplished	0.870	0.520	0.798	paveikts
accomplishment	0.917	0.694	0.888	sasniegums
accord	0.898	0.264	0.382	saskaņa
accordance	0.659	0.349	0.600	saskaņā
accordion	0.604	0.490	0.361	akordeons
account	0.531	0.347	0.472	konts
accountability	0.755	0.537	0.833	atbildība
accountable	0.709	0.282	0.777	atbildīgs
accountant	0.625	0.450	0.639	grāmatvedis
accounting	0.552	0.390	0.677	grāmatvedība
accounts	0.592	0.340	0.471	konti
accredited	0.669	0.479	0.768	akreditēta
accretion	0.448	0.519	0.672	akrecija
accrue	0.520	0.481	0.602	uzkrāties
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	uzkrāties
accumulation	0.479	0.527	0.600	uzkrāšanās
accuracy	0.604	0.481	0.802	precizitāte
accurate	0.743	0.360	0.737	precīzs
accursed	0.135	0.745	0.345	nolādēts
accusation	0.073	0.718	0.564	apsūdzība
accusative	0.198	0.755	0.482	akuzatīvs
accuse	0.133	0.752	0.500	apsūdzēt
accused	0.130	0.670	0.420	apsūdzētais
accuser	0.122	0.779	0.615	apsūdzētājs
accusing	0.156	0.745	0.324	apsūdzot
accustomed	0.542	0.365	0.441	pieraduši
ace	0.643	0.481	0.546	dūzis
acetic	0.333	0.420	0.519	etiķskābe
acetylene	0.306	0.469	0.509	acetilēns
ache	0.146	0.760	0.312	sāpes
achieve	0.816	0.545	0.843	sasniegt
achieved	0.896	0.519	0.775	sasniegts
achievement	0.896	0.808	0.759	sasniegums
aching	0.053	0.880	0.348	sāpes
