English Word	Valence	Arousal	Dominance	Turkmen Word
aaaaaaah	0.479	0.606	0.291	aaaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	geň galmak
abacus	0.510	0.276	0.485	abakus
abalone	0.500	0.480	0.412	abalone
abandon	0.052	0.519	0.245	terk et
abandoned	0.046	0.481	0.130	taşlandy
abandonment	0.128	0.430	0.202	terk etmek
abashed	0.177	0.644	0.307	masgara
abate	0.255	0.696	0.604	abate
abatement	0.388	0.338	0.336	azaltmak
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	abbey
abbot	0.427	0.321	0.483	abbot
abbreviate	0.531	0.375	0.330	gysgaltmak
abbreviation	0.469	0.306	0.345	gysgaltma
abdomen	0.469	0.462	0.471	garyn
abdominal	0.490	0.456	0.445	garyn
abduct	0.173	0.720	0.615	alyp gaçmak
abduction	0.062	0.990	0.673	alyp gaçmak
aberrant	0.146	0.765	0.431	aberrant
aberration	0.125	0.816	0.417	aberasiýa
abeyance	0.330	0.510	0.292	boýun egmek
abhor	0.125	0.602	0.349	ýigrenji
abhorrence	0.167	0.684	0.420	ýigrenç
abhorrent	0.229	0.750	0.474	ýigrenji
abide	0.635	0.354	0.705	berjaý et
abiding	0.796	0.327	0.750	berjaý etmek
ability	0.875	0.510	0.816	ukyby
abject	0.354	0.590	0.417	kemsidiji
ablation	0.418	0.500	0.500	ablasiýa
ablaze	0.240	0.847	0.525	ýangyn
able	0.786	0.500	0.810	başarýar
abnormal	0.137	0.604	0.309	anormal
abnormality	0.092	0.655	0.383	anormallik
aboard	0.698	0.284	0.481	bortda
abode	0.620	0.302	0.500	ýaşamak
abolish	0.448	0.615	0.529	ýatyr
abolition	0.323	0.690	0.529	ýatyrmak
abominable	0.120	0.731	0.482	ýigrenji
abominate	0.198	0.788	0.366	ýigrenji
abomination	0.078	0.755	0.518	ýigrenji
aboriginal	0.448	0.427	0.542	aborigen
abort	0.153	0.686	0.429	ýatyrmak
abortion	0.082	0.770	0.283	abort
abortive	0.090	0.776	0.280	abort
abound	0.704	0.490	0.681	köp
abovementioned	0.541	0.298	0.509	ýokarda aýdylşy ýaly
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	aşgazan
abrasive	0.392	0.610	0.593	abraziw
abreast	0.635	0.380	0.519	abreast
abroad	0.677	0.596	0.561	daşary ýurtlarda
abrogate	0.327	0.510	0.594	ýatyr
abrupt	0.271	0.819	0.545	duýdansyz
abruptly	0.250	0.808	0.556	duýdansyz
abscess	0.154	0.451	0.349	abses
absence	0.153	0.235	0.266	ýoklugy
absent	0.177	0.221	0.116	ýok
absentee	0.235	0.330	0.279	ýok
absenteeism	0.404	0.273	0.357	ýok bolmak
absinthe	0.481	0.510	0.462	abinthe
absolute	0.526	0.510	0.827	mutlak
absolution	0.715	0.500	0.664	ýatyrmak
absolve	0.684	0.449	0.660	absolve
absorb	0.469	0.558	0.670	siňdirmek
absorbed	0.490	0.471	0.519	siňdirildi
absorbent	0.552	0.394	0.718	sorujy
absorbing	0.490	0.490	0.578	siňdiriji
absorption	0.609	0.422	0.446	siňdirilmegi
abstain	0.385	0.385	0.427	saklan
abstention	0.271	0.264	0.509	saklanmak
abstinence	0.260	0.392	0.429	saklanmak
abstract	0.438	0.292	0.444	abstrakt
abstraction	0.469	0.439	0.525	abstraksiýa
absurd	0.188	0.656	0.284	manysyz
absurdity	0.115	0.528	0.227	manysyzlyk
abundance	0.812	0.690	0.852	bolçulyk
abundant	0.958	0.590	0.760	bol
abuse	0.071	0.873	0.469	hyýanatçylykly peýdalanmak
abused	0.021	0.874	0.235	kemsidildi
abusive	0.125	0.903	0.567	kemsidiji
abutment	0.500	0.265	0.616	abutment
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	abysmal
abyss	0.353	0.725	0.296	çukur
academic	0.781	0.420	0.812	akademiki
academy	0.704	0.473	0.792	akademiýa
accede	0.698	0.510	0.537	goşulmak
accelerant	0.643	0.844	0.802	tizlendiriji
accelerate	0.615	0.902	0.759	çaltlaşdyrmak
accelerated	0.610	0.812	0.682	çaltlaşdyryldy
acceleration	0.704	0.905	0.843	tizlenme
accelerator	0.593	0.830	0.812	tizlendiriji
accent	0.598	0.357	0.509	aksent
accentuate	0.673	0.556	0.667	ulaltmak
accept	0.847	0.286	0.565	kabul et
acceptable	0.812	0.286	0.583	kabul ederliklidir
acceptance	0.833	0.287	0.755	kabul etmek
acceptances	0.847	0.413	0.648	kabul etmek
access	0.714	0.472	0.567	elýeterliligi
accessible	0.796	0.410	0.645	elýeterli
accession	0.612	0.383	0.636	goşulmak
accessory	0.562	0.292	0.445	aksessuar
accident	0.125	0.908	0.336	awariýa
accidental	0.319	0.784	0.307	tötänleýin
accidentally	0.333	0.741	0.333	tötänleýin
acclaim	0.562	0.809	0.718	öwmek
accolade	0.688	0.591	0.775	öwgi
accommodate	0.844	0.375	0.566	ýerleşdirmek
accommodation	0.817	0.415	0.587	ýaşamak
accompaniment	0.740	0.479	0.695	ýoldaşlyk
accompany	0.833	0.406	0.585	ýoldaş bolmak
accompanying	0.787	0.460	0.582	ýoldaşlyk edýär
accomplice	0.408	0.580	0.510	şärik
accomplish	0.929	0.673	0.816	ýerine ýetirmek
accomplished	0.870	0.520	0.798	ýerine ýetirildi
accomplishment	0.917	0.694	0.888	üstünlik
accord	0.898	0.264	0.382	ylalaşyk
accordance	0.659	0.349	0.600	laýyklykda
accordion	0.604	0.490	0.361	akkordeon
account	0.531	0.347	0.472	hasaby
accountability	0.755	0.537	0.833	jogapkärçilik
accountable	0.709	0.282	0.777	jogapkär
accountant	0.625	0.450	0.639	buhgalter
accounting	0.552	0.390	0.677	buhgalteriýa
accounts	0.592	0.340	0.471	hasaplary
accredited	0.669	0.479	0.768	akkreditlenen
accretion	0.448	0.519	0.672	akkreditasiýa
accrue	0.520	0.481	0.602	hasaplamak
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	ýygnamak
accumulation	0.479	0.527	0.600	ýygnamak
accuracy	0.604	0.481	0.802	takyklygy
accurate	0.743	0.360	0.737	takyk
accursed	0.135	0.745	0.345	nälet bolsun
accusation	0.073	0.718	0.564	aýyplama
accusative	0.198	0.755	0.482	aýyplaýjy
accuse	0.133	0.752	0.500	günäkärlemek
accused	0.130	0.670	0.420	günäkärlenýär
accuser	0.122	0.779	0.615	aýyplaýjy
accusing	0.156	0.745	0.324	günäkärlemek
accustomed	0.542	0.365	0.441	öwrenişdi
ace	0.643	0.481	0.546	ace
acetic	0.333	0.420	0.519	sirke
acetylene	0.306	0.469	0.509	asetilen
ache	0.146	0.760	0.312	agyry
achieve	0.816	0.545	0.843	gazanmak
