English Word	Valence	Arousal	Dominance	Thai Word
aaaaaaah	0.479	0.606	0.291	อ่าาาา
aaaah	0.520	0.636	0.282	อ่าาาา
aardvark	0.427	0.490	0.437	มด
aback	0.385	0.407	0.288	ผงะ
abacus	0.510	0.276	0.485	ลูกคิด
abalone	0.500	0.480	0.412	หอยเป๋าฮื้อ
abandon	0.052	0.519	0.245	ละทิ้ง
abandoned	0.046	0.481	0.130	ถูกทอดทิ้ง
abandonment	0.128	0.430	0.202	การละทิ้ง
abashed	0.177	0.644	0.307	อับอาย
abate	0.255	0.696	0.604	ลดน้อยลง
abatement	0.388	0.338	0.336	ลดหย่อน
abba	0.562	0.500	0.480	อับบา
abbey	0.580	0.367	0.444	วัด
abbot	0.427	0.321	0.483	เจ้าอาวาส
abbreviate	0.531	0.375	0.330	ย่อ
abbreviation	0.469	0.306	0.345	ตัวย่อ
abdomen	0.469	0.462	0.471	หน้าท้อง
abdominal	0.490	0.456	0.445	หน้าท้อง
abduct	0.173	0.720	0.615	ลักพาตัว
abduction	0.062	0.990	0.673	การลักพาตัว
aberrant	0.146	0.765	0.431	ผิดปกติ
aberration	0.125	0.816	0.417	ความคลาดเคลื่อน
abeyance	0.330	0.510	0.292	การละหมาด
abhor	0.125	0.602	0.349	เกลียดชัง
abhorrence	0.167	0.684	0.420	ความเกลียดชัง
abhorrent	0.229	0.750	0.474	น่ารังเกียจ
abide	0.635	0.354	0.705	อยู่
abiding	0.796	0.327	0.750	ดำรงอยู่
ability	0.875	0.510	0.816	ความสามารถ
abject	0.354	0.590	0.417	อนาถ
ablation	0.418	0.500	0.500	ระเหย
ablaze	0.240	0.847	0.525	ลุกโชน
able	0.786	0.500	0.810	สามารถ
abnormal	0.137	0.604	0.309	ผิดปกติ
abnormality	0.092	0.655	0.383	ความผิดปกติ
aboard	0.698	0.284	0.481	บนเรือ
abode	0.620	0.302	0.500	ที่พักอาศัย
abolish	0.448	0.615	0.529	ยกเลิก
abolition	0.323	0.690	0.529	การยกเลิก
abominable	0.120	0.731	0.482	น่ารังเกียจ
abominate	0.198	0.788	0.366	น่ารังเกียจ
abomination	0.078	0.755	0.518	สิ่งที่น่ารังเกียจ
aboriginal	0.448	0.427	0.542	อะบอริจิน
abort	0.153	0.686	0.429	ยกเลิก
abortion	0.082	0.770	0.283	การทำแท้ง
abortive	0.090	0.776	0.280	แท้ง
abound	0.704	0.490	0.681	อุดมสมบูรณ์
abovementioned	0.541	0.298	0.509	ดังกล่าวข้างต้น
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	รอยขีดข่วน
abrasive	0.392	0.610	0.593	สารกัดกร่อน
abreast	0.635	0.380	0.519	ทัน
abroad	0.677	0.596	0.561	ต่างประเทศ
abrogate	0.327	0.510	0.594	ยกเลิก
abrupt	0.271	0.819	0.545	กะทันหัน
abruptly	0.250	0.808	0.556	กะทันหัน
abscess	0.154	0.451	0.349	ฝี
absence	0.153	0.235	0.266	ขาด
absent	0.177	0.221	0.116	ขาด
absentee	0.235	0.330	0.279	ขาดเรียน
absenteeism	0.404	0.273	0.357	ขาดเรียน
absinthe	0.481	0.510	0.462	Absinthe
absolute	0.526	0.510	0.827	แน่นอน
absolution	0.715	0.500	0.664	อภัยโทษ
absolve	0.684	0.449	0.660	ให้อภัย
absorb	0.469	0.558	0.670	ดูดซับ
absorbed	0.490	0.471	0.519	ดูดซึม
absorbent	0.552	0.394	0.718	ตัวดูดซับ
absorbing	0.490	0.490	0.578	ดูดซับ
absorption	0.609	0.422	0.446	การดูดซึม
abstain	0.385	0.385	0.427	งดออกเสียง
abstention	0.271	0.264	0.509	งดออกเสียง
abstinence	0.260	0.392	0.429	การเลิกบุหรี่
abstract	0.438	0.292	0.444	บทคัดย่อ
abstraction	0.469	0.439	0.525	สิ่งที่เป็นนามธรรม
absurd	0.188	0.656	0.284	ไร้สาระ
absurdity	0.115	0.528	0.227	ไร้สาระ
abundance	0.812	0.690	0.852	ความอุดมสมบูรณ์
