English Word	Valence	Arousal	Dominance	Esperanto Word
aaaaaaah	0.479	0.606	0.291	aaaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	surprizite
abacus	0.510	0.276	0.485	abako
abalone	0.500	0.480	0.412	abalono
abandon	0.052	0.519	0.245	forlasi
abandoned	0.046	0.481	0.130	forlasita
abandonment	0.128	0.430	0.202	forlaso
abashed	0.177	0.644	0.307	hontigita
abate	0.255	0.696	0.604	abate
abatement	0.388	0.338	0.336	malpliigo
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	abatejo
abbot	0.427	0.321	0.483	abato
abbreviate	0.531	0.375	0.330	mallongigi
abbreviation	0.469	0.306	0.345	mallongigo
abdomen	0.469	0.462	0.471	abdomeno
abdominal	0.490	0.456	0.445	abdominales
abduct	0.173	0.720	0.615	forkapti
abduction	0.062	0.990	0.673	forkapto
aberrant	0.146	0.765	0.431	aberra
aberration	0.125	0.816	0.417	aberacio
abeyance	0.330	0.510	0.292	haltigo
abhor	0.125	0.602	0.349	abomeno
abhorrence	0.167	0.684	0.420	abomeno
abhorrent	0.229	0.750	0.474	abomeninda
abide	0.635	0.354	0.705	restadi
abiding	0.796	0.327	0.750	restinte
ability	0.875	0.510	0.816	kapableco
abject	0.354	0.590	0.417	abomena
ablation	0.418	0.500	0.500	ablacio
ablaze	0.240	0.847	0.525	flame
able	0.786	0.500	0.810	kapabla
abnormal	0.137	0.604	0.309	nenormala
abnormality	0.092	0.655	0.383	anomalio
aboard	0.698	0.284	0.481	surŝipe
abode	0.620	0.302	0.500	restadejo
abolish	0.448	0.615	0.529	aboli
abolition	0.323	0.690	0.529	abolicio
abominable	0.120	0.731	0.482	abomeninda
abominate	0.198	0.788	0.366	abomena
abomination	0.078	0.755	0.518	abomeno
aboriginal	0.448	0.427	0.542	aborigeno
abort	0.153	0.686	0.429	aborti
abortion	0.082	0.770	0.283	abortigo
abortive	0.090	0.776	0.280	abortita
abound	0.704	0.490	0.681	abundas
abovementioned	0.541	0.298	0.509	supre menciita
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	abrazio
abrasive	0.392	0.610	0.593	abrasivo
abreast	0.635	0.380	0.519	alflanke
abroad	0.677	0.596	0.561	eksterlande
abrogate	0.327	0.510	0.594	abrogi
abrupt	0.271	0.819	0.545	abrupta
abruptly	0.250	0.808	0.556	abrupte
abscess	0.154	0.451	0.349	absceso
absence	0.153	0.235	0.266	foresto
absent	0.177	0.221	0.116	forestanta
absentee	0.235	0.330	0.279	forestanto
absenteeism	0.404	0.273	0.357	foresto
absinthe	0.481	0.510	0.462	absinto
absolute	0.526	0.510	0.827	absoluta
absolution	0.715	0.500	0.664	absolvo
absolve	0.684	0.449	0.660	absolvi
absorb	0.469	0.558	0.670	sorbi
absorbed	0.490	0.471	0.519	absorbita
absorbent	0.552	0.394	0.718	sorba
absorbing	0.490	0.490	0.578	absorbanta
absorption	0.609	0.422	0.446	sorbado
abstain	0.385	0.385	0.427	sindeteni
abstention	0.271	0.264	0.509	sindeteno
abstinence	0.260	0.392	0.429	abstinado
abstract	0.438	0.292	0.444	abstraktaĵo
abstraction	0.469	0.439	0.525	abstraktado
absurd	0.188	0.656	0.284	absurda
absurdity	0.115	0.528	0.227	absurdaĵo
abundance	0.812	0.690	0.852	abundo
abundant	0.958	0.590	0.760	abunda
abuse	0.071	0.873	0.469	misuzo
abused	0.021	0.874	0.235	misuzita
abusive	0.125	0.903	0.567	perforta
abutment	0.500	0.265	0.616	abutment
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	abismaj
abyss	0.353	0.725	0.296	abismo
academic	0.781	0.420	0.812	akademiano
academy	0.704	0.473	0.792	akademio
accede	0.698	0.510	0.537	konsenti
accelerant	0.643	0.844	0.802	akcelilo
accelerate	0.615	0.902	0.759	akceli
accelerated	0.610	0.812	0.682	akcelis
acceleration	0.704	0.905	0.843	akcelo
accelerator	0.593	0.830	0.812	akcelilo
accent	0.598	0.357	0.509	akcento
accentuate	0.673	0.556	0.667	akcenti
accept	0.847	0.286	0.565	akcepti
acceptable	0.812	0.286	0.583	akceptebla
acceptance	0.833	0.287	0.755	akcepto
acceptances	0.847	0.413	0.648	akceptoj
access	0.714	0.472	0.567	aliro
accessible	0.796	0.410	0.645	atingebla
accession	0.612	0.383	0.636	aliĝo
accessory	0.562	0.292	0.445	akcesoraĵo
accident	0.125	0.908	0.336	akcidento
accidental	0.319	0.784	0.307	hazarde
accidentally	0.333	0.741	0.333	akcidente
acclaim	0.562	0.809	0.718	aklami
accolade	0.688	0.591	0.775	laŭdon
accommodate	0.844	0.375	0.566	akomodi
accommodation	0.817	0.415	0.587	loĝejo
accompaniment	0.740	0.479	0.695	akompano
accompany	0.833	0.406	0.585	akompani
accompanying	0.787	0.460	0.582	akompananta
accomplice	0.408	0.580	0.510	komplico
accomplish	0.929	0.673	0.816	plenumi
accomplished	0.870	0.520	0.798	plenumita
accomplishment	0.917	0.694	0.888	realigo
accord	0.898	0.264	0.382	akordo
accordance	0.659	0.349	0.600	konforme
accordion	0.604	0.490	0.361	akordiono
account	0.531	0.347	0.472	konto
accountability	0.755	0.537	0.833	respondigebleco
accountable	0.709	0.282	0.777	respondeca
accountant	0.625	0.450	0.639	librotenisto
accounting	0.552	0.390	0.677	kontado
accounts	0.592	0.340	0.471	kontoj
accredited	0.669	0.479	0.768	akreditita
accretion	0.448	0.519	0.672	surkresko
accrue	0.520	0.481	0.602	akumuliĝi
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	amasigi
accumulation	0.479	0.527	0.600	amasiĝo
accuracy	0.604	0.481	0.802	precizeco
accurate	0.743	0.360	0.737	preciza
accursed	0.135	0.745	0.345	malbenita
accusation	0.073	0.718	0.564	akuzo
accusative	0.198	0.755	0.482	akuzativo
accuse	0.133	0.752	0.500	akuzi
accused	0.130	0.670	0.420	akuzita
accuser	0.122	0.779	0.615	akuzanto
accusing	0.156	0.745	0.324	akuzante
accustomed	0.542	0.365	0.441	kutima
ace	0.643	0.481	0.546	aso
acetic	0.333	0.420	0.519	aceto
acetylene	0.306	0.469	0.509	acetileno
ache	0.146	0.760	0.312	doloras
achieve	0.816	0.545	0.843	atingi
achieved	0.896	0.519	0.775	atingita
achievement	0.896	0.808	0.759	atingo
aching	0.053	0.880	0.348	doloranta
achy	0.167	0.840	0.373	achy
acid	0.265	0.642	0.566	acido
acidity	0.156	0.663	0.360	acideco
acknowledge	0.786	0.370	0.661	agnoski
acknowledged	0.714	0.443	0.765	agnoskita
acknowledgement	0.819	0.539	0.830	agnosko
acknowledgment	0.796	0.528	0.777	agnosko
acme	0.408	0.435	0.375	akme
acne	0.167	0.474	0.308	akno
