English Word	Valence	Arousal	Dominance	Croatian Word
aaaaaaah	0.479	0.606	0.291	aaaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	južnoafrički mravojed
aback	0.385	0.407	0.288	zatečen
abacus	0.510	0.276	0.485	abakus
abalone	0.500	0.480	0.412	puzlatka
abandon	0.052	0.519	0.245	napustiti
abandoned	0.046	0.481	0.130	napuštena
abandonment	0.128	0.430	0.202	napuštanje
abashed	0.177	0.644	0.307	zbunjen
abate	0.255	0.696	0.604	ublažiti se
abatement	0.388	0.338	0.336	smanjenje
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	opatija
abbot	0.427	0.321	0.483	opat
abbreviate	0.531	0.375	0.330	skratiti
abbreviation	0.469	0.306	0.345	skraćenica
abdomen	0.469	0.462	0.471	trbuh
abdominal	0.490	0.456	0.445	trbušni
abduct	0.173	0.720	0.615	oteti
abduction	0.062	0.990	0.673	otmica
aberrant	0.146	0.765	0.431	nenormalan
aberration	0.125	0.816	0.417	aberacija
abeyance	0.330	0.510	0.292	mirovanje
abhor	0.125	0.602	0.349	gnušati se
abhorrence	0.167	0.684	0.420	odvratnost
abhorrent	0.229	0.750	0.474	odvratan
abide	0.635	0.354	0.705	pridržavati se
abiding	0.796	0.327	0.750	postojan
ability	0.875	0.510	0.816	sposobnost
abject	0.354	0.590	0.417	abjekat
ablation	0.418	0.500	0.500	ablacija
ablaze	0.240	0.847	0.525	u plamenu
able	0.786	0.500	0.810	sposoban
abnormal	0.137	0.604	0.309	nenormalan
abnormality	0.092	0.655	0.383	abnormalnost
aboard	0.698	0.284	0.481	na brodu
abode	0.620	0.302	0.500	prebivalište
abolish	0.448	0.615	0.529	ukinuti
abolition	0.323	0.690	0.529	ukidanje
abominable	0.120	0.731	0.482	odvratan
abominate	0.198	0.788	0.366	gnušati se
abomination	0.078	0.755	0.518	odvratnost
aboriginal	0.448	0.427	0.542	starosjedilac
abort	0.153	0.686	0.429	prekid
abortion	0.082	0.770	0.283	abortus
abortive	0.090	0.776	0.280	prijevremen
abound	0.704	0.490	0.681	obilovati
abovementioned	0.541	0.298	0.509	gore rečeno
abracadabra	0.673	0.632	0.434	abrakadabra
abrasion	0.406	0.592	0.441	abrazija
abrasive	0.392	0.610	0.593	abrazivna
abreast	0.635	0.380	0.519	usporedo
abroad	0.677	0.596	0.561	u inozemstvu
abrogate	0.327	0.510	0.594	poništiti
abrupt	0.271	0.819	0.545	isprekidan
abruptly	0.250	0.808	0.556	naglo
abscess	0.154	0.451	0.349	apsces
absence	0.153	0.235	0.266	odsutnost
absent	0.177	0.221	0.116	odsutan
absentee	0.235	0.330	0.279	odsutan
absenteeism	0.404	0.273	0.357	izostajanje s posla
absinthe	0.481	0.510	0.462	absint
absolute	0.526	0.510	0.827	apsolutni
absolution	0.715	0.500	0.664	oprost
absolve	0.684	0.449	0.660	razriješiti
absorb	0.469	0.558	0.670	upiti
absorbed	0.490	0.471	0.519	apsorbiran
absorbent	0.552	0.394	0.718	upijajući
absorbing	0.490	0.490	0.578	apsorpcioni
absorption	0.609	0.422	0.446	apsorpcija
abstain	0.385	0.385	0.427	suzdržati se
abstention	0.271	0.264	0.509	suzdržanost
abstinence	0.260	0.392	0.429	apstinencija
abstract	0.438	0.292	0.444	sažetak
abstraction	0.469	0.439	0.525	apstrakcija
absurd	0.188	0.656	0.284	apsurdno
absurdity	0.115	0.528	0.227	apsurdnost
abundance	0.812	0.690	0.852	obilje
abundant	0.958	0.590	0.760	obilan
abuse	0.071	0.873	0.469	zlostavljanje
abused	0.021	0.874	0.235	zlostavljao
abusive	0.125	0.903	0.567	uvredljiv
abutment	0.500	0.265	0.616	upornjak
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	bez dna
abyss	0.353	0.725	0.296	bezdan
academic	0.781	0.420	0.812	akademski
academy	0.704	0.473	0.792	akademija
accede	0.698	0.510	0.537	pristupiti
accelerant	0.643	0.844	0.802	ubrzivač
accelerate	0.615	0.902	0.759	ubrzati
accelerated	0.610	0.812	0.682	ubrzano
acceleration	0.704	0.905	0.843	ubrzanje
accelerator	0.593	0.830	0.812	akcelerator
accent	0.598	0.357	0.509	naglasak
accentuate	0.673	0.556	0.667	naglasiti
accept	0.847	0.286	0.565	prihvatiti
acceptable	0.812	0.286	0.583	prihvatljiv
acceptance	0.833	0.287	0.755	prihvaćanje
acceptances	0.847	0.413	0.648	prihvaćanja
access	0.714	0.472	0.567	pristup
accessible	0.796	0.410	0.645	pristupačan
accession	0.612	0.383	0.636	pristupanje
accessory	0.562	0.292	0.445	oprema
accident	0.125	0.908	0.336	nesreća
accidental	0.319	0.784	0.307	slučajan
accidentally	0.333	0.741	0.333	slučajno
acclaim	0.562	0.809	0.718	aklamirati
accolade	0.688	0.591	0.775	priznanje
accommodate	0.844	0.375	0.566	smjestiti
accommodation	0.817	0.415	0.587	smještaj
accompaniment	0.740	0.479	0.695	pratnja
accompany	0.833	0.406	0.585	pratiti
accompanying	0.787	0.460	0.582	prateći
accomplice	0.408	0.580	0.510	suučesnik
accomplish	0.929	0.673	0.816	ostvariti
accomplished	0.870	0.520	0.798	ostvareno
accomplishment	0.917	0.694	0.888	postignuće
accord	0.898	0.264	0.382	sporazum
accordance	0.659	0.349	0.600	suglasnost
accordion	0.604	0.490	0.361	harmonika
account	0.531	0.347	0.472	račun
accountability	0.755	0.537	0.833	odgovornost
accountable	0.709	0.282	0.777	odgovoran
accountant	0.625	0.450	0.639	računovođa
accounting	0.552	0.390	0.677	računovodstvo
accounts	0.592	0.340	0.471	računi
accredited	0.669	0.479	0.768	akreditovan
accretion	0.448	0.519	0.672	prirastanje
accrue	0.520	0.481	0.602	akumulirati
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	akumulirati
accumulation	0.479	0.527	0.600	akumulacija
accuracy	0.604	0.481	0.802	točnost
accurate	0.743	0.360	0.737	točan
accursed	0.135	0.745	0.345	proklet
accusation	0.073	0.718	0.564	optužba
accusative	0.198	0.755	0.482	akuzativ
accuse	0.133	0.752	0.500	optužiti
accused	0.130	0.670	0.420	optuženik
accuser	0.122	0.779	0.615	optužitelj
accusing	0.156	0.745	0.324	optužujući
accustomed	0.542	0.365	0.441	navikli
ace	0.643	0.481	0.546	as
acetic	0.333	0.420	0.519	octena
acetylene	0.306	0.469	0.509	acetilen
ache	0.146	0.760	0.312	boljeti
achieve	0.816	0.545	0.843	postići
achieved	0.896	0.519	0.775	postignuto
achievement	0.896	0.808	0.759	postignuće
aching	0.053	0.880	0.348	bolan
achy	0.167	0.840	0.373	bolan
acid	0.265	0.642	0.566	kiselina
acidity	0.156	0.663	0.360	kiselost
acknowledge	0.786	0.370	0.661	priznati
acknowledged	0.714	0.443	0.765	priznati
