English Word	Valence	Arousal	Dominance	Basque Word
aaaaaaah	0.479	0.606	0.291	aaaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	txondorra
aback	0.385	0.407	0.288	harrituta
abacus	0.510	0.276	0.485	abakoa
abalone	0.500	0.480	0.412	abalone
abandon	0.052	0.519	0.245	abandonatu
abandoned	0.046	0.481	0.130	abandonatu
abandonment	0.128	0.430	0.202	abandonatzea
abashed	0.177	0.644	0.307	lotsatu
abate	0.255	0.696	0.604	apaldu
abatement	0.388	0.338	0.336	apaltzea
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	abadia
abbot	0.427	0.321	0.483	abade
abbreviate	0.531	0.375	0.330	laburtu
abbreviation	0.469	0.306	0.345	laburdura
abdomen	0.469	0.462	0.471	sabelaldea
abdominal	0.490	0.456	0.445	sabelekoa
abduct	0.173	0.720	0.615	bahitu
abduction	0.062	0.990	0.673	bahiketa
aberrant	0.146	0.765	0.431	aberrantea
aberration	0.125	0.816	0.417	aberrazioa
abeyance	0.330	0.510	0.292	geldialdia
abhor	0.125	0.602	0.349	gaitzetsi
abhorrence	0.167	0.684	0.420	higuina
abhorrent	0.229	0.750	0.474	higuingarria
abide	0.635	0.354	0.705	eutsi
abiding	0.796	0.327	0.750	iraunkorra
ability	0.875	0.510	0.816	gaitasuna
abject	0.354	0.590	0.417	ikaragarria
ablation	0.418	0.500	0.500	ablazioa
ablaze	0.240	0.847	0.525	sutan
able	0.786	0.500	0.810	gai
abnormal	0.137	0.604	0.309	anormala
abnormality	0.092	0.655	0.383	anormaltasuna
aboard	0.698	0.284	0.481	itsasontzian
abode	0.620	0.302	0.500	egoitza
abolish	0.448	0.615	0.529	deuseztatu
abolition	0.323	0.690	0.529	abolizioa
abominable	0.120	0.731	0.482	higuingarria
abominate	0.198	0.788	0.366	higuingarria
abomination	0.078	0.755	0.518	higuingarria
aboriginal	0.448	0.427	0.542	aborigena
abort	0.153	0.686	0.429	abortatu
abortion	0.082	0.770	0.283	abortua
abortive	0.090	0.776	0.280	abortua
abound	0.704	0.490	0.681	ugari
abovementioned	0.541	0.298	0.509	gorago aipatua
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	urradura
abrasive	0.392	0.610	0.593	urratzailea
abreast	0.635	0.380	0.519	parean
abroad	0.677	0.596	0.561	atzerrian
abrogate	0.327	0.510	0.594	indargabetu
abrupt	0.271	0.819	0.545	bat-batekoa
abruptly	0.250	0.808	0.556	bat-batean
abscess	0.154	0.451	0.349	abszesoa
absence	0.153	0.235	0.266	absentzia
absent	0.177	0.221	0.116	faltan
absentee	0.235	0.330	0.279	absentea
absenteeism	0.404	0.273	0.357	absentismoa
absinthe	0.481	0.510	0.462	absintoa
absolute	0.526	0.510	0.827	absolutua
absolution	0.715	0.500	0.664	absoluzioa
absolve	0.684	0.449	0.660	absolbitu
absorb	0.469	0.558	0.670	xurgatu
absorbed	0.490	0.471	0.519	xurgatu
absorbent	0.552	0.394	0.718	xurgatzailea
absorbing	0.490	0.490	0.578	xurgatzen
absorption	0.609	0.422	0.446	xurgapena
abstain	0.385	0.385	0.427	abstenitu
abstention	0.271	0.264	0.509	abstentzioa
abstinence	0.260	0.392	0.429	abstinentzia
abstract	0.438	0.292	0.444	abstraktua
abstraction	0.469	0.439	0.525	abstrakzioa
absurd	0.188	0.656	0.284	absurdoa
absurdity	0.115	0.528	0.227	absurdoa
abundance	0.812	0.690	0.852	ugaritasuna
abundant	0.958	0.590	0.760	ugaria
abuse	0.071	0.873	0.469	tratu txarrak
abused	0.021	0.874	0.235	tratu txarrak
abusive	0.125	0.903	0.567	abusua
abutment	0.500	0.265	0.616	estalpea
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	ikaragarria
abyss	0.353	0.725	0.296	amildegia
academic	0.781	0.420	0.812	akademikoa
academy	0.704	0.473	0.792	akademia
accede	0.698	0.510	0.537	sartu
accelerant	0.643	0.844	0.802	azeleratzailea
accelerate	0.615	0.902	0.759	bizkortu
accelerated	0.610	0.812	0.682	azeleratua
acceleration	0.704	0.905	0.843	azelerazioa
accelerator	0.593	0.830	0.812	azeleragailua
accent	0.598	0.357	0.509	azentua
accentuate	0.673	0.556	0.667	areagotu
accept	0.847	0.286	0.565	onartu
acceptable	0.812	0.286	0.583	onargarria
acceptance	0.833	0.287	0.755	onarpena
acceptances	0.847	0.413	0.648	onarpenak
access	0.714	0.472	0.567	sarbidea
accessible	0.796	0.410	0.645	eskuragarria
accession	0.612	0.383	0.636	atxikimendua
accessory	0.562	0.292	0.445	osagarria
accident	0.125	0.908	0.336	istripua
accidental	0.319	0.784	0.307	ustekabekoa
accidentally	0.333	0.741	0.333	ustekabean
acclaim	0.562	0.809	0.718	txalotu
accolade	0.688	0.591	0.775	laudorioa
accommodate	0.844	0.375	0.566	egokitu
accommodation	0.817	0.415	0.587	ostatua
accompaniment	0.740	0.479	0.695	akonpainamendua
accompany	0.833	0.406	0.585	lagundu
accompanying	0.787	0.460	0.582	lagunduta
accomplice	0.408	0.580	0.510	konplize
accomplish	0.929	0.673	0.816	bete
accomplished	0.870	0.520	0.798	betea
accomplishment	0.917	0.694	0.888	lorpena
accord	0.898	0.264	0.382	adostasuna
accordance	0.659	0.349	0.600	adostasuna
accordion	0.604	0.490	0.361	akordeoia
account	0.531	0.347	0.472	kontua
accountability	0.755	0.537	0.833	erantzukizuna
accountable	0.709	0.282	0.777	kontuak
accountant	0.625	0.450	0.639	kontulari
accounting	0.552	0.390	0.677	kontabilitatea
accounts	0.592	0.340	0.471	kontuak
accredited	0.669	0.479	0.768	akreditatua
accretion	0.448	0.519	0.672	gehikuntza
accrue	0.520	0.481	0.602	metatu
accueil	0.450	0.451	0.470	harrera
accumulate	0.573	0.536	0.607	metatu
accumulation	0.479	0.527	0.600	metaketa
accuracy	0.604	0.481	0.802	zehaztasuna
accurate	0.743	0.360	0.737	zehatza
accursed	0.135	0.745	0.345	madarikatua
accusation	0.073	0.718	0.564	salaketa
accusative	0.198	0.755	0.482	akusatiboa
accuse	0.133	0.752	0.500	salatu
accused	0.130	0.670	0.420	salatua
accuser	0.122	0.779	0.615	salatzailea
accusing	0.156	0.745	0.324	salatzen
accustomed	0.542	0.365	0.441	ohituta
ace	0.643	0.481	0.546	batekoa
acetic	0.333	0.420	0.519	azetikoa
acetylene	0.306	0.469	0.509	azetilenoa
ache	0.146	0.760	0.312	mina
achieve	0.816	0.545	0.843	lortu
achieved	0.896	0.519	0.775	lortua
achievement	0.896	0.808	0.759	lorpena
aching	0.053	0.880	0.348	minbera
achy	0.167	0.840	0.373	minbera
acid	0.265	0.642	0.566	azidoa
acidity	0.156	0.663	0.360	azidotasuna
acknowledge	0.786	0.370	0.661	aitortu
