English Word	Valence	Arousal	Dominance	Yoruba Word
aaaaaaah	0.479	0.606	0.291	aaaaaaa
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	iyalenu
abacus	0.510	0.276	0.485	abacus
abalone	0.500	0.480	0.412	abalone
abandon	0.052	0.519	0.245	kọ silẹ
abandoned	0.046	0.481	0.130	abandoned
abandonment	0.128	0.430	0.202	kọ silẹ
abashed	0.177	0.644	0.307	aibalẹ
abate	0.255	0.696	0.604	abate
abatement	0.388	0.338	0.336	idinku
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	abbey
abbot	0.427	0.321	0.483	aboti
abbreviate	0.531	0.375	0.330	kekuru
abbreviation	0.469	0.306	0.345	abbreviation
abdomen	0.469	0.462	0.471	ikun
abdominal	0.490	0.456	0.445	inu
abduct	0.173	0.720	0.615	jigbe
abduction	0.062	0.990	0.673	ifasilẹ awọn
aberrant	0.146	0.765	0.431	aberrant
aberration	0.125	0.816	0.417	aberration
abeyance	0.330	0.510	0.292	abeyance
abhor	0.125	0.602	0.349	korira
abhorrence	0.167	0.684	0.420	ikorira
abhorrent	0.229	0.750	0.474	irira
abide	0.635	0.354	0.705	duro
abiding	0.796	0.327	0.750	duro
ability	0.875	0.510	0.816	agbara
abject	0.354	0.590	0.417	airotẹlẹ
ablation	0.418	0.500	0.500	ablation
ablaze	0.240	0.847	0.525	gbigbona
able	0.786	0.500	0.810	le
abnormal	0.137	0.604	0.309	ajeji
abnormality	0.092	0.655	0.383	aiṣedeede
aboard	0.698	0.284	0.481	ngbenu
abode	0.620	0.302	0.500	ibugbe
abolish	0.448	0.615	0.529	fopin si
abolition	0.323	0.690	0.529	imukuro
abominable	0.120	0.731	0.482	irira
abominate	0.198	0.788	0.366	irira
abomination	0.078	0.755	0.518	irira
aboriginal	0.448	0.427	0.542	abinibi
abort	0.153	0.686	0.429	iṣẹyun
abortion	0.082	0.770	0.283	iṣẹyun
abortive	0.090	0.776	0.280	aboyun
abound	0.704	0.490	0.681	pọ
abovementioned	0.541	0.298	0.509	loke darukọ
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	abrasion
abrasive	0.392	0.610	0.593	abrasive
abreast	0.635	0.380	0.519	abreast
abroad	0.677	0.596	0.561	odi
abrogate	0.327	0.510	0.594	fagilee
abrupt	0.271	0.819	0.545	lojiji
abruptly	0.250	0.808	0.556	lojiji
abscess	0.154	0.451	0.349	abscess
absence	0.153	0.235	0.266	isansa
absent	0.177	0.221	0.116	ti ko si
absentee	0.235	0.330	0.279	isansa
absenteeism	0.404	0.273	0.357	isansa
absinthe	0.481	0.510	0.462	absinthe
absolute	0.526	0.510	0.827	pipe
absolution	0.715	0.500	0.664	abolution
absolve	0.684	0.449	0.660	absolve
absorb	0.469	0.558	0.670	fa
absorbed	0.490	0.471	0.519	gbigba
absorbent	0.552	0.394	0.718	absorbent
absorbing	0.490	0.490	0.578	gbigba
absorption	0.609	0.422	0.446	gbigba
abstain	0.385	0.385	0.427	yẹra fun
abstention	0.271	0.264	0.509	aibikita
abstinence	0.260	0.392	0.429	abstinence
abstract	0.438	0.292	0.444	áljẹbrà
abstraction	0.469	0.439	0.525	áljẹbrà
absurd	0.188	0.656	0.284	inira
absurdity	0.115	0.528	0.227	absurdity
abundance	0.812	0.690	0.852	lọpọlọpọ
abundant	0.958	0.590	0.760	lọpọlọpọ
abuse	0.071	0.873	0.469	ilokulo
abused	0.021	0.874	0.235	ti reje
abusive	0.125	0.903	0.567	meedogbon
abutment	0.500	0.265	0.616	abutment
aby	0.385	0.452	0.368	abi
abysmal	0.250	0.710	0.598	abysmal
abyss	0.353	0.725	0.296	abyss
academic	0.781	0.420	0.812	omowe
academy	0.704	0.473	0.792	ijinlẹ
accede	0.698	0.510	0.537	gba wọle
accelerant	0.643	0.844	0.802	iyarasare
accelerate	0.615	0.902	0.759	mu yara
accelerated	0.610	0.812	0.682	onikiakia
acceleration	0.704	0.905	0.843	isare
accelerator	0.593	0.830	0.812	ohun imuyara
accent	0.598	0.357	0.509	asẹnti
accentuate	0.673	0.556	0.667	accentuate
accept	0.847	0.286	0.565	gba
acceptable	0.812	0.286	0.583	itewogba
acceptance	0.833	0.287	0.755	gbigba
