English Word	Valence	Arousal	Dominance	Vietnamese Word
aaaaaaah	0.479	0.606	0.291	aaaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	ngạc nhiên
abacus	0.510	0.276	0.485	bàn tính
abalone	0.500	0.480	0.412	bào ngư
abandon	0.052	0.519	0.245	bỏ rơi
abandoned	0.046	0.481	0.130	bị bỏ rơi
abandonment	0.128	0.430	0.202	sự bỏ rơi
abashed	0.177	0.644	0.307	xúc phạm
abate	0.255	0.696	0.604	giảm bớt
abatement	0.388	0.338	0.336	giảm bớt
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	tu viện
abbot	0.427	0.321	0.483	trụ trì
abbreviate	0.531	0.375	0.330	viết tắt
abbreviation	0.469	0.306	0.345	viết tắt
abdomen	0.469	0.462	0.471	bụng
abdominal	0.490	0.456	0.445	bụng
abduct	0.173	0.720	0.615	bắt cóc
abduction	0.062	0.990	0.673	bắt cóc
aberrant	0.146	0.765	0.431	aberrant
aberration	0.125	0.816	0.417	quang sai
abeyance	0.330	0.510	0.292	abeyance
abhor	0.125	0.602	0.349	ghê tởm
abhorrence	0.167	0.684	0.420	sự ghê tởm
abhorrent	0.229	0.750	0.474	ghê tởm
abide	0.635	0.354	0.705	chịu đựng
abiding	0.796	0.327	0.750	tuân thủ
ability	0.875	0.510	0.816	có khả năng
abject	0.354	0.590	0.417	Khổ sở
ablation	0.418	0.500	0.500	cắt bỏ
ablaze	0.240	0.847	0.525	bốc cháy
able	0.786	0.500	0.810	có thể
abnormal	0.137	0.604	0.309	khác thường
abnormality	0.092	0.655	0.383	bất thường
aboard	0.698	0.284	0.481	cái bảng
abode	0.620	0.302	0.500	chỗ ở
abolish	0.448	0.615	0.529	bỏ
abolition	0.323	0.690	0.529	bãi bỏ
abominable	0.120	0.731	0.482	gớm ghiếc
abominate	0.198	0.788	0.366	ghê tởm
abomination	0.078	0.755	0.518	sự ghê tởm
aboriginal	0.448	0.427	0.542	thổ dân
abort	0.153	0.686	0.429	Huỷ bỏ
abortion	0.082	0.770	0.283	sự phá thai
abortive	0.090	0.776	0.280	phá thai
abound	0.704	0.490	0.681	nhiều
abovementioned	0.541	0.298	0.509	đã đề cập ở trên
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	mài mòn
abrasive	0.392	0.610	0.593	mài mòn
abreast	0.635	0.380	0.519	ngang nhau
abroad	0.677	0.596	0.561	nước ngoài
abrogate	0.327	0.510	0.594	bãi bỏ
abrupt	0.271	0.819	0.545	đột ngột
abruptly	0.250	0.808	0.556	đột ngột
abscess	0.154	0.451	0.349	áp xe
absence	0.153	0.235	0.266	vắng mặt
absent	0.177	0.221	0.116	vắng mặt
absentee	0.235	0.330	0.279	vắng mặt
absenteeism	0.404	0.273	0.357	nghỉ học
absinthe	0.481	0.510	0.462	absinthe
absolute	0.526	0.510	0.827	tuyệt đối
absolution	0.715	0.500	0.664	sự giải tội
absolve	0.684	0.449	0.660	tha cho
absorb	0.469	0.558	0.670	hấp thụ
absorbed	0.490	0.471	0.519	hấp thụ
absorbent	0.552	0.394	0.718	thấm
absorbing	0.490	0.490	0.578	hấp thụ
absorption	0.609	0.422	0.446	sự hấp thụ
abstain	0.385	0.385	0.427	kiêng
abstention	0.271	0.264	0.509	sự bỏ phiếu trắng
abstinence	0.260	0.392	0.429	tiết chế
abstract	0.438	0.292	0.444	trừu tượng
abstraction	0.469	0.439	0.525	sự trừu tượng
absurd	0.188	0.656	0.284	ngớ ngẩn
absurdity	0.115	0.528	0.227	sự vô lý
abundance	0.812	0.690	0.852	dồi dào
abundant	0.958	0.590	0.760	dồi dào
abuse	0.071	0.873	0.469	lạm dụng
abused	0.021	0.874	0.235	bị lạm dụng
abusive	0.125	0.903	0.567	mắng nhiếc
abutment	0.500	0.265	0.616	trụ cầu
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	vực thẳm
abyss	0.353	0.725	0.296	vực sâu
academic	0.781	0.420	0.812	thuộc về lý thuyết
academy	0.704	0.473	0.792	học viện
accede	0.698	0.510	0.537	gia nhập
accelerant	0.643	0.844	0.802	chất gia tốc
accelerate	0.615	0.902	0.759	Thúc giục
accelerated	0.610	0.812	0.682	tăng tốc
acceleration	0.704	0.905	0.843	sự tăng tốc
accelerator	0.593	0.830	0.812	máy gia tốc
accent	0.598	0.357	0.509	giọng
accentuate	0.673	0.556	0.667	nhấn mạnh
accept	0.847	0.286	0.565	Chấp nhận
acceptable	0.812	0.286	0.583	có thể chấp nhận được
acceptance	0.833	0.287	0.755	chấp thuận
acceptances	0.847	0.413	0.648	sự chấp nhận
access	0.714	0.472	0.567	truy cập
accessible	0.796	0.410	0.645	có thể truy cập
accession	0.612	0.383	0.636	sự gia nhập
accessory	0.562	0.292	0.445	phụ kiện
accident	0.125	0.908	0.336	Tai nạn
accidental	0.319	0.784	0.307	tình cờ
accidentally	0.333	0.741	0.333	tình cờ
acclaim	0.562	0.809	0.718	hoan hô
accolade	0.688	0.591	0.775	tuyên dương
accommodate	0.844	0.375	0.566	cung cấp
accommodation	0.817	0.415	0.587	chỗ ở
accompaniment	0.740	0.479	0.695	đệm đàn
accompany	0.833	0.406	0.585	đồng hành
accompanying	0.787	0.460	0.582	đi cùng
accomplice	0.408	0.580	0.510	đồng lõa
accomplish	0.929	0.673	0.816	hoàn thành
accomplished	0.870	0.520	0.798	hoàn thành
accomplishment	0.917	0.694	0.888	thành quả
accord	0.898	0.264	0.382	phù hợp
accordance	0.659	0.349	0.600	Tùy theo
accordion	0.604	0.490	0.361	đàn accordion
account	0.531	0.347	0.472	tài khoản
accountability	0.755	0.537	0.833	trách nhiệm giải trình
accountable	0.709	0.282	0.777	có trách nhiệm
accountant	0.625	0.450	0.639	kế toán viên
accounting	0.552	0.390	0.677	kế toán
accounts	0.592	0.340	0.471	tài khoản
accredited	0.669	0.479	0.768	được công nhận
accretion	0.448	0.519	0.672	sự bồi đắp
accrue	0.520	0.481	0.602	tích lũy
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	tích trữ
accumulation	0.479	0.527	0.600	tích lũy
accuracy	0.604	0.481	0.802	sự chính xác
accurate	0.743	0.360	0.737	chính xác
accursed	0.135	0.745	0.345	đáng nguyền rủa
accusation	0.073	0.718	0.564	lời buộc tội
accusative	0.198	0.755	0.482	buộc tội
accuse	0.133	0.752	0.500	buộc tội
accused	0.130	0.670	0.420	bị tô cáo
accuser	0.122	0.779	0.615	người tố cáo
accusing	0.156	0.745	0.324	buộc tội
accustomed	0.542	0.365	0.441	quen
ace	0.643	0.481	0.546	át chủ
acetic	0.333	0.420	0.519	acetic
acetylene	0.306	0.469	0.509	axetylen
