English Word	Valence	Arousal	Dominance	Kinyarwanda Word
aaaaaaah	0.479	0.606	0.291	aaaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	aback
abacus	0.510	0.276	0.485	abacus
abalone	0.500	0.480	0.412	abalone
abandon	0.052	0.519	0.245	kureka
abandoned	0.046	0.481	0.130	yatereranye
abandonment	0.128	0.430	0.202	gutererana
abashed	0.177	0.644	0.307	agasuzuguro
abate	0.255	0.696	0.604	abate
abatement	0.388	0.338	0.336	kugabanuka
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	abbey
abbot	0.427	0.321	0.483	abbot
abbreviate	0.531	0.375	0.330	muri make
abbreviation	0.469	0.306	0.345	amagambo ahinnye
abdomen	0.469	0.462	0.471	inda
abdominal	0.490	0.456	0.445	inda
abduct	0.173	0.720	0.615	gushimuta
abduction	0.062	0.990	0.673	gushimuta
aberrant	0.146	0.765	0.431	aberrant
aberration	0.125	0.816	0.417	aberration
abeyance	0.330	0.510	0.292	abeyance
abhor	0.125	0.602	0.349	urunuka
abhorrence	0.167	0.684	0.420	amahano
abhorrent	0.229	0.750	0.474	ikizira
abide	0.635	0.354	0.705	guma
abiding	0.796	0.327	0.750	kuguma
ability	0.875	0.510	0.816	ubushobozi
abject	0.354	0.590	0.417	abject
ablation	0.418	0.500	0.500	kwiyuhagira
ablaze	0.240	0.847	0.525	umuriro
able	0.786	0.500	0.810	bashoboye
abnormal	0.137	0.604	0.309	bidasanzwe
abnormality	0.092	0.655	0.383	bidasanzwe
aboard	0.698	0.284	0.481	mu bwato
abode	0.620	0.302	0.500	ubuturo
abolish	0.448	0.615	0.529	gukuraho
abolition	0.323	0.690	0.529	gukuraho
abominable	0.120	0.731	0.482	ikizira
abominate	0.198	0.788	0.366	ikizira
abomination	0.078	0.755	0.518	ikizira
aboriginal	0.448	0.427	0.542	Aboriginal
abort	0.153	0.686	0.429	gukuramo inda
abortion	0.082	0.770	0.283	gukuramo inda
abortive	0.090	0.776	0.280	gukuramo inda
abound	0.704	0.490	0.681	ni benshi
abovementioned	0.541	0.298	0.509	byavuzwe haruguru
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	abrasion
abrasive	0.392	0.610	0.593	abrasive
abreast	0.635	0.380	0.519	abreast
abroad	0.677	0.596	0.561	mu mahanga
abrogate	0.327	0.510	0.594	gukuraho
abrupt	0.271	0.819	0.545	gitunguranye
abruptly	0.250	0.808	0.556	mu buryo butunguranye
abscess	0.154	0.451	0.349	ibibyimba
absence	0.153	0.235	0.266	kubura
absent	0.177	0.221	0.116	adahari
absentee	0.235	0.330	0.279	adahari
absenteeism	0.404	0.273	0.357	kudahari
absinthe	0.481	0.510	0.462	abinthe
absolute	0.526	0.510	0.827	byuzuye
absolution	0.715	0.500	0.664	gusiba
absolve	0.684	0.449	0.660	gukuraho
absorb	0.469	0.558	0.670	gukuramo
absorbed	0.490	0.471	0.519	yakiriwe
absorbent	0.552	0.394	0.718	Kwinjira
absorbing	0.490	0.490	0.578	gukurura
absorption	0.609	0.422	0.446	kwinjiza
abstain	0.385	0.385	0.427	Irinde
abstention	0.271	0.264	0.509	kwifata
abstinence	0.260	0.392	0.429	kwifata
abstract	0.438	0.292	0.444	abstract
abstraction	0.469	0.439	0.525	abstraction
absurd	0.188	0.656	0.284	bitumvikana
absurdity	0.115	0.528	0.227	ubuswa
abundance	0.812	0.690	0.852	ubwinshi
abundant	0.958	0.590	0.760	ni byinshi
abuse	0.071	0.873	0.469	guhohoterwa
abused	0.021	0.874	0.235	bahohotewe
abusive	0.125	0.903	0.567	gutukana
abutment	0.500	0.265	0.616	abutment
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	abysmal
abyss	0.353	0.725	0.296	ikuzimu
academic	0.781	0.420	0.812	amasomo
academy	0.704	0.473	0.792	ishuri
accede	0.698	0.510	0.537	kwinjira
accelerant	0.643	0.844	0.802	byihuse
accelerate	0.615	0.902	0.759	kwihuta
accelerated	0.610	0.812	0.682	byihuse
acceleration	0.704	0.905	0.843	kwihuta
accelerator	0.593	0.830	0.812	yihuta
accent	0.598	0.357	0.509	imvugo
accentuate	0.673	0.556	0.667	shimangira
accept	0.847	0.286	0.565	emera
acceptable	0.812	0.286	0.583	biremewe
acceptance	0.833	0.287	0.755	kwemerwa
acceptances	0.847	0.413	0.648	kwemerwa
access	0.714	0.472	0.567	kwinjira
accessible	0.796	0.410	0.645	birashoboka
accession	0.612	0.383	0.636	kwinjira
accessory	0.562	0.292	0.445	ibikoresho
accident	0.125	0.908	0.336	impanuka
accidental	0.319	0.784	0.307	impanuka
accidentally	0.333	0.741	0.333	ku bw'impanuka
acclaim	0.562	0.809	0.718	ishimwe
accolade	0.688	0.591	0.775	ishimwe
accommodate	0.844	0.375	0.566	kubakira
accommodation	0.817	0.415	0.587	icumbi
accompaniment	0.740	0.479	0.695	guherekeza
accompany	0.833	0.406	0.585	guherekeza
accompanying	0.787	0.460	0.582	guherekeza
accomplice	0.408	0.580	0.510	icyitso
accomplish	0.929	0.673	0.816	kurangiza
accomplished	0.870	0.520	0.798	byagezweho
accomplishment	0.917	0.694	0.888	ibyagezweho
accord	0.898	0.264	0.382	ubwumvikane
accordance	0.659	0.349	0.600	bikurikije
accordion	0.604	0.490	0.361	inanga
account	0.531	0.347	0.472	konte
accountability	0.755	0.537	0.833	kubazwa
accountable	0.709	0.282	0.777	kubazwa
accountant	0.625	0.450	0.639	umucungamari
accounting	0.552	0.390	0.677	ibaruramari
accounts	0.592	0.340	0.471	Konti
accredited	0.669	0.479	0.768	Yemewe
accretion	0.448	0.519	0.672	Kwiyongera
accrue	0.520	0.481	0.602	Kubara
accueil	0.450	0.451	0.470	gushinja
accumulate	0.573	0.536	0.607	kurundanya
accumulation	0.479	0.527	0.600	kwirundanyiriza
accuracy	0.604	0.481	0.802	Ukuri
accurate	0.743	0.360	0.737	neza
accursed	0.135	0.745	0.345	yavumwe
accusation	0.073	0.718	0.564	ibirego
accusative	0.198	0.755	0.482	gushinja
accuse	0.133	0.752	0.500	gushinja
accused	0.130	0.670	0.420	ushinjwa
accuser	0.122	0.779	0.615	umushinja
accusing	0.156	0.745	0.324	gushinja
accustomed	0.542	0.365	0.441	bamenyereye
ace	0.643	0.481	0.546	ace
acetic	0.333	0.420	0.519	acetike
acetylene	0.306	0.469	0.509	acetylene
ache	0.146	0.760	0.312	kubabara
achieve	0.816	0.545	0.843	kugeraho
achieved	0.896	0.519	0.775	byagezweho
achievement	0.896	0.808	0.759	ibyagezweho
aching	0.053	0.880	0.348	kubabara
achy	0.167	0.840	0.373	kubabara
acid	0.265	0.642	0.566	aside
acidity	0.156	0.663	0.360	acide
