English Word	Valence	Arousal	Dominance	Indonesian Word
aaaaaaah	0.479	0.606	0.291	aaaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	tapir
aback	0.385	0.407	0.288	kembali
abacus	0.510	0.276	0.485	sempoa
abalone	0.500	0.480	0.412	pauhi
abandon	0.052	0.519	0.245	meninggalkan
abandoned	0.046	0.481	0.130	ditinggalkan
abandonment	0.128	0.430	0.202	pengabaian
abashed	0.177	0.644	0.307	malu
abate	0.255	0.696	0.604	mereda
abatement	0.388	0.338	0.336	pengurangan
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	biara
abbot	0.427	0.321	0.483	kepala biara
abbreviate	0.531	0.375	0.330	menyingkat
abbreviation	0.469	0.306	0.345	singkatan
abdomen	0.469	0.462	0.471	perut
abdominal	0.490	0.456	0.445	perut
abduct	0.173	0.720	0.615	menculik
abduction	0.062	0.990	0.673	penculikan
aberrant	0.146	0.765	0.431	menyimpang
aberration	0.125	0.816	0.417	penyimpangan
abeyance	0.330	0.510	0.292	penundaan
abhor	0.125	0.602	0.349	benci
abhorrence	0.167	0.684	0.420	kebencian
abhorrent	0.229	0.750	0.474	mengerikan
abide	0.635	0.354	0.705	tinggal
abiding	0.796	0.327	0.750	kekal
ability	0.875	0.510	0.816	kemampuan
abject	0.354	0.590	0.417	hina
ablation	0.418	0.500	0.500	ablasi
ablaze	0.240	0.847	0.525	terang benderang
able	0.786	0.500	0.810	sanggup
abnormal	0.137	0.604	0.309	abnormal
abnormality	0.092	0.655	0.383	kelainan
aboard	0.698	0.284	0.481	kapal
abode	0.620	0.302	0.500	tempat tinggal
abolish	0.448	0.615	0.529	menghapuskan
abolition	0.323	0.690	0.529	penghapusan
abominable	0.120	0.731	0.482	mengerikan
abominate	0.198	0.788	0.366	merasa jijik
abomination	0.078	0.755	0.518	kekejian
aboriginal	0.448	0.427	0.542	asli
abort	0.153	0.686	0.429	menggugurkan
abortion	0.082	0.770	0.283	abortus
abortive	0.090	0.776	0.280	gagal
abound	0.704	0.490	0.681	berlimpah
abovementioned	0.541	0.298	0.509	disebutkan di atas
abracadabra	0.673	0.632	0.434	omong kosong
abrasion	0.406	0.592	0.441	abrasi
abrasive	0.392	0.610	0.593	kasar
abreast	0.635	0.380	0.519	sejajar
abroad	0.677	0.596	0.561	luar negeri
abrogate	0.327	0.510	0.594	membatalkan
abrupt	0.271	0.819	0.545	mendadak
abruptly	0.250	0.808	0.556	tiba-tiba
abscess	0.154	0.451	0.349	abses
absence	0.153	0.235	0.266	ketiadaan
absent	0.177	0.221	0.116	absen
absentee	0.235	0.330	0.279	absen
absenteeism	0.404	0.273	0.357	ketidakhadiran
absinthe	0.481	0.510	0.462	Absinth
absolute	0.526	0.510	0.827	mutlak
absolution	0.715	0.500	0.664	absolusi
absolve	0.684	0.449	0.660	membebaskan
absorb	0.469	0.558	0.670	menyerap
absorbed	0.490	0.471	0.519	terserap
absorbent	0.552	0.394	0.718	zat penyerap
absorbing	0.490	0.490	0.578	mengasyikkan
absorption	0.609	0.422	0.446	penyerapan
abstain	0.385	0.385	0.427	menjauhkan diri
abstention	0.271	0.264	0.509	abstensi
abstinence	0.260	0.392	0.429	pantang
abstract	0.438	0.292	0.444	abstrak
abstraction	0.469	0.439	0.525	abstraksi
absurd	0.188	0.656	0.284	absurd
absurdity	0.115	0.528	0.227	kemustahilan
abundance	0.812	0.690	0.852	kelimpahan
abundant	0.958	0.590	0.760	melimpah
abuse	0.071	0.873	0.469	melecehkan
abused	0.021	0.874	0.235	disalahgunakan
abusive	0.125	0.903	0.567	kasar
abutment	0.500	0.265	0.616	penyangga
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	bukan kepalang
abyss	0.353	0.725	0.296	neraka
academic	0.781	0.420	0.812	akademik
academy	0.704	0.473	0.792	akademi
accede	0.698	0.510	0.537	menyetujui
accelerant	0.643	0.844	0.802	akselerasi
accelerate	0.615	0.902	0.759	mempercepat
accelerated	0.610	0.812	0.682	dipercepat
acceleration	0.704	0.905	0.843	percepatan
accelerator	0.593	0.830	0.812	akselerator
accent	0.598	0.357	0.509	aksen
accentuate	0.673	0.556	0.667	menonjolkan
accept	0.847	0.286	0.565	menerima
acceptable	0.812	0.286	0.583	dapat diterima
acceptance	0.833	0.287	0.755	penerimaan
acceptances	0.847	0.413	0.648	penerimaan
access	0.714	0.472	0.567	mengakses
accessible	0.796	0.410	0.645	dapat diakses
accession	0.612	0.383	0.636	pencapaian
accessory	0.562	0.292	0.445	tambahan
accident	0.125	0.908	0.336	kecelakaan
accidental	0.319	0.784	0.307	kebetulan
accidentally	0.333	0.741	0.333	secara tidak sengaja
acclaim	0.562	0.809	0.718	tepuk tangan sorak
accolade	0.688	0.591	0.775	penghargaan
accommodate	0.844	0.375	0.566	menampung
accommodation	0.817	0.415	0.587	akomodasi
accompaniment	0.740	0.479	0.695	iringan
accompany	0.833	0.406	0.585	menemani
accompanying	0.787	0.460	0.582	menemani
accomplice	0.408	0.580	0.510	kaki tangan
accomplish	0.929	0.673	0.816	menyelesaikan
accomplished	0.870	0.520	0.798	ahli
accomplishment	0.917	0.694	0.888	prestasi
accord	0.898	0.264	0.382	sesuai
accordance	0.659	0.349	0.600	sesuai
accordion	0.604	0.490	0.361	akordeon
account	0.531	0.347	0.472	Akun
accountability	0.755	0.537	0.833	pertanggungjawaban
accountable	0.709	0.282	0.777	akuntabel
accountant	0.625	0.450	0.639	akuntan
accounting	0.552	0.390	0.677	akuntansi
accounts	0.592	0.340	0.471	akun
accredited	0.669	0.479	0.768	terakreditasi
accretion	0.448	0.519	0.672	pertambahan
accrue	0.520	0.481	0.602	bertambah
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	mengumpulkan
accumulation	0.479	0.527	0.600	akumulasi
accuracy	0.604	0.481	0.802	ketepatan
accurate	0.743	0.360	0.737	tepat
accursed	0.135	0.745	0.345	terkutuk
accusation	0.073	0.718	0.564	tuduhan
accusative	0.198	0.755	0.482	akusatif
accuse	0.133	0.752	0.500	menuduh
accused	0.130	0.670	0.420	dituduh
accuser	0.122	0.779	0.615	penuduh
accusing	0.156	0.745	0.324	menuduh
accustomed	0.542	0.365	0.441	biasa
ace	0.643	0.481	0.546	kartu as
acetic	0.333	0.420	0.519	asetat
acetylene	0.306	0.469	0.509	asetilen
ache	0.146	0.760	0.312	sakit
achieve	0.816	0.545	0.843	meraih
achieved	0.896	0.519	0.775	tercapai
achievement	0.896	0.808	0.759	pencapaian
aching	0.053	0.880	0.348	sakit
achy	0.167	0.840	0.373	sakit
acid	0.265	0.642	0.566	asam
acidity	0.156	0.663	0.360	keasaman
acknowledge	0.786	0.370	0.661	mengakui
acknowledged	0.714	0.443	0.765	diakui
