English Word	Valence	Arousal	Dominance	Galician Word
aaaaaaah	0.479	0.606	0.291	aaaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	desconcertado
abacus	0.510	0.276	0.485	ábaco
abalone	0.500	0.480	0.412	abalón
abandon	0.052	0.519	0.245	abandonar
abandoned	0.046	0.481	0.130	abandonado
abandonment	0.128	0.430	0.202	abandono
abashed	0.177	0.644	0.307	avergoñado
abate	0.255	0.696	0.604	diminuír
abatement	0.388	0.338	0.336	diminución
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	abadía
abbot	0.427	0.321	0.483	abade
abbreviate	0.531	0.375	0.330	abreviar
abbreviation	0.469	0.306	0.345	abreviatura
abdomen	0.469	0.462	0.471	abdome
abdominal	0.490	0.456	0.445	abdominais
abduct	0.173	0.720	0.615	abducir
abduction	0.062	0.990	0.673	secuestro
aberrant	0.146	0.765	0.431	aberrante
aberration	0.125	0.816	0.417	aberración
abeyance	0.330	0.510	0.292	suspenso
abhor	0.125	0.602	0.349	aborrecer
abhorrence	0.167	0.684	0.420	aborrecemento
abhorrent	0.229	0.750	0.474	aborrecible
abide	0.635	0.354	0.705	acatar
abiding	0.796	0.327	0.750	permanecendo
ability	0.875	0.510	0.816	capacidade
abject	0.354	0.590	0.417	abxecto
ablation	0.418	0.500	0.500	ablación
ablaze	0.240	0.847	0.525	arder
able	0.786	0.500	0.810	capaz
abnormal	0.137	0.604	0.309	anormal
abnormality	0.092	0.655	0.383	anormalidade
aboard	0.698	0.284	0.481	a bordo
abode	0.620	0.302	0.500	morada
abolish	0.448	0.615	0.529	abolir
abolition	0.323	0.690	0.529	abolición
abominable	0.120	0.731	0.482	abominable
abominate	0.198	0.788	0.366	abominar
abomination	0.078	0.755	0.518	abominación
aboriginal	0.448	0.427	0.542	aborixe
abort	0.153	0.686	0.429	abortar
abortion	0.082	0.770	0.283	aborto
abortive	0.090	0.776	0.280	abortivo
abound	0.704	0.490	0.681	abundan
abovementioned	0.541	0.298	0.509	anteriormente mencionados
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	abrasión
abrasive	0.392	0.610	0.593	abrasivo
abreast	0.635	0.380	0.519	ao tanto
abroad	0.677	0.596	0.561	no estranxeiro
abrogate	0.327	0.510	0.594	derogar
abrupt	0.271	0.819	0.545	brusco
abruptly	0.250	0.808	0.556	bruscamente
abscess	0.154	0.451	0.349	absceso
absence	0.153	0.235	0.266	ausencia
absent	0.177	0.221	0.116	ausente
absentee	0.235	0.330	0.279	ausente
absenteeism	0.404	0.273	0.357	absentismo
absinthe	0.481	0.510	0.462	absinto
absolute	0.526	0.510	0.827	absoluto
absolution	0.715	0.500	0.664	absolución
absolve	0.684	0.449	0.660	absolver
absorb	0.469	0.558	0.670	absorber
absorbed	0.490	0.471	0.519	absorbido
absorbent	0.552	0.394	0.718	absorbente
absorbing	0.490	0.490	0.578	absorbente
absorption	0.609	0.422	0.446	absorción
abstain	0.385	0.385	0.427	absterse
abstention	0.271	0.264	0.509	abstención
abstinence	0.260	0.392	0.429	abstinencia
abstract	0.438	0.292	0.444	abstracto
abstraction	0.469	0.439	0.525	abstracción
absurd	0.188	0.656	0.284	absurdo
absurdity	0.115	0.528	0.227	absurdo
abundance	0.812	0.690	0.852	abundancia
abundant	0.958	0.590	0.760	abundante
abuse	0.071	0.873	0.469	abuso
abused	0.021	0.874	0.235	abusado
abusive	0.125	0.903	0.567	abusivo
abutment	0.500	0.265	0.616	pilar
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	abismal
abyss	0.353	0.725	0.296	abismo
academic	0.781	0.420	0.812	académico
academy	0.704	0.473	0.792	academia
accede	0.698	0.510	0.537	acceder
accelerant	0.643	0.844	0.802	acelerante
accelerate	0.615	0.902	0.759	acelerar
accelerated	0.610	0.812	0.682	acelerado
acceleration	0.704	0.905	0.843	aceleración
accelerator	0.593	0.830	0.812	acelerador
accent	0.598	0.357	0.509	acento
accentuate	0.673	0.556	0.667	acentuar
accept	0.847	0.286	0.565	aceptar
acceptable	0.812	0.286	0.583	aceptable
acceptance	0.833	0.287	0.755	aceptación
acceptances	0.847	0.413	0.648	aceptacións
access	0.714	0.472	0.567	acceso
accessible	0.796	0.410	0.645	accesible
accession	0.612	0.383	0.636	adhesión
accessory	0.562	0.292	0.445	accesorio
accident	0.125	0.908	0.336	accidente
accidental	0.319	0.784	0.307	accidental
accidentally	0.333	0.741	0.333	accidentalmente
acclaim	0.562	0.809	0.718	aclamación
accolade	0.688	0.591	0.775	eloxio
accommodate	0.844	0.375	0.566	acomodar
accommodation	0.817	0.415	0.587	aloxamento
accompaniment	0.740	0.479	0.695	acompañamento
accompany	0.833	0.406	0.585	acompañar
accompanying	0.787	0.460	0.582	Acompañando
accomplice	0.408	0.580	0.510	cómplice
accomplish	0.929	0.673	0.816	realizar
accomplished	0.870	0.520	0.798	conseguido
accomplishment	0.917	0.694	0.888	realización
accord	0.898	0.264	0.382	acordo
accordance	0.659	0.349	0.600	de acordo
accordion	0.604	0.490	0.361	acordeón
account	0.531	0.347	0.472	conta
accountability	0.755	0.537	0.833	responsabilidade
accountable	0.709	0.282	0.777	responsable
accountant	0.625	0.450	0.639	contable
accounting	0.552	0.390	0.677	contabilidade
accounts	0.592	0.340	0.471	contas
accredited	0.669	0.479	0.768	acreditado
accretion	0.448	0.519	0.672	acreción
accrue	0.520	0.481	0.602	acumular
accueil	0.450	0.451	0.470	acollida
accumulate	0.573	0.536	0.607	acumular
accumulation	0.479	0.527	0.600	acumulación
accuracy	0.604	0.481	0.802	precisión
accurate	0.743	0.360	0.737	preciso
accursed	0.135	0.745	0.345	maldito
accusation	0.073	0.718	0.564	acusación
accusative	0.198	0.755	0.482	acusativo
accuse	0.133	0.752	0.500	acusar
accused	0.130	0.670	0.420	acusado
accuser	0.122	0.779	0.615	acusador
accusing	0.156	0.745	0.324	acusando
accustomed	0.542	0.365	0.441	afeito
ace	0.643	0.481	0.546	as
acetic	0.333	0.420	0.519	acético
acetylene	0.306	0.469	0.509	acetileno
ache	0.146	0.760	0.312	dor
achieve	0.816	0.545	0.843	acadar
achieved	0.896	0.519	0.775	conseguido
achievement	0.896	0.808	0.759	logro
aching	0.053	0.880	0.348	dor
achy	0.167	0.840	0.373	achy
acid	0.265	0.642	0.566	ácido
acidity	0.156	0.663	0.360	acidez
acknowledge	0.786	0.370	0.661	recoñecer
acknowledged	0.714	0.443	0.765	recoñecido
acknowledgement	0.819	0.539	0.830	recoñecemento
acknowledgment	0.796	0.528	0.777	recoñecemento
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	acne
acorn	0.448	0.198	0.192	landra
acoustic	0.542	0.462	0.536	acústica
