English Word	Valence	Arousal	Dominance	Georgian Word
aaaaaaah	0.479	0.606	0.291	აააააააა
aaaah	0.520	0.636	0.282	აააა
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	დაბრუნდა
abacus	0.510	0.276	0.485	აბაკუსი
abalone	0.500	0.480	0.412	აბლაბუდა
abandon	0.052	0.519	0.245	მიტოვება
abandoned	0.046	0.481	0.130	მიტოვებული
abandonment	0.128	0.430	0.202	მიტოვება
abashed	0.177	0.644	0.307	დარცხვენილი
abate	0.255	0.696	0.604	შემცირება
abatement	0.388	0.338	0.336	შემცირება
abba	0.562	0.500	0.480	აბა
abbey	0.580	0.367	0.444	სააბატო
abbot	0.427	0.321	0.483	აბატი
abbreviate	0.531	0.375	0.330	შემოკლება
abbreviation	0.469	0.306	0.345	აბრევიატურა
abdomen	0.469	0.462	0.471	მუცელი
abdominal	0.490	0.456	0.445	მუცლის
abduct	0.173	0.720	0.615	გატაცება
abduction	0.062	0.990	0.673	გატაცება
aberrant	0.146	0.765	0.431	გადახრილი
aberration	0.125	0.816	0.417	აბერაცია
abeyance	0.330	0.510	0.292	მორჩენა
abhor	0.125	0.602	0.349	ზიზღი
abhorrence	0.167	0.684	0.420	ზიზღი
abhorrent	0.229	0.750	0.474	საზიზღარი
abide	0.635	0.354	0.705	დაიცვან
abiding	0.796	0.327	0.750	ბინადარი
ability	0.875	0.510	0.816	უნარი
abject	0.354	0.590	0.417	საზიზღარი
ablation	0.418	0.500	0.500	აბლაცია
ablaze	0.240	0.847	0.525	ცეცხლმოკიდებული
able	0.786	0.500	0.810	შეუძლია
abnormal	0.137	0.604	0.309	არანორმალური
abnormality	0.092	0.655	0.383	არანორმალურობა
aboard	0.698	0.284	0.481	გემზე
abode	0.620	0.302	0.500	სამყოფელი
abolish	0.448	0.615	0.529	გააუქმოს
abolition	0.323	0.690	0.529	გაუქმება
abominable	0.120	0.731	0.482	საზიზღარი
abominate	0.198	0.788	0.366	საზიზღარი
abomination	0.078	0.755	0.518	საზიზღრობა
aboriginal	0.448	0.427	0.542	აბორიგენი
abort	0.153	0.686	0.429	გაუქმება
abortion	0.082	0.770	0.283	აბორტი
abortive	0.090	0.776	0.280	აბორტი
abound	0.704	0.490	0.681	უხვად
