English Word	Valence	Arousal	Dominance	Afrikaans Word
aaaaaaah	0.479	0.606	0.291	aaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	erdvark
aback	0.385	0.407	0.288	verstom
abacus	0.510	0.276	0.485	telraam
abalone	0.500	0.480	0.412	perlemoen
abandon	0.052	0.519	0.245	verlaat
abandoned	0.046	0.481	0.130	verlate
abandonment	0.128	0.430	0.202	verlating
abashed	0.177	0.644	0.307	verleë
abate	0.255	0.696	0.604	afneem
abatement	0.388	0.338	0.336	verlaging
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	abdy
abbot	0.427	0.321	0.483	abt
abbreviate	0.531	0.375	0.330	verkort
abbreviation	0.469	0.306	0.345	afkorting
abdomen	0.469	0.462	0.471	buik
abdominal	0.490	0.456	0.445	abdominale
abduct	0.173	0.720	0.615	ontvoer
abduction	0.062	0.990	0.673	ontvoering
aberrant	0.146	0.765	0.431	afwykend
aberration	0.125	0.816	0.417	aberrasie
abeyance	0.330	0.510	0.292	afwagting
abhor	0.125	0.602	0.349	verafsku
abhorrence	0.167	0.684	0.420	afsku
abhorrent	0.229	0.750	0.474	afskuwelik
abide	0.635	0.354	0.705	bly
abiding	0.796	0.327	0.750	blywend
ability	0.875	0.510	0.816	vermoë
abject	0.354	0.590	0.417	afskuwelik
ablation	0.418	0.500	0.500	ablasie
ablaze	0.240	0.847	0.525	brand
able	0.786	0.500	0.810	in staat is
abnormal	0.137	0.604	0.309	abnormaal
abnormality	0.092	0.655	0.383	abnormaliteit
aboard	0.698	0.284	0.481	aanboord
abode	0.620	0.302	0.500	blyplek
abolish	0.448	0.615	0.529	afskaf
abolition	0.323	0.690	0.529	afskaffing
abominable	0.120	0.731	0.482	afskuwelik
abominate	0.198	0.788	0.366	gruwel
abomination	0.078	0.755	0.518	gruwel
aboriginal	0.448	0.427	0.542	inheemse
abort	0.153	0.686	0.429	aborteer
abortion	0.082	0.770	0.283	aborsie
abortive	0.090	0.776	0.280	abortief
abound	0.704	0.490	0.681	oorvloedig
abovementioned	0.541	0.298	0.509	bogenoemde
abracadabra	0.673	0.632	0.434	abrakadabra
abrasion	0.406	0.592	0.441	skuur
abrasive	0.392	0.610	0.593	skuur
abreast	0.635	0.380	0.519	op hoogte
abroad	0.677	0.596	0.561	in die buiteland
abrogate	0.327	0.510	0.594	herroep
abrupt	0.271	0.819	0.545	skielik
abruptly	0.250	0.808	0.556	skielik
abscess	0.154	0.451	0.349	abses
absence	0.153	0.235	0.266	afwesigheid
absent	0.177	0.221	0.116	afwesig
absentee	0.235	0.330	0.279	afwesig
