English Word	Valence	Arousal	Dominance	Kazakh Word
aaaaaaah	0.479	0.606	0.291	аааааа
aaaah	0.520	0.636	0.282	аааа
aardvark	0.427	0.490	0.437	Ардварк
aback	0.385	0.407	0.288	таң қалды
abacus	0.510	0.276	0.485	абакус
abalone	0.500	0.480	0.412	балан
abandon	0.052	0.519	0.245	тастау
abandoned	0.046	0.481	0.130	тастап кеткен
abandonment	0.128	0.430	0.202	бас тарту
abashed	0.177	0.644	0.307	ұялды
abate	0.255	0.696	0.604	азайту
abatement	0.388	0.338	0.336	азайту
abba	0.562	0.500	0.480	абба
abbey	0.580	0.367	0.444	аббат
abbot	0.427	0.321	0.483	аббат
abbreviate	0.531	0.375	0.330	қысқарту
abbreviation	0.469	0.306	0.345	аббревиатура
abdomen	0.469	0.462	0.471	іш
abdominal	0.490	0.456	0.445	іш
abduct	0.173	0.720	0.615	ұрлау
abduction	0.062	0.990	0.673	ұрлау
aberrant	0.146	0.765	0.431	ауытқу
aberration	0.125	0.816	0.417	ауытқу
abeyance	0.330	0.510	0.292	тоқтау
abhor	0.125	0.602	0.349	жек көру
abhorrence	0.167	0.684	0.420	жек көрушілік
abhorrent	0.229	0.750	0.474	жиренішті
abide	0.635	0.354	0.705	ұстану
abiding	0.796	0.327	0.750	тұрақты
ability	0.875	0.510	0.816	қабілеті
abject	0.354	0.590	0.417	сұмдық
ablation	0.418	0.500	0.500	абляция
ablaze	0.240	0.847	0.525	жанады
able	0.786	0.500	0.810	қабілетті
abnormal	0.137	0.604	0.309	қалыптан тыс
abnormality	0.092	0.655	0.383	аномалия
aboard	0.698	0.284	0.481	бортында
abode	0.620	0.302	0.500	тұрағы
abolish	0.448	0.615	0.529	жою
abolition	0.323	0.690	0.529	жою
abominable	0.120	0.731	0.482	жексұрын
abominate	0.198	0.788	0.366	жексұрын
abomination	0.078	0.755	0.518	жексұрындық
aboriginal	0.448	0.427	0.542	абориген
abort	0.153	0.686	0.429	тоқтату
abortion	0.082	0.770	0.283	аборт
abortive	0.090	0.776	0.280	сәтсіз
abound	0.704	0.490	0.681	мол
abovementioned	0.541	0.298	0.509	жоғарыда аталған
abracadabra	0.673	0.632	0.434	абракадабра
abrasion	0.406	0.592	0.441	абразия
abrasive	0.392	0.610	0.593	абразивті
abreast	0.635	0.380	0.519	ілесу
abroad	0.677	0.596	0.561	шетелде
abrogate	0.327	0.510	0.594	күшін жою
abrupt	0.271	0.819	0.545	күрт
abruptly	0.250	0.808	0.556	кенеттен
abscess	0.154	0.451	0.349	абсцесс
absence	0.153	0.235	0.266	болмауы
absent	0.177	0.221	0.116	жоқ
absentee	0.235	0.330	0.279	келмеген
absenteeism	0.404	0.273	0.357	сабаққа келмеу
absinthe	0.481	0.510	0.462	абсент
absolute	0.526	0.510	0.827	абсолютті
absolution	0.715	0.500	0.664	кешірім
absolve	0.684	0.449	0.660	кешіру
absorb	0.469	0.558	0.670	жұтып
absorbed	0.490	0.471	0.519	сіңіріледі
absorbent	0.552	0.394	0.718	сіңіргіш
absorbing	0.490	0.490	0.578	сіңіру
absorption	0.609	0.422	0.446	сіңіру
abstain	0.385	0.385	0.427	қалыс қалу
abstention	0.271	0.264	0.509	қалыс қалу
abstinence	0.260	0.392	0.429	абстиненция
abstract	0.438	0.292	0.444	реферат
abstraction	0.469	0.439	0.525	абстракция
absurd	0.188	0.656	0.284	абсурд
absurdity	0.115	0.528	0.227	абсурдтық
abundance	0.812	0.690	0.852	молшылық
abundant	0.958	0.590	0.760	мол
abuse	0.071	0.873	0.469	теріс пайдалану
abused	0.021	0.874	0.235	қиянат жасады
abusive	0.125	0.903	0.567	қорлаушы
abutment	0.500	0.265	0.616	тірек
aby	0.385	0.452	0.368	abby
abysmal	0.250	0.710	0.598	тұңғиық
abyss	0.353	0.725	0.296	шыңырау
academic	0.781	0.420	0.812	академиялық
academy	0.704	0.473	0.792	академиясы
accede	0.698	0.510	0.537	қосылу
accelerant	0.643	0.844	0.802	үдеткіш
accelerate	0.615	0.902	0.759	тездету
accelerated	0.610	0.812	0.682	жеделдетілген
acceleration	0.704	0.905	0.843	жеделдету
accelerator	0.593	0.830	0.812	үдеткіш
accent	0.598	0.357	0.509	екпін
accentuate	0.673	0.556	0.667	екпін түсіру
accept	0.847	0.286	0.565	қабылдау
acceptable	0.812	0.286	0.583	қолайлы
acceptance	0.833	0.287	0.755	қабылдау
acceptances	0.847	0.413	0.648	қабылдаулар
access	0.714	0.472	0.567	қол жеткізу
accessible	0.796	0.410	0.645	қолжетімді
accession	0.612	0.383	0.636	қосылу
accessory	0.562	0.292	0.445	аксессуар
accident	0.125	0.908	0.336	апат
accidental	0.319	0.784	0.307	кездейсоқ
accidentally	0.333	0.741	0.333	кездейсоқ
acclaim	0.562	0.809	0.718	мақтау
accolade	0.688	0.591	0.775	мақтау
accommodate	0.844	0.375	0.566	орналастыру
accommodation	0.817	0.415	0.587	тұру
accompaniment	0.740	0.479	0.695	сүйемелдеу
accompany	0.833	0.406	0.585	сүйемелдеу
accompanying	0.787	0.460	0.582	сүйемелдеу
accomplice	0.408	0.580	0.510	сыбайлас
accomplish	0.929	0.673	0.816	орындау
accomplished	0.870	0.520	0.798	орындалды
accomplishment	0.917	0.694	0.888	жетістік
accord	0.898	0.264	0.382	келісім
accordance	0.659	0.349	0.600	сәйкес
accordion	0.604	0.490	0.361	аккордеон
account	0.531	0.347	0.472	есептік жазба
accountability	0.755	0.537	0.833	жауапкершілік
accountable	0.709	0.282	0.777	жауапты
accountant	0.625	0.450	0.639	есепші
accounting	0.552	0.390	0.677	бухгалтерлік есеп
accounts	0.592	0.340	0.471	шоттар
accredited	0.669	0.479	0.768	аккредиттелген
accretion	0.448	0.519	0.672	жинақтау
accrue	0.520	0.481	0.602	жинақталады
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	жинақтау
accumulation	0.479	0.527	0.600	жинақтау
accuracy	0.604	0.481	0.802	дәлдік
accurate	0.743	0.360	0.737	дәл
accursed	0.135	0.745	0.345	қарғыс атқан
accusation	0.073	0.718	0.564	айыптау
accusative	0.198	0.755	0.482	айыптауыш
accuse	0.133	0.752	0.500	айыптау
accused	0.130	0.670	0.420	айыпталушы
accuser	0.122	0.779	0.615	айыптаушы
accusing	0.156	0.745	0.324	айыптау
accustomed	0.542	0.365	0.441	үйренген
ace	0.643	0.481	0.546	ace
acetic	0.333	0.420	0.519	сірке
acetylene	0.306	0.469	0.509	ацетилен
ache	0.146	0.760	0.312	ауыру
achieve	0.816	0.545	0.843	жету
achieved	0.896	0.519	0.775	қол жеткізілді
achievement	0.896	0.808	0.759	жетістік
aching	0.053	0.880	0.348	ауыру
achy	0.167	0.840	0.373	ауырады
acid	0.265	0.642	0.566	қышқыл
acidity	0.156	0.663	0.360	қышқылдық
acknowledge	0.786	0.370	0.661	мойындау
acknowledged	0.714	0.443	0.765	мойындалды
acknowledgement	0.819	0.539	0.830	мойындау
acknowledgment	0.796	0.528	0.777	мойындау
acme	0.408	0.435	0.375	акме
acne	0.167	0.474	0.308	безеу
acorn	0.448	0.198	0.192	ақжелкен
acoustic	0.542	0.462	0.536	акустикалық
acoustics	0.611	0.330	0.509	акустика
acquaint	0.646	0.491	0.639	танысу
acquaintance	0.656	0.290	0.670	танысу
acquainted	0.906	0.358	0.632	танысты
acquiescence	0.542	0.480	0.554	мойынсұну
acquire	0.833	0.468	0.700	алу
acquiring	0.735	0.510	0.817	алу
acquisition	0.698	0.509	0.736	сатып алу
acquisitions	0.773	0.660	0.790	сатып алулар
acquit	0.583	0.571	0.611	ақтау
acquittal	0.760	0.497	0.700	ақтау
acre	0.583	0.387	0.423	акр
acreage	0.741	0.450	0.528	акр
acres	0.510	0.363	0.500	акр
acrobat	0.708	0.828	0.602	акробат
acrylic	0.582	0.279	0.420	акрил
act	0.656	0.704	0.735	әрекет
acting	0.698	0.643	0.500	актерлік
action	0.760	0.898	0.802	әрекет
action figure	0.615	0.774	0.611	әрекет фигурасы
actionable	0.673	0.702	0.613	әрекетке қабілетті
activate	0.764	0.650	0.806	белсендіру
activation	0.781	0.800	0.754	белсендіру
active	0.847	0.730	0.731	белсенді
activist	0.531	0.653	0.877	белсенді
activity	0.701	0.660	0.807	белсенділік
actor	0.653	0.561	0.629	актер
actress	0.633	0.556	0.596	актриса
actual	0.729	0.400	0.716	нақты
actuality	0.750	0.464	0.600	өзектілігі
actuary	0.510	0.404	0.491	актуарий
acuity	0.469	0.378	0.741	өткірлік
acumen	0.564	0.660	0.679	зеректік
acupuncture	0.531	0.324	0.549	акупунктура
acute	0.427	0.652	0.534	өткір
acutely	0.417	0.543	0.491	өткір
ad	0.521	0.705	0.558	жарнама
adage	0.517	0.415	0.566	нақыл
adamant	0.344	0.529	0.575	табанды
adapt	0.740	0.355	0.551	бейімделу
adaptable	0.735	0.423	0.641	бейімделгіш
adaptation	0.663	0.365	0.609	бейімделу
add	0.728	0.490	0.554	қосу
added	0.562	0.405	0.509	қосылды
addendum	0.392	0.370	0.418	қосымша
adder	0.388	0.461	0.588	қосқыш
addict	0.075	0.696	0.327	нашақор
addicted	0.156	0.712	0.483	тәуелді
addiction	0.180	0.806	0.420	тәуелділік
addictive	0.302	0.683	0.472	тәуелді
addition	0.562	0.373	0.471	қосу
additional	0.673	0.462	0.526	қосымша
additive	0.561	0.633	0.691	қоспа
address	0.650	0.327	0.567	мекенжайы
addressee	0.622	0.382	0.538	адресат
addresses	0.510	0.354	0.450	мекенжайлар
adept	0.594	0.539	0.789	шебер
adequacy	0.615	0.435	0.702	сәйкестік
adequate	0.854	0.264	0.705	барабар
adhere	0.633	0.339	0.554	ұстану
adherence	0.760	0.307	0.630	ұстану
adherent	0.561	0.385	0.555	ұстанушы
adhering	0.612	0.561	0.537	ұстану
adhesion	0.521	0.445	0.586	адгезия
adhesive	0.604	0.350	0.413	желім
adieu	0.250	0.471	0.342	сәлем
adipose	0.333	0.350	0.391	май
adjacency	0.365	0.417	0.375	көршілестік
adjacent	0.645	0.276	0.536	іргелес
adjective	0.570	0.316	0.569	сын есім
adjoining	0.520	0.400	0.393	іргелес
adjourn	0.385	0.456	0.475	үзіліс
adjournment	0.438	0.510	0.370	үзіліс
adjudicate	0.559	0.520	0.683	үкім шығару
adjudication	0.551	0.462	0.691	үкім шығару
adjunct	0.459	0.440	0.426	қосымша
adjust	0.647	0.327	0.638	реттеу
adjuster	0.510	0.540	0.760	реттегіш
adjustment	0.590	0.520	0.661	реттеу
