English Word	Valence	Arousal	Dominance	Macedonian Word
aaaaaaah	0.479	0.606	0.291	ааааааа
aaaah	0.520	0.636	0.282	аааа
aardvark	0.427	0.490	0.437	ардварк
aback	0.385	0.407	0.288	изненадени
abacus	0.510	0.276	0.485	абакус
abalone	0.500	0.480	0.412	абалон
abandon	0.052	0.519	0.245	напушти
abandoned	0.046	0.481	0.130	напуштен
abandonment	0.128	0.430	0.202	напуштање
abashed	0.177	0.644	0.307	срамен
abate	0.255	0.696	0.604	намали
abatement	0.388	0.338	0.336	намалување
abba	0.562	0.500	0.480	аба
abbey	0.580	0.367	0.444	опатија
abbot	0.427	0.321	0.483	игумен
abbreviate	0.531	0.375	0.330	скратуваат
abbreviation	0.469	0.306	0.345	кратенка
abdomen	0.469	0.462	0.471	стомак
abdominal	0.490	0.456	0.445	абдоминална
abduct	0.173	0.720	0.615	киднапираат
abduction	0.062	0.990	0.673	киднапирање
aberrant	0.146	0.765	0.431	аберрантен
aberration	0.125	0.816	0.417	аберација
abeyance	0.330	0.510	0.292	мирување
abhor	0.125	0.602	0.349	одвратност
abhorrence	0.167	0.684	0.420	одвратност
abhorrent	0.229	0.750	0.474	одвратен
abide	0.635	0.354	0.705	придржуваат
abiding	0.796	0.327	0.750	придржувајќи се
ability	0.875	0.510	0.816	способност
abject	0.354	0.590	0.417	беден
ablation	0.418	0.500	0.500	аблација
ablaze	0.240	0.847	0.525	запален
able	0.786	0.500	0.810	способни
abnormal	0.137	0.604	0.309	ненормални
abnormality	0.092	0.655	0.383	абнормалност
aboard	0.698	0.284	0.481	на бродот
abode	0.620	0.302	0.500	престојувалиште
abolish	0.448	0.615	0.529	укине
abolition	0.323	0.690	0.529	укинување
abominable	0.120	0.731	0.482	одвратен
abominate	0.198	0.788	0.366	одвратно
abomination	0.078	0.755	0.518	одвратност
aboriginal	0.448	0.427	0.542	абориџини
abort	0.153	0.686	0.429	прекине
abortion	0.082	0.770	0.283	абортус
abortive	0.090	0.776	0.280	абортус
abound	0.704	0.490	0.681	изобилува
abovementioned	0.541	0.298	0.509	гореспоменатото
abracadabra	0.673	0.632	0.434	абракадабра
abrasion	0.406	0.592	0.441	абразија
abrasive	0.392	0.610	0.593	абразивни
abreast	0.635	0.380	0.519	заедно
abroad	0.677	0.596	0.561	во странство
abrogate	0.327	0.510	0.594	укинуваат
abrupt	0.271	0.819	0.545	нагло
abruptly	0.250	0.808	0.556	нагло
abscess	0.154	0.451	0.349	апсцес
absence	0.153	0.235	0.266	отсуство
absent	0.177	0.221	0.116	отсутен
absentee	0.235	0.330	0.279	отсутен
absenteeism	0.404	0.273	0.357	отсуство од работа
absinthe	0.481	0.510	0.462	абсинт
absolute	0.526	0.510	0.827	апсолутна
absolution	0.715	0.500	0.664	ослободување
absolve	0.684	0.449	0.660	ослободуваат
absorb	0.469	0.558	0.670	апсорбираат
absorbed	0.490	0.471	0.519	апсорбира
absorbent	0.552	0.394	0.718	абсорбента
absorbing	0.490	0.490	0.578	впивајќи
absorption	0.609	0.422	0.446	апсорпција
abstain	0.385	0.385	0.427	воздржи се
abstention	0.271	0.264	0.509	апстиненција
abstinence	0.260	0.392	0.429	апстиненција
abstract	0.438	0.292	0.444	апстрактни
abstraction	0.469	0.439	0.525	апстракција
absurd	0.188	0.656	0.284	апсурдно
absurdity	0.115	0.528	0.227	апсурдност
abundance	0.812	0.690	0.852	изобилство
abundant	0.958	0.590	0.760	изобилство
abuse	0.071	0.873	0.469	злоупотреба
abused	0.021	0.874	0.235	злоупотребувани
abusive	0.125	0.903	0.567	навредлив
abutment	0.500	0.265	0.616	абатмент
aby	0.385	0.452	0.368	бездруго
abysmal	0.250	0.710	0.598	бездна
abyss	0.353	0.725	0.296	бездна
academic	0.781	0.420	0.812	академски
academy	0.704	0.473	0.792	академија
accede	0.698	0.510	0.537	пристапи
accelerant	0.643	0.844	0.802	забрзувач
accelerate	0.615	0.902	0.759	забрзаат
accelerated	0.610	0.812	0.682	забрзано
acceleration	0.704	0.905	0.843	забрзување
accelerator	0.593	0.830	0.812	акцелератор
accent	0.598	0.357	0.509	акцент
accentuate	0.673	0.556	0.667	акцентираат
accept	0.847	0.286	0.565	прифати
acceptable	0.812	0.286	0.583	прифатливо
acceptance	0.833	0.287	0.755	прифаќање
acceptances	0.847	0.413	0.648	прифаќања
access	0.714	0.472	0.567	пристап
accessible	0.796	0.410	0.645	достапни
accession	0.612	0.383	0.636	пристапување
accessory	0.562	0.292	0.445	додаток
accident	0.125	0.908	0.336	несреќа
accidental	0.319	0.784	0.307	случајно
accidentally	0.333	0.741	0.333	случајно
acclaim	0.562	0.809	0.718	признание
