English Word	Valence	Arousal	Dominance	Hawaiian Word
aaaaaaah	0.479	0.606	0.291	aaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	kahaha
abacus	0.510	0.276	0.485	abacus
abalone	0.500	0.480	0.412	abalone
abandon	0.052	0.519	0.245	haalele
abandoned	0.046	0.481	0.130	haʻalele ʻia
abandonment	0.128	0.430	0.202	haʻalele
abashed	0.177	0.644	0.307	hilahila
abate	0.255	0.696	0.604	e emi ana
abatement	0.388	0.338	0.336	hoʻemi
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	abbey
abbot	0.427	0.321	0.483	ʻAbota
abbreviate	0.531	0.375	0.330	pōkole
abbreviation	0.469	0.306	0.345	pōkole
abdomen	0.469	0.462	0.471	ʻōpū
abdominal	0.490	0.456	0.445	ʻōpū
abduct	0.173	0.720	0.615	ʻaihue
abduction	0.062	0.990	0.673	ʻaihue
aberrant	0.146	0.765	0.431	kuewa
aberration	0.125	0.816	0.417	kuhi hewa
abeyance	0.330	0.510	0.292	hoʻohalahala
abhor	0.125	0.602	0.349	hoʻopailua
abhorrence	0.167	0.684	0.420	hoowahawaha
abhorrent	0.229	0.750	0.474	hoʻopailua
abide	0.635	0.354	0.705	noho
abiding	0.796	0.327	0.750	noho ana
ability	0.875	0.510	0.816	hiki
abject	0.354	0.590	0.417	hoʻowahāwahā
ablation	0.418	0.500	0.500	ʻokiʻoki
ablaze	0.240	0.847	0.525	ahi ahi
able	0.786	0.500	0.810	hiki
abnormal	0.137	0.604	0.309	anoe
abnormality	0.092	0.655	0.383	ʻinoʻino
aboard	0.698	0.284	0.481	ma luna o ka moku
abode	0.620	0.302	0.500	noho
abolish	0.448	0.615	0.529	e hoopau
abolition	0.323	0.690	0.529	ka hoopau ana
abominable	0.120	0.731	0.482	hoowahawaha
abominate	0.198	0.788	0.366	hoʻopailua
abomination	0.078	0.755	0.518	hoʻopailua
aboriginal	0.448	0.427	0.542	ʻōiwi
abort	0.153	0.686	0.429	hoʻopaʻa keiki
abortion	0.082	0.770	0.283	hoʻopaʻa keiki
abortive	0.090	0.776	0.280	hoʻohāʻule
abound	0.704	0.490	0.681	nui
abovementioned	0.541	0.298	0.509	luna i oleloia
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	abrasion
abrasive	0.392	0.610	0.593	abrasive
abreast	0.635	0.380	0.519	pili
abroad	0.677	0.596	0.561	ma na aina e
abrogate	0.327	0.510	0.594	e hoopau
abrupt	0.271	0.819	0.545	hikiwawe
abruptly	0.250	0.808	0.556	hikiwawe
