English Word	Valence	Arousal	Dominance	Greek Word
aaaaaaah	0.479	0.606	0.291	ααααααχ
aaaah	0.520	0.636	0.282	ααααχ
aardvark	0.427	0.490	0.437	μυρμηγκοφάγο θηλαστικό
aback	0.385	0.407	0.288	προς τα πίσω
abacus	0.510	0.276	0.485	άβακας
abalone	0.500	0.480	0.412	αυτί της θάλασσας
abandon	0.052	0.519	0.245	εγκαταλείπω
abandoned	0.046	0.481	0.130	εγκαταλειμμένος
abandonment	0.128	0.430	0.202	εγκατάλειψη
abashed	0.177	0.644	0.307	σαν χαμένος
abate	0.255	0.696	0.604	μειώνω
abatement	0.388	0.338	0.336	μείωση
abba	0.562	0.500	0.480	αβάς
abbey	0.580	0.367	0.444	μονή
abbot	0.427	0.321	0.483	ηγούμενος
abbreviate	0.531	0.375	0.330	βραχύνω
abbreviation	0.469	0.306	0.345	συντομογραφία
abdomen	0.469	0.462	0.471	κοιλιά
abdominal	0.490	0.456	0.445	κοιλιακός
abduct	0.173	0.720	0.615	απάγω
abduction	0.062	0.990	0.673	απαγωγή
aberrant	0.146	0.765	0.431	ανώμαλος
aberration	0.125	0.816	0.417	εκτροπή
abeyance	0.330	0.510	0.292	αναστολή
abhor	0.125	0.602	0.349	απεχθάνομαι
abhorrence	0.167	0.684	0.420	αποστροφή
abhorrent	0.229	0.750	0.474	απεχθής
abide	0.635	0.354	0.705	συμμορφώνομαι
abiding	0.796	0.327	0.750	αμετάβλητος
ability	0.875	0.510	0.816	ικανότητα
abject	0.354	0.590	0.417	άθλιος
ablation	0.418	0.500	0.500	εκτομή
ablaze	0.240	0.847	0.525	λάμπων
able	0.786	0.500	0.810	ικανός
abnormal	0.137	0.604	0.309	ασυνήθιστος
abnormality	0.092	0.655	0.383	ανωμαλία
aboard	0.698	0.284	0.481	ένας πίνακας
abode	0.620	0.302	0.500	κατοικία
abolish	0.448	0.615	0.529	καταργώ
abolition	0.323	0.690	0.529	κατάργηση
abominable	0.120	0.731	0.482	απαίσιος
abominate	0.198	0.788	0.366	αποστρέφομαι
abomination	0.078	0.755	0.518	βδέλυγμα
aboriginal	0.448	0.427	0.542	ιθαγενής
abort	0.153	0.686	0.429	κάνω αποβολή
abortion	0.082	0.770	0.283	άμβλωση
abortive	0.090	0.776	0.280	ανεπιτυχής
