English Word	Valence	Arousal	Dominance	Frisian Word
aaaaaaah	0.479	0.606	0.291	aaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	fernuvere
abacus	0.510	0.276	0.485	abacus
abalone	0.500	0.480	0.412	abalone
abandon	0.052	0.519	0.245	ferlitte
abandoned	0.046	0.481	0.130	ferlitten
abandonment	0.128	0.430	0.202	ferlitten
abashed	0.177	0.644	0.307	ferheard
abate	0.255	0.696	0.604	ôfnimme
abatement	0.388	0.338	0.336	fermindering
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	abdij
abbot	0.427	0.321	0.483	abt
abbreviate	0.531	0.375	0.330	ôfkoarte
abbreviation	0.469	0.306	0.345	ôfkoarting
abdomen	0.469	0.462	0.471	abdomen
abdominal	0.490	0.456	0.445	abdominal
abduct	0.173	0.720	0.615	ûntfiere
abduction	0.062	0.990	0.673	ûntfiering
aberrant	0.146	0.765	0.431	aberrant
aberration	0.125	0.816	0.417	aberraasje
abeyance	0.330	0.510	0.292	abeyance
abhor	0.125	0.602	0.349	ôfgryslik
abhorrence	0.167	0.684	0.420	ôfgriis
abhorrent	0.229	0.750	0.474	ôfgryslik
abide	0.635	0.354	0.705	bliuwe
abiding	0.796	0.327	0.750	bliuwend
ability	0.875	0.510	0.816	fermogen
abject	0.354	0.590	0.417	abject
ablation	0.418	0.500	0.500	ablaasje
ablaze	0.240	0.847	0.525	ablaze
able	0.786	0.500	0.810	yn steat
abnormal	0.137	0.604	0.309	abnormaal
abnormality	0.092	0.655	0.383	abnormaliteit
aboard	0.698	0.284	0.481	oan board
abode	0.620	0.302	0.500	wenne
abolish	0.448	0.615	0.529	ôfskaffe
abolition	0.323	0.690	0.529	ôfskaffing
abominable	0.120	0.731	0.482	ôfgryslik
abominate	0.198	0.788	0.366	abominate
abomination	0.078	0.755	0.518	grouwel
aboriginal	0.448	0.427	0.542	aboriginal
abort	0.153	0.686	0.429	ôfbrekke
abortion	0.082	0.770	0.283	abortus
abortive	0.090	0.776	0.280	abortive
abound	0.704	0.490	0.681	oerfloedich
abovementioned	0.541	0.298	0.509	niisneamd
abracadabra	0.673	0.632	0.434	abrakadabra
abrasion	0.406	0.592	0.441	abrasion
abrasive	0.392	0.610	0.593	abrasive
abreast	0.635	0.380	0.519	op 'e hichte
abroad	0.677	0.596	0.561	bûtenlân
abrogate	0.327	0.510	0.594	ôfbrekke
abrupt	0.271	0.819	0.545	abrupt
abruptly	0.250	0.808	0.556	abrupt
abscess	0.154	0.451	0.349	abses
absence	0.153	0.235	0.266	ôfwêzigens
