English Word	Valence	Arousal	Dominance	Hmong Word
aaaaaaah	0.479	0.606	0.291	aaaaah
aaaah	0.520	0.636	0.282	aaaaah
aardvark	0.427	0.490	0.437	aardvark ua
aback	0.385	0.407	0.288	poob siab
abacus	0.510	0.276	0.485	abacus
abalone	0.500	0.480	0.412	abalone
abandon	0.052	0.519	0.245	tso tseg
abandoned	0.046	0.481	0.130	tso tseg
abandonment	0.128	0.430	0.202	kev tso tseg
abashed	0.177	0.644	0.307	txaj muag
abate	0.255	0.696	0.604	abate
abatement	0.388	0.338	0.336	txo qis
abba	0.562	0.500	0.480	abba ua
abbey	0.580	0.367	0.444	Abbey
abbot	0.427	0.321	0.483	tus thawj tswj hwm
abbreviate	0.531	0.375	0.330	luv luv
abbreviation	0.469	0.306	0.345	luv luv
abdomen	0.469	0.462	0.471	plab
abdominal	0.490	0.456	0.445	plab
abduct	0.173	0.720	0.615	kev ua phem
abduction	0.062	0.990	0.673	kev nyiag
aberrant	0.146	0.765	0.431	tsis ncaj ncees lawm
aberration	0.125	0.816	0.417	aberration
abeyance	0.330	0.510	0.292	kev ua txhaum
abhor	0.125	0.602	0.349	ntxub
abhorrence	0.167	0.684	0.420	kev ntxub ntxaug
abhorrent	0.229	0.750	0.474	ntxub
abide	0.635	0.354	0.705	nyob
abiding	0.796	0.327	0.750	nyob
ability	0.875	0.510	0.816	muaj peev xwm
abject	0.354	0.590	0.417	ua tsis ncaj
ablation	0.418	0.500	0.500	ablation
ablaze	0.240	0.847	0.525	tawg
able	0.786	0.500	0.810	muaj peev xwm
abnormal	0.137	0.604	0.309	txawv txav
abnormality	0.092	0.655	0.383	kev txawv txav
aboard	0.698	0.284	0.481	nkoj
abode	0.620	0.302	0.500	nyob
abolish	0.448	0.615	0.529	tshem tawm
abolition	0.323	0.690	0.529	kev tshem tawm
abominable	0.120	0.731	0.482	qias neeg
abominate	0.198	0.788	0.366	qias neeg
abomination	0.078	0.755	0.518	kev qias
aboriginal	0.448	0.427	0.542	neeg aboriginal
abort	0.153	0.686	0.429	rho menyuam
abortion	0.082	0.770	0.283	rho menyuam
abortive	0.090	0.776	0.280	rho menyuam
abound	0.704	0.490	0.681	muaj ntau
abovementioned	0.541	0.298	0.509	hais saum toj no
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	puas
abrasive	0.392	0.610	0.593	abrasive
abreast	0.635	0.380	0.519	nyob deb
abroad	0.677	0.596	0.561	txawv teb chaws
abrogate	0.327	0.510	0.594	tshem tawm
abrupt	0.271	0.819	0.545	sai sai
abruptly	0.250	0.808	0.556	sai li sai tau
abscess	0.154	0.451	0.349	abscess
absence	0.153	0.235	0.266	tsis muaj
absent	0.177	0.221	0.116	tsis tuaj
absentee	0.235	0.330	0.279	tsis tuaj
absenteeism	0.404	0.273	0.357	kev tsis tuaj kawm ntawv
absinthe	0.481	0.510	0.462	absinthe
absolute	0.526	0.510	0.827	kiag li
absolution	0.715	0.500	0.664	kev tshem tawm
absolve	0.684	0.449	0.660	kiag
absorb	0.469	0.558	0.670	nqus
absorbed	0.490	0.471	0.519	nqus tau
absorbent	0.552	0.394	0.718	nqus tau
absorbing	0.490	0.490	0.578	nqus tau
absorption	0.609	0.422	0.446	nqus
abstain	0.385	0.385	0.427	zam txim
abstention	0.271	0.264	0.509	tsis quav ntsej
abstinence	0.260	0.392	0.429	abstinence
abstract	0.438	0.292	0.444	abstract
abstraction	0.469	0.439	0.525	abstraction
absurd	0.188	0.656	0.284	absurd
absurdity	0.115	0.528	0.227	kev tsis txaus ntseeg
abundance	0.812	0.690	0.852	kev nplua nuj
abundant	0.958	0.590	0.760	ntau
abuse	0.071	0.873	0.469	tsim txom
abused	0.021	0.874	0.235	raug tsim txom
abusive	0.125	0.903	0.567	tsim txom
abutment	0.500	0.265	0.616	abutment
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	abysmal
abyss	0.353	0.725	0.296	aub
academic	0.781	0.420	0.812	kev kawm
academy	0.704	0.473	0.792	kev kawm
accede	0.698	0.510	0.537	accede
accelerant	0.643	0.844	0.802	ceev
accelerate	0.615	0.902	0.759	ceev
accelerated	0.610	0.812	0.682	nrawm
acceleration	0.704	0.905	0.843	kev ceev
accelerator	0.593	0.830	0.812	accelerator
accent	0.598	0.357	0.509	lus
accentuate	0.673	0.556	0.667	accentuate
accept	0.847	0.286	0.565	txais
acceptable	0.812	0.286	0.583	txais tau
acceptance	0.833	0.287	0.755	txais
acceptances	0.847	0.413	0.648	txais
access	0.714	0.472	0.567	nkag mus
accessible	0.796	0.410	0.645	siv tau
accession	0.612	0.383	0.636	kev nkag mus
accessory	0.562	0.292	0.445	khoom siv
accident	0.125	0.908	0.336	xwm txheej
accidental	0.319	0.784	0.307	yuam kev
accidentally	0.333	0.741	0.333	txhob txwm
acclaim	0.562	0.809	0.718	qhuas
accolade	0.688	0.591	0.775	qhuas
accommodate	0.844	0.375	0.566	haum
accommodation	0.817	0.415	0.587	chaw nyob
accompaniment	0.740	0.479	0.695	nrog rau
accompany	0.833	0.406	0.585	nrog
accompanying	0.787	0.460	0.582	nrog
accomplice	0.408	0.580	0.510	ua kom tiav
accomplish	0.929	0.673	0.816	ua kom tiav
accomplished	0.870	0.520	0.798	ua tiav
accomplishment	0.917	0.694	0.888	kev ua tiav
accord	0.898	0.264	0.382	ua raws
accordance	0.659	0.349	0.600	ua raws
accordion	0.604	0.490	0.361	accordion
account	0.531	0.347	0.472	tus account
accountability	0.755	0.537	0.833	kev lav ris
accountable	0.709	0.282	0.777	lav
accountant	0.625	0.450	0.639	tus accountant
accounting	0.552	0.390	0.677	accounting
accounts	0.592	0.340	0.471	nyiaj
accredited	0.669	0.479	0.768	kev lees paub
accretion	0.448	0.519	0.672	accretion
accrue	0.520	0.481	0.602	nce
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	sau
accumulation	0.479	0.527	0.600	khaws cia
accuracy	0.604	0.481	0.802	qhov tseeb
accurate	0.743	0.360	0.737	raug
accursed	0.135	0.745	0.345	raug foom
accusation	0.073	0.718	0.564	kev liam
accusative	0.198	0.755	0.482	raug liam
accuse	0.133	0.752	0.500	liam
accused	0.130	0.670	0.420	liam
accuser	0.122	0.779	0.615	tus neeg liam
accusing	0.156	0.745	0.324	liam
accustomed	0.542	0.365	0.441	siv
ace	0.643	0.481	0.546	ace
acetic	0.333	0.420	0.519	acetic tshuaj
acetylene	0.306	0.469	0.509	acetylene
ache	0.146	0.760	0.312	mob
achieve	0.816	0.545	0.843	ua tiav
achieved	0.896	0.519	0.775	ua tiav
achievement	0.896	0.808	0.759	kev ua tiav
aching	0.053	0.880	0.348	mob
achy	0.167	0.840	0.373	mob
acid	0.265	0.642	0.566	kua qaub
acidity	0.156	0.663	0.360	acidity
acknowledge	0.786	0.370	0.661	lees paub
acknowledged	0.714	0.443	0.765	lees paub
acknowledgement	0.819	0.539	0.830	kev lees paub
