English Word	Valence	Arousal	Dominance	Somali Word
aaaaaaah	0.479	0.606	0.291	ahaaaaah
aaaah	0.520	0.636	0.282	ahaaa
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	yaab
abacus	0.510	0.276	0.485	abacus
abalone	0.500	0.480	0.412	abaayo
abandon	0.052	0.519	0.245	iska daa
abandoned	0.046	0.481	0.130	laga tagay
abandonment	0.128	0.430	0.202	ka tegid
abashed	0.177	0.644	0.307	xishooday
abate	0.255	0.696	0.604	abate
abatement	0.388	0.338	0.336	dhimis
abba	0.562	0.500	0.480	abbaa
abbey	0.580	0.367	0.444	abbey
abbot	0.427	0.321	0.483	abti
abbreviate	0.531	0.375	0.330	soo gaabin
abbreviation	0.469	0.306	0.345	soo gaabinta
abdomen	0.469	0.462	0.471	caloosha
abdominal	0.490	0.456	0.445	caloosha
abduct	0.173	0.720	0.615	afduub
abduction	0.062	0.990	0.673	afduubid
aberrant	0.146	0.765	0.431	qallafsanaan
aberration	0.125	0.816	0.417	wax laga xishoodo
abeyance	0.330	0.510	0.292	ka tagnaansho
abhor	0.125	0.602	0.349	karaahiyo
abhorrence	0.167	0.684	0.420	karaahiyo
abhorrent	0.229	0.750	0.474	karaahiyo
abide	0.635	0.354	0.705	u hoggaansamo
abiding	0.796	0.327	0.750	u hoggaansama
ability	0.875	0.510	0.816	karti
abject	0.354	0.590	0.417	ceeb
ablation	0.418	0.500	0.500	aflagaado
ablaze	0.240	0.847	0.525	gubasho
able	0.786	0.500	0.810	awoodo
abnormal	0.137	0.604	0.309	aan caadi ahayn
abnormality	0.092	0.655	0.383	aan caadi ahayn
aboard	0.698	0.284	0.481	fuula
abode	0.620	0.302	0.500	hoy
abolish	0.448	0.615	0.529	baabi'in
abolition	0.323	0.690	0.529	baabi'inta
abominable	0.120	0.731	0.482	karaahiyo
abominate	0.198	0.788	0.366	karaahiyo
abomination	0.078	0.755	0.518	karaahiyo
aboriginal	0.448	0.427	0.542	asal ahaan
abort	0.153	0.686	0.429	iska soo rididda
abortion	0.082	0.770	0.283	ilmo iska soo ridid
abortive	0.090	0.776	0.280	ilmo iska soo ridid
abound	0.704	0.490	0.681	badan
abovementioned	0.541	0.298	0.509	kor ku xusan
abracadabra	0.673	0.632	0.434	abracadabra
