English Word	Valence	Arousal	Dominance	Hindi Word
aaaaaaah	0.479	0.606	0.291	आआआआः
aaaah	0.520	0.636	0.282	आह
aardvark	0.427	0.490	0.437	एर्डवार्क
aback	0.385	0.407	0.288	अचंभे
abacus	0.510	0.276	0.485	अबेकस
abalone	0.500	0.480	0.412	ऐबालोन
abandon	0.052	0.519	0.245	छोड़ देना
abandoned	0.046	0.481	0.130	त्यागा हुआ
abandonment	0.128	0.430	0.202	संन्यास
abashed	0.177	0.644	0.307	घबराया हुआ
abate	0.255	0.696	0.604	रोक-थाम करना
abatement	0.388	0.338	0.336	उपशमन
abba	0.562	0.500	0.480	अब्बा
abbey	0.580	0.367	0.444	बौद्ध मठ
abbot	0.427	0.321	0.483	मठाधीश
abbreviate	0.531	0.375	0.330	संक्षिप्त
abbreviation	0.469	0.306	0.345	संक्षेपाक्षर
abdomen	0.469	0.462	0.471	पेट
abdominal	0.490	0.456	0.445	पेट
abduct	0.173	0.720	0.615	अपहरण
abduction	0.062	0.990	0.673	अपहरण
aberrant	0.146	0.765	0.431	धर्मपथ से हटनेवाला
aberration	0.125	0.816	0.417	विपथन
abeyance	0.330	0.510	0.292	ठहराव
abhor	0.125	0.602	0.349	घृणा करना
abhorrence	0.167	0.684	0.420	घृणा
abhorrent	0.229	0.750	0.474	घिनौना
abide	0.635	0.354	0.705	पालन करना
abiding	0.796	0.327	0.750	स्थायी
ability	0.875	0.510	0.816	योग्यता
abject	0.354	0.590	0.417	अधम
ablation	0.418	0.500	0.500	पृथक करना
ablaze	0.240	0.847	0.525	जलता हुआ
able	0.786	0.500	0.810	काबिल
abnormal	0.137	0.604	0.309	असामान्य
abnormality	0.092	0.655	0.383	असामान्यता
aboard	0.698	0.284	0.481	समीप
abode	0.620	0.302	0.500	निवास
abolish	0.448	0.615	0.529	समाप्त करना
abolition	0.323	0.690	0.529	उन्मूलन
abominable	0.120	0.731	0.482	घिनौना
abominate	0.198	0.788	0.366	घिनौना
abomination	0.078	0.755	0.518	नफरत
aboriginal	0.448	0.427	0.542	आदिवासी
abort	0.153	0.686	0.429	बीच में बंद करें
abortion	0.082	0.770	0.283	गर्भपात
abortive	0.090	0.776	0.280	निष्फल
abound	0.704	0.490	0.681	लाजिमी
abovementioned	0.541	0.298	0.509	उपरोक्त
abracadabra	0.673	0.632	0.434	मंत्र
abrasion	0.406	0.592	0.441	घर्षण
abrasive	0.392	0.610	0.593	घर्षण
abreast	0.635	0.380	0.519	बराबर में
abroad	0.677	0.596	0.561	विदेश
abrogate	0.327	0.510	0.594	अभिनिषेध करना
abrupt	0.271	0.819	0.545	आकस्मिक
abruptly	0.250	0.808	0.556	एकाएक
abscess	0.154	0.451	0.349	फोड़ा
absence	0.153	0.235	0.266	अनुपस्थिति
absent	0.177	0.221	0.116	अनुपस्थित
absentee	0.235	0.330	0.279	अनुपस्थित होनेवाला
absenteeism	0.404	0.273	0.357	कार्य से अनुपस्थित होना
absinthe	0.481	0.510	0.462	चिरायता
absolute	0.526	0.510	0.827	शुद्ध
absolution	0.715	0.500	0.664	मुक्ति
absolve	0.684	0.449	0.660	दोषमुक्त करना
absorb	0.469	0.558	0.670	सोख लेना
absorbed	0.490	0.471	0.519	को अवशोषित
absorbent	0.552	0.394	0.718	शोषक
absorbing	0.490	0.490	0.578	अवशोषित
absorption	0.609	0.422	0.446	अवशोषण
abstain	0.385	0.385	0.427	बचना
abstention	0.271	0.264	0.509	बचाव
abstinence	0.260	0.392	0.429	परहेज़
abstract	0.438	0.292	0.444	सार
abstraction	0.469	0.439	0.525	मतिहीनता
absurd	0.188	0.656	0.284	बेतुका
absurdity	0.115	0.528	0.227	मूर्खता
abundance	0.812	0.690	0.852	प्रचुरता
abundant	0.958	0.590	0.760	भरपूर
abuse	0.071	0.873	0.469	गाली देना
abused	0.021	0.874	0.235	दुर्व्यवहार
abusive	0.125	0.903	0.567	अपमानजनक
abutment	0.500	0.265	0.616	सीमा
aby	0.385	0.452	0.368	अबी
abysmal	0.250	0.710	0.598	मात्र
abyss	0.353	0.725	0.296	रसातल
academic	0.781	0.420	0.812	शैक्षिक
academy	0.704	0.473	0.792	अकादमी
accede	0.698	0.510	0.537	मान लेना
accelerant	0.643	0.844	0.802	तेज़ करनेवाला
accelerate	0.615	0.902	0.759	में तेजी लाने के
accelerated	0.610	0.812	0.682	ACCELERATED
acceleration	0.704	0.905	0.843	त्वरण
accelerator	0.593	0.830	0.812	त्वरक
accent	0.598	0.357	0.509	लहजा
accentuate	0.673	0.556	0.667	दबाव का चिह्न
accept	0.847	0.286	0.565	मानना
acceptable	0.812	0.286	0.583	स्वीकार्य
acceptance	0.833	0.287	0.755	स्वीकार
acceptances	0.847	0.413	0.648	स्वीकृतियां
access	0.714	0.472	0.567	पहुँच
accessible	0.796	0.410	0.645	पहुंच योग्य
accession	0.612	0.383	0.636	परिग्रहण
accessory	0.562	0.292	0.445	सहायक
accident	0.125	0.908	0.336	दुर्घटना
accidental	0.319	0.784	0.307	आकस्मिक
accidentally	0.333	0.741	0.333	अकस्मात
acclaim	0.562	0.809	0.718	प्रशंसा
accolade	0.688	0.591	0.775	सम्मान
accommodate	0.844	0.375	0.566	समायोजित करना
accommodation	0.817	0.415	0.587	निवास स्थान
accompaniment	0.740	0.479	0.695	संगत
accompany	0.833	0.406	0.585	साथ
accompanying	0.787	0.460	0.582	साथ में
accomplice	0.408	0.580	0.510	साथी
accomplish	0.929	0.673	0.816	पूरा करना
accomplished	0.870	0.520	0.798	कुशल
accomplishment	0.917	0.694	0.888	उपलब्धि
accord	0.898	0.264	0.382	एकॉर्ड
accordance	0.659	0.349	0.600	अनुसार
accordion	0.604	0.490	0.361	अकॉर्डियन
account	0.531	0.347	0.472	खाता
accountability	0.755	0.537	0.833	जवाबदेही
accountable	0.709	0.282	0.777	उत्तरदायी
accountant	0.625	0.450	0.639	मुनीम
accounting	0.552	0.390	0.677	लेखांकन
accounts	0.592	0.340	0.471	हिसाब किताब
accredited	0.669	0.479	0.768	मान्यता प्राप्त
accretion	0.448	0.519	0.672	एक साथ वृद्धि
