English Word	Valence	Arousal	Dominance	Hungarian Word
aaaaaaah	0.479	0.606	0.291	aaaaaaah
aaaah	0.520	0.636	0.282	ááá
aardvark	0.427	0.490	0.437	földimalac
aback	0.385	0.407	0.288	elképedve
abacus	0.510	0.276	0.485	golyós számológép
abalone	0.500	0.480	0.412	abalon
abandon	0.052	0.519	0.245	elhagyott
abandoned	0.046	0.481	0.130	elhagyatott
abandonment	0.128	0.430	0.202	lemondás
abashed	0.177	0.644	0.307	szégyenkezve
abate	0.255	0.696	0.604	alábbhagy
abatement	0.388	0.338	0.336	Elhárítás
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	apátság
abbot	0.427	0.321	0.483	apát
abbreviate	0.531	0.375	0.330	rövidíteni
abbreviation	0.469	0.306	0.345	rövidítés
abdomen	0.469	0.462	0.471	has
abdominal	0.490	0.456	0.445	hasi
abduct	0.173	0.720	0.615	elrabol
abduction	0.062	0.990	0.673	emberrablás
aberrant	0.146	0.765	0.431	aberrált
aberration	0.125	0.816	0.417	aberráció
abeyance	0.330	0.510	0.292	felfüggesztve
abhor	0.125	0.602	0.349	gyűlöl
abhorrence	0.167	0.684	0.420	gyűlölet
abhorrent	0.229	0.750	0.474	utálatos
abide	0.635	0.354	0.705	betartani
abiding	0.796	0.327	0.750	maradandó
ability	0.875	0.510	0.816	képesség
abject	0.354	0.590	0.417	siralmas
ablation	0.418	0.500	0.500	abláció
ablaze	0.240	0.847	0.525	lángoló
able	0.786	0.500	0.810	képes
abnormal	0.137	0.604	0.309	rendellenes
abnormality	0.092	0.655	0.383	rendellenesség
aboard	0.698	0.284	0.481	fedélzeten
abode	0.620	0.302	0.500	lakóhely
abolish	0.448	0.615	0.529	megszüntetni
abolition	0.323	0.690	0.529	megszüntetése
abominable	0.120	0.731	0.482	utálatos
abominate	0.198	0.788	0.366	utál
abomination	0.078	0.755	0.518	utálatos
aboriginal	0.448	0.427	0.542	bennszülött
abort	0.153	0.686	0.429	elvetél
abortion	0.082	0.770	0.283	abortusz
abortive	0.090	0.776	0.280	sikertelen
abound	0.704	0.490	0.681	bővelkedik
abovementioned	0.541	0.298	0.509	fent említett
abracadabra	0.673	0.632	0.434	varázsige
abrasion	0.406	0.592	0.441	kopás
abrasive	0.392	0.610	0.593	csiszoló
abreast	0.635	0.380	0.519	egymás mellett
abroad	0.677	0.596	0.561	külföldön
abrogate	0.327	0.510	0.594	eltörölni
abrupt	0.271	0.819	0.545	hirtelen
abruptly	0.250	0.808	0.556	hirtelen
abscess	0.154	0.451	0.349	tályog
absence	0.153	0.235	0.266	hiány
absent	0.177	0.221	0.116	hiányzó
absentee	0.235	0.330	0.279	távollévő
absenteeism	0.404	0.273	0.357	hiányzás
absinthe	0.481	0.510	0.462	abszint
absolute	0.526	0.510	0.827	abszolút
absolution	0.715	0.500	0.664	feloldozás
absolve	0.684	0.449	0.660	felment
absorb	0.469	0.558	0.670	elnyel
absorbed	0.490	0.471	0.519	elnyelt
absorbent	0.552	0.394	0.718	nedvszívó
absorbing	0.490	0.490	0.578	elnyelő
absorption	0.609	0.422	0.446	abszorpció
abstain	0.385	0.385	0.427	tartózkodni
abstention	0.271	0.264	0.509	tartózkodás
abstinence	0.260	0.392	0.429	önmegtartóztatás
abstract	0.438	0.292	0.444	absztrakt
abstraction	0.469	0.439	0.525	absztrakció
absurd	0.188	0.656	0.284	abszurd
absurdity	0.115	0.528	0.227	képtelenség
abundance	0.812	0.690	0.852	bőség
abundant	0.958	0.590	0.760	bőséges
abuse	0.071	0.873	0.469	visszaélés
abused	0.021	0.874	0.235	bántalmazták
abusive	0.125	0.903	0.567	bántalmazó
abutment	0.500	0.265	0.616	felépítmény
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	feneketlen
abyss	0.353	0.725	0.296	szakadék
academic	0.781	0.420	0.812	akadémiai
academy	0.704	0.473	0.792	akadémia
accede	0.698	0.510	0.537	csatlakozni
accelerant	0.643	0.844	0.802	katalizátor
accelerate	0.615	0.902	0.759	felgyorsítani
accelerated	0.610	0.812	0.682	felgyorsult
