English Word	Valence	Arousal	Dominance	Corsican Word
aaaaaaah	0.479	0.606	0.291	aaaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	sbagghiatu
abacus	0.510	0.276	0.485	abacus
abalone	0.500	0.480	0.412	abalone
abandon	0.052	0.519	0.245	abbandunà
abandoned	0.046	0.481	0.130	abbandunatu
abandonment	0.128	0.430	0.202	abbandunamentu
abashed	0.177	0.644	0.307	imbarazzati
abate	0.255	0.696	0.604	abate
abatement	0.388	0.338	0.336	abbattimentu
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	abbazia
abbot	0.427	0.321	0.483	abbé
abbreviate	0.531	0.375	0.330	abbreviate
abbreviation	0.469	0.306	0.345	abbreviazione
abdomen	0.469	0.462	0.471	abdomen
abdominal	0.490	0.456	0.445	addominali
abduct	0.173	0.720	0.615	rapire
abduction	0.062	0.990	0.673	rapimentu
aberrant	0.146	0.765	0.431	aberrante
aberration	0.125	0.816	0.417	aberrazione
abeyance	0.330	0.510	0.292	sospesa
abhor	0.125	0.602	0.349	detesta
abhorrence	0.167	0.684	0.420	aborrizzioni
abhorrent	0.229	0.750	0.474	abominevole
abide	0.635	0.354	0.705	aspittà
abiding	0.796	0.327	0.750	dimora
ability	0.875	0.510	0.816	capacità
abject	0.354	0.590	0.417	abject
ablation	0.418	0.500	0.500	ablazione
ablaze	0.240	0.847	0.525	ardente
able	0.786	0.500	0.810	capaci
abnormal	0.137	0.604	0.309	anormali
abnormality	0.092	0.655	0.383	anormalità
aboard	0.698	0.284	0.481	à bordu
abode	0.620	0.302	0.500	dimora
abolish	0.448	0.615	0.529	abulisce
abolition	0.323	0.690	0.529	abulizioni
abominable	0.120	0.731	0.482	abominable
abominate	0.198	0.788	0.366	abominà
abomination	0.078	0.755	0.518	abominazione
aboriginal	0.448	0.427	0.542	aborigeni
abort	0.153	0.686	0.429	abortu
abortion	0.082	0.770	0.283	abortu
abortive	0.090	0.776	0.280	abortivu
abound	0.704	0.490	0.681	abbundanza
abovementioned	0.541	0.298	0.509	sopra citatu
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	abrasione
abrasive	0.392	0.610	0.593	abrasive
abreast	0.635	0.380	0.519	accumpagnatu
abroad	0.677	0.596	0.561	fora
abrogate	0.327	0.510	0.594	abrogà
abrupt	0.271	0.819	0.545	bruscu
abruptly	0.250	0.808	0.556	bruscamente
abscess	0.154	0.451	0.349	ascessu
absence	0.153	0.235	0.266	assenza
absent	0.177	0.221	0.116	assente
absentee	0.235	0.330	0.279	assente
absenteeism	0.404	0.273	0.357	assenteismu
absinthe	0.481	0.510	0.462	absinthe
absolute	0.526	0.510	0.827	assolutu
absolution	0.715	0.500	0.664	assoluzione
absolve	0.684	0.449	0.660	assolve
absorb	0.469	0.558	0.670	assorbe
absorbed	0.490	0.471	0.519	assorbita
absorbent	0.552	0.394	0.718	assorbente
absorbing	0.490	0.490	0.578	assorbenti
absorption	0.609	0.422	0.446	assorbimentu
abstain	0.385	0.385	0.427	astene
abstention	0.271	0.264	0.509	astensione
abstinence	0.260	0.392	0.429	astinenza
abstract	0.438	0.292	0.444	astrattu
abstraction	0.469	0.439	0.525	astrazzioni
absurd	0.188	0.656	0.284	assurdu
absurdity	0.115	0.528	0.227	assurdità
abundance	0.812	0.690	0.852	abbundanza
abundant	0.958	0.590	0.760	abbundante
abuse	0.071	0.873	0.469	abusu
abused	0.021	0.874	0.235	abusatu
abusive	0.125	0.903	0.567	abusive
abutment	0.500	0.265	0.616	abutment
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	abismalu
abyss	0.353	0.725	0.296	abissu
academic	0.781	0.420	0.812	accademicu
academy	0.704	0.473	0.792	accademia
accede	0.698	0.510	0.537	accede
accelerant	0.643	0.844	0.802	accelerante
accelerate	0.615	0.902	0.759	accelerà
accelerated	0.610	0.812	0.682	acceleratu
acceleration	0.704	0.905	0.843	accelerazione
accelerator	0.593	0.830	0.812	acceleratore
accent	0.598	0.357	0.509	accentu
accentuate	0.673	0.556	0.667	accentuate
accept	0.847	0.286	0.565	accettà
acceptable	0.812	0.286	0.583	accettabile
acceptance	0.833	0.287	0.755	accettazione
acceptances	0.847	0.413	0.648	accettazioni
access	0.714	0.472	0.567	accessu
accessible	0.796	0.410	0.645	accessìbule
accession	0.612	0.383	0.636	adesione
accessory	0.562	0.292	0.445	accessori
accident	0.125	0.908	0.336	accidente
accidental	0.319	0.784	0.307	accidintali
accidentally	0.333	0.741	0.333	accidentalmente
acclaim	0.562	0.809	0.718	acclamazione
accolade	0.688	0.591	0.775	accoltu
accommodate	0.844	0.375	0.566	accoglie
accommodation	0.817	0.415	0.587	alloghju
accompaniment	0.740	0.479	0.695	accumpagnamentu
accompany	0.833	0.406	0.585	accumpagna
accompanying	0.787	0.460	0.582	accumpagna
accomplice	0.408	0.580	0.510	complice
accomplish	0.929	0.673	0.816	compie
accomplished	0.870	0.520	0.798	compie
accomplishment	0.917	0.694	0.888	realizazione
accord	0.898	0.264	0.382	accordu
accordance	0.659	0.349	0.600	cunfurmità
accordion	0.604	0.490	0.361	fisarmonica
account	0.531	0.347	0.472	contu
accountability	0.755	0.537	0.833	accountability
accountable	0.709	0.282	0.777	rispunsevuli
accountant	0.625	0.450	0.639	contabile
accounting	0.552	0.390	0.677	cuntabilità
accounts	0.592	0.340	0.471	cunti
accredited	0.669	0.479	0.768	accreditatu
accretion	0.448	0.519	0.672	accrescimentu
accrue	0.520	0.481	0.602	accurtà
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	accumulà
accumulation	0.479	0.527	0.600	accumulation
accuracy	0.604	0.481	0.802	precisione
accurate	0.743	0.360	0.737	precisu
accursed	0.135	0.745	0.345	maledetti
accusation	0.073	0.718	0.564	accusa
accusative	0.198	0.755	0.482	accusativu
accuse	0.133	0.752	0.500	accusà
accused	0.130	0.670	0.420	accusatu
accuser	0.122	0.779	0.615	accusatore
accusing	0.156	0.745	0.324	accusendu
accustomed	0.542	0.365	0.441	abituatu
ace	0.643	0.481	0.546	asso
acetic	0.333	0.420	0.519	aceticu
acetylene	0.306	0.469	0.509	acetilene
ache	0.146	0.760	0.312	dolore
achieve	0.816	0.545	0.843	ghjunghje
achieved	0.896	0.519	0.775	ottenuta
achievement	0.896	0.808	0.759	successu
aching	0.053	0.880	0.348	dolente
achy	0.167	0.840	0.373	achy
acid	0.265	0.642	0.566	acidu
acidity	0.156	0.663	0.360	acidità
acknowledge	0.786	0.370	0.661	ricunnosce
acknowledged	0.714	0.443	0.765	ricunnisciutu
acknowledgement	0.819	0.539	0.830	ricunniscenza
acknowledgment	0.796	0.528	0.777	ricunniscenza
acme	0.408	0.435	0.375	acme
