English Word	Valence	Arousal	Dominance	Bulgarian Word
aaaaaaah	0.479	0.606	0.291	ааааааа
aaaah	0.520	0.636	0.282	аааа
aardvark	0.427	0.490	0.437	аардварк
aback	0.385	0.407	0.288	назад
abacus	0.510	0.276	0.485	Абак
abalone	0.500	0.480	0.412	охлюв
abandon	0.052	0.519	0.245	изоставям
abandoned	0.046	0.481	0.130	изоставен
abandonment	0.128	0.430	0.202	изоставяне
abashed	0.177	0.644	0.307	смутен
abate	0.255	0.696	0.604	отслабвам
abatement	0.388	0.338	0.336	намаляване
abba	0.562	0.500	0.480	абба
abbey	0.580	0.367	0.444	абатство
abbot	0.427	0.321	0.483	игумен
abbreviate	0.531	0.375	0.330	съкращавам
abbreviation	0.469	0.306	0.345	съкращение
abdomen	0.469	0.462	0.471	корема
abdominal	0.490	0.456	0.445	коремна
abduct	0.173	0.720	0.615	отвличам
abduction	0.062	0.990	0.673	отвличане
aberrant	0.146	0.765	0.431	нетипичен
aberration	0.125	0.816	0.417	аберация
abeyance	0.330	0.510	0.292	пасивност
abhor	0.125	0.602	0.349	отвращавам се
abhorrence	0.167	0.684	0.420	отвращение
abhorrent	0.229	0.750	0.474	отвратителен
abide	0.635	0.354	0.705	търпя
abiding	0.796	0.327	0.750	спазване
ability	0.875	0.510	0.816	способност
abject	0.354	0.590	0.417	жалко
ablation	0.418	0.500	0.500	аблация
ablaze	0.240	0.847	0.525	пламнал
able	0.786	0.500	0.810	способен
abnormal	0.137	0.604	0.309	ненормален
abnormality	0.092	0.655	0.383	аномалия
aboard	0.698	0.284	0.481	на борда
abode	0.620	0.302	0.500	жилище
abolish	0.448	0.615	0.529	премахвам
abolition	0.323	0.690	0.529	премахване
abominable	0.120	0.731	0.482	отвратителен
abominate	0.198	0.788	0.366	отвратителен
abomination	0.078	0.755	0.518	мерзост
aboriginal	0.448	0.427	0.542	абориген
abort	0.153	0.686	0.429	прекъсвам
abortion	0.082	0.770	0.283	аборт
abortive	0.090	0.776	0.280	абортивен
abound	0.704	0.490	0.681	изобилстват
abovementioned	0.541	0.298	0.509	гореспоменат
abracadabra	0.673	0.632	0.434	абракадабра
abrasion	0.406	0.592	0.441	абразия
abrasive	0.392	0.610	0.593	абразив
abreast	0.635	0.380	0.519	в крак
abroad	0.677	0.596	0.561	в чужбина
abrogate	0.327	0.510	0.594	анулирам
abrupt	0.271	0.819	0.545	рязко
abruptly	0.250	0.808	0.556	рязко
abscess	0.154	0.451	0.349	абсцес
absence	0.153	0.235	0.266	отсъствие
absent	0.177	0.221	0.116	отсъстващ
absentee	0.235	0.330	0.279	неприсъствен
absenteeism	0.404	0.273	0.357	отсъствие от работа
absinthe	0.481	0.510	0.462	абсент
absolute	0.526	0.510	0.827	абсолютен
absolution	0.715	0.500	0.664	опрощение
absolve	0.684	0.449	0.660	освобождавам
absorb	0.469	0.558	0.670	абсорбирам
absorbed	0.490	0.471	0.519	усвоени
absorbent	0.552	0.394	0.718	абсорбент
absorbing	0.490	0.490	0.578	абсорбиращ
absorption	0.609	0.422	0.446	абсорбция
abstain	0.385	0.385	0.427	въздържам се
abstention	0.271	0.264	0.509	въздържание
abstinence	0.260	0.392	0.429	въздържание
abstract	0.438	0.292	0.444	абстрактно
abstraction	0.469	0.439	0.525	абстракция
absurd	0.188	0.656	0.284	абсурд
absurdity	0.115	0.528	0.227	абсурд
abundance	0.812	0.690	0.852	изобилие
abundant	0.958	0.590	0.760	изобилен
abuse	0.071	0.873	0.469	злоупотреба
abused	0.021	0.874	0.235	малтретиран
abusive	0.125	0.903	0.567	обиден
abutment	0.500	0.265	0.616	абатмент
aby	0.385	0.452	0.368	аби
abysmal	0.250	0.710	0.598	бездна
abyss	0.353	0.725	0.296	бездна
academic	0.781	0.420	0.812	академичен
academy	0.704	0.473	0.792	академия
accede	0.698	0.510	0.537	да изпълня
accelerant	0.643	0.844	0.802	ускорител
accelerate	0.615	0.902	0.759	ускорявам
accelerated	0.610	0.812	0.682	ускорено
acceleration	0.704	0.905	0.843	ускорение
accelerator	0.593	0.830	0.812	ускорител
accent	0.598	0.357	0.509	акцент
accentuate	0.673	0.556	0.667	акцентирам
accept	0.847	0.286	0.565	приемам
acceptable	0.812	0.286	0.583	приемливо
acceptance	0.833	0.287	0.755	приемане
acceptances	0.847	0.413	0.648	приемания
access	0.714	0.472	0.567	достъп
accessible	0.796	0.410	0.645	достъпен
accession	0.612	0.383	0.636	присъединяване
accessory	0.562	0.292	0.445	аксесоар
accident	0.125	0.908	0.336	злополука
accidental	0.319	0.784	0.307	случаен
accidentally	0.333	0.741	0.333	случайно
acclaim	0.562	0.809	0.718	признание
