English Word	Valence	Arousal	Dominance	Estonian Word
aaaaaaah	0.479	0.606	0.291	aaaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	hämmeldunud
abacus	0.510	0.276	0.485	aabits
abalone	0.500	0.480	0.412	abalone
abandon	0.052	0.519	0.245	hülgama
abandoned	0.046	0.481	0.130	mahajäetud
abandonment	0.128	0.430	0.202	hülgamine
abashed	0.177	0.644	0.307	hämmeldunud
abate	0.255	0.696	0.604	raugema
abatement	0.388	0.338	0.336	vähendamine
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	klooster
abbot	0.427	0.321	0.483	abt
abbreviate	0.531	0.375	0.330	lühendada
abbreviation	0.469	0.306	0.345	lühend
abdomen	0.469	0.462	0.471	kõht
abdominal	0.490	0.456	0.445	kõhuõõne
abduct	0.173	0.720	0.615	röövida
abduction	0.062	0.990	0.673	röövimine
aberrant	0.146	0.765	0.431	kõrvalekalduv
aberration	0.125	0.816	0.417	aberratsioon
abeyance	0.330	0.510	0.292	ärajäämine
abhor	0.125	0.602	0.349	jälestus
abhorrence	0.167	0.684	0.420	vastikus
abhorrent	0.229	0.750	0.474	vastik
abide	0.635	0.354	0.705	kinni pidama
abiding	0.796	0.327	0.750	püsiv
ability	0.875	0.510	0.816	võime
abject	0.354	0.590	0.417	alatu
ablation	0.418	0.500	0.500	ablatsioon
ablaze	0.240	0.847	0.525	leekides
able	0.786	0.500	0.810	võimeline
abnormal	0.137	0.604	0.309	ebanormaalne
abnormality	0.092	0.655	0.383	ebanormaalsus
aboard	0.698	0.284	0.481	pardal
abode	0.620	0.302	0.500	elukoht
abolish	0.448	0.615	0.529	tühistada
abolition	0.323	0.690	0.529	tühistamine
abominable	0.120	0.731	0.482	jälk
abominate	0.198	0.788	0.366	jälk
abomination	0.078	0.755	0.518	jälkus
aboriginal	0.448	0.427	0.542	põlisrahvas
abort	0.153	0.686	0.429	katkestada
abortion	0.082	0.770	0.283	abort
abortive	0.090	0.776	0.280	katkendlik
abound	0.704	0.490	0.681	külluses
abovementioned	0.541	0.298	0.509	eespool mainitud
abracadabra	0.673	0.632	0.434	abrakadabra
abrasion	0.406	0.592	0.441	hõõrdumine
abrasive	0.392	0.610	0.593	abrasiivne
abreast	0.635	0.380	0.519	kursis
abroad	0.677	0.596	0.561	välismaal
abrogate	0.327	0.510	0.594	tühistada
abrupt	0.271	0.819	0.545	äkiline
abruptly	0.250	0.808	0.556	järsult
abscess	0.154	0.451	0.349	abstsess
absence	0.153	0.235	0.266	puudumine
absent	0.177	0.221	0.116	puudub
absentee	0.235	0.330	0.279	puuduja
absenteeism	0.404	0.273	0.357	töölt puudumine
absinthe	0.481	0.510	0.462	absint
absolute	0.526	0.510	0.827	absoluutne
absolution	0.715	0.500	0.664	absolutsioon
absolve	0.684	0.449	0.660	vabastama
absorb	0.469	0.558	0.670	absorbeerima
absorbed	0.490	0.471	0.519	imendunud
absorbent	0.552	0.394	0.718	imav
absorbing	0.490	0.490	0.578	neelavad
absorption	0.609	0.422	0.446	imendumine
abstain	0.385	0.385	0.427	hoiduma
abstention	0.271	0.264	0.509	hääletamisest
abstinence	0.260	0.392	0.429	karskus
abstract	0.438	0.292	0.444	abstraktne
abstraction	0.469	0.439	0.525	abstraktsioon
absurd	0.188	0.656	0.284	absurdne
absurdity	0.115	0.528	0.227	absurdsus
abundance	0.812	0.690	0.852	küllus
abundant	0.958	0.590	0.760	rohke
abuse	0.071	0.873	0.469	kuritarvitamine
abused	0.021	0.874	0.235	kuritarvitatud
abusive	0.125	0.903	0.567	kuritahtlik
abutment	0.500	0.265	0.616	abutment
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	kuristik
abyss	0.353	0.725	0.296	kuristik
academic	0.781	0.420	0.812	Akadeemiline
academy	0.704	0.473	0.792	akadeemia
accede	0.698	0.510	0.537	ühinema
accelerant	0.643	0.844	0.802	kiirendaja
accelerate	0.615	0.902	0.759	kiirendada
accelerated	0.610	0.812	0.682	kiirendatud
acceleration	0.704	0.905	0.843	kiirendus
accelerator	0.593	0.830	0.812	kiirendi
accent	0.598	0.357	0.509	aktsent
accentuate	0.673	0.556	0.667	rõhutama
accept	0.847	0.286	0.565	aktsepteerima
acceptable	0.812	0.286	0.583	vastuvõetav
acceptance	0.833	0.287	0.755	vastuvõtmine
acceptances	0.847	0.413	0.648	aktsepteerimised
access	0.714	0.472	0.567	juurdepääs
accessible	0.796	0.410	0.645	ligipääsetav
accession	0.612	0.383	0.636	ühinemine
accessory	0.562	0.292	0.445	tarvik
accident	0.125	0.908	0.336	õnnetus
accidental	0.319	0.784	0.307	juhuslik
accidentally	0.333	0.741	0.333	kogemata
acclaim	0.562	0.809	0.718	tunnustust
accolade	0.688	0.591	0.775	tunnustus
accommodate	0.844	0.375	0.566	majutama
accommodation	0.817	0.415	0.587	majutus
accompaniment	0.740	0.479	0.695	saatel
accompany	0.833	0.406	0.585	kaasas olema
accompanying	0.787	0.460	0.582	kaasasolevad
accomplice	0.408	0.580	0.510	kaasosaline
accomplish	0.929	0.673	0.816	täita
accomplished	0.870	0.520	0.798	saavutatud
accomplishment	0.917	0.694	0.888	saavutus
accord	0.898	0.264	0.382	kokkuleppel
accordance	0.659	0.349	0.600	kooskõlas
accordion	0.604	0.490	0.361	akordion
account	0.531	0.347	0.472	konto
accountability	0.755	0.537	0.833	vastutus
accountable	0.709	0.282	0.777	vastutav
accountant	0.625	0.450	0.639	raamatupidaja
accounting	0.552	0.390	0.677	raamatupidamine
accounts	0.592	0.340	0.471	kontosid
accredited	0.669	0.479	0.768	akrediteeritud
accretion	0.448	0.519	0.672	lisandumine
accrue	0.520	0.481	0.602	koguneda
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	koguneda
accumulation	0.479	0.527	0.600	kogunemine
accuracy	0.604	0.481	0.802	täpsust
accurate	0.743	0.360	0.737	täpne
accursed	0.135	0.745	0.345	neetud
accusation	0.073	0.718	0.564	süüdistus
accusative	0.198	0.755	0.482	süüdistav
accuse	0.133	0.752	0.500	süüdistama
accused	0.130	0.670	0.420	süüdistatav
accuser	0.122	0.779	0.615	süüdistaja
accusing	0.156	0.745	0.324	süüdistades
accustomed	0.542	0.365	0.441	harjunud
ace	0.643	0.481	0.546	äss
acetic	0.333	0.420	0.519	äädikhape
acetylene	0.306	0.469	0.509	atsetüleen
ache	0.146	0.760	0.312	valutama
achieve	0.816	0.545	0.843	saavutada
achieved	0.896	0.519	0.775	saavutatud
achievement	0.896	0.808	0.759	saavutus
aching	0.053	0.880	0.348	valutavad
achy	0.167	0.840	0.373	valusad
acid	0.265	0.642	0.566	hape
acidity	0.156	0.663	0.360	happesus
acknowledge	0.786	0.370	0.661	tunnistama
