English Word	Valence	Arousal	Dominance	Tajik Word
aaaaaaah	0.479	0.606	0.291	аааааа
aaaah	0.520	0.636	0.282	аааа
aardvark	0.427	0.490	0.437	аардварк
aback	0.385	0.407	0.288	ҳайрон
abacus	0.510	0.276	0.485	абакус
abalone	0.500	0.480	0.412	абалон
abandon	0.052	0.519	0.245	тарк кардан
abandoned	0.046	0.481	0.130	партофташуда
abandonment	0.128	0.430	0.202	партофтан
abashed	0.177	0.644	0.307	шармсор
abate	0.255	0.696	0.604	кам кардан
abatement	0.388	0.338	0.336	кам кардан
abba	0.562	0.500	0.480	аббо
abbey	0.580	0.367	0.444	иблис
abbot	0.427	0.321	0.483	аббот
abbreviate	0.531	0.375	0.330	ихтисор кардан
abbreviation	0.469	0.306	0.345	мухтасар
abdomen	0.469	0.462	0.471	шикам
abdominal	0.490	0.456	0.445	шикам
abduct	0.173	0.720	0.615	рабудан
abduction	0.062	0.990	0.673	одамрабоӣ
aberrant	0.146	0.765	0.431	ғайриоддӣ
aberration	0.125	0.816	0.417	аберация
abeyance	0.330	0.510	0.292	беистӣ
abhor	0.125	0.602	0.349	нафрат
abhorrence	0.167	0.684	0.420	нафрат
abhorrent	0.229	0.750	0.474	нафратовар
abide	0.635	0.354	0.705	бимонад
abiding	0.796	0.327	0.750	устувор
ability	0.875	0.510	0.816	қобилият
abject	0.354	0.590	0.417	бадбахт
ablation	0.418	0.500	0.500	абляция
ablaze	0.240	0.847	0.525	аланга задан
able	0.786	0.500	0.810	қодир
abnormal	0.137	0.604	0.309	ғайримуқаррарӣ
abnormality	0.092	0.655	0.383	аномалия
aboard	0.698	0.284	0.481	дар киштй
abode	0.620	0.302	0.500	манзил
abolish	0.448	0.615	0.529	бархам додан
abolition	0.323	0.690	0.529	бекор кардан
abominable	0.120	0.731	0.482	нафратовар
abominate	0.198	0.788	0.366	нафратовар
abomination	0.078	0.755	0.518	нафратовар
aboriginal	0.448	0.427	0.542	абориген
abort	0.153	0.686	0.429	қатъ кардан
abortion	0.082	0.770	0.283	исқоти ҳамл
abortive	0.090	0.776	0.280	бебохт
abound	0.704	0.490	0.681	фаровон
abovementioned	0.541	0.298	0.509	зикршуда
abracadabra	0.673	0.632	0.434	абракадабра
abrasion	0.406	0.592	0.441	абрешим
abrasive	0.392	0.610	0.593	абразивӣ
abreast	0.635	0.380	0.519	пайгирй кардан
abroad	0.677	0.596	0.561	дар хорича
abrogate	0.327	0.510	0.594	бекор кунад
abrupt	0.271	0.819	0.545	якбора
abruptly	0.250	0.808	0.556	ногаҳон
abscess	0.154	0.451	0.349	абсцесс
absence	0.153	0.235	0.266	набудани
absent	0.177	0.221	0.116	ғоиб
absentee	0.235	0.330	0.279	ғоибона
absenteeism	0.404	0.273	0.357	прогул
absinthe	0.481	0.510	0.462	абсент
absolute	0.526	0.510	0.827	мутлаќ
absolution	0.715	0.500	0.664	озодшавй
absolve	0.684	0.449	0.660	озод кардан
absorb	0.469	0.558	0.670	ҷабб кардан
absorbed	0.490	0.471	0.519	ҷаббида
absorbent	0.552	0.394	0.718	абсорбент
absorbing	0.490	0.490	0.578	ҷаббида
absorption	0.609	0.422	0.446	азхудкунӣ
abstain	0.385	0.385	0.427	худдорӣ кардан
abstention	0.271	0.264	0.509	бетараф будан
abstinence	0.260	0.392	0.429	худдорӣ
abstract	0.438	0.292	0.444	реферат
abstraction	0.469	0.439	0.525	абстракция
absurd	0.188	0.656	0.284	бемаънӣ
absurdity	0.115	0.528	0.227	бемаънӣ
abundance	0.812	0.690	0.852	фаровонй
abundant	0.958	0.590	0.760	фаровон
abuse	0.071	0.873	0.469	сӯиистифода
abused	0.021	0.874	0.235	сӯиистифода
abusive	0.125	0.903	0.567	бадгӯӣ
abutment	0.500	0.265	0.616	таваққуф
aby	0.385	0.452	0.368	абй
abysmal	0.250	0.710	0.598	бениҳоят
abyss	0.353	0.725	0.296	варта
academic	0.781	0.420	0.812	академик
academy	0.704	0.473	0.792	академия
accede	0.698	0.510	0.537	розй шудан
accelerant	0.643	0.844	0.802	суръатбахш
accelerate	0.615	0.902	0.759	тезондан
accelerated	0.610	0.812	0.682	суръат гирифт
acceleration	0.704	0.905	0.843	суръатбахшӣ
accelerator	0.593	0.830	0.812	суръатбахш
accent	0.598	0.357	0.509	акцент
accentuate	0.673	0.556	0.667	таъкид кардан
accept	0.847	0.286	0.565	кабул
acceptable	0.812	0.286	0.583	қобили қабул
acceptance	0.833	0.287	0.755	қабул
acceptances	0.847	0.413	0.648	қабулҳо
access	0.714	0.472	0.567	дастрасӣ
accessible	0.796	0.410	0.645	дастрас
accession	0.612	0.383	0.636	ҳамроҳшавӣ
accessory	0.562	0.292	0.445	лавозимот
accident	0.125	0.908	0.336	садама
accidental	0.319	0.784	0.307	тасодуфӣ
accidentally	0.333	0.741	0.333	тасодуфан
acclaim	0.562	0.809	0.718	таъриф кардан
accolade	0.688	0.591	0.775	таъриф
accommodate	0.844	0.375	0.566	ҷойгир кардан
accommodation	0.817	0.415	0.587	манзил
accompaniment	0.740	0.479	0.695	ҳамроҳӣ
accompany	0.833	0.406	0.585	ҳамроҳӣ кардан
accompanying	0.787	0.460	0.582	ҳамроҳ шудан
accomplice	0.408	0.580	0.510	шарик
accomplish	0.929	0.673	0.816	ичро кардан
accomplished	0.870	0.520	0.798	анҷом ёфт
accomplishment	0.917	0.694	0.888	комёбй
accord	0.898	0.264	0.382	созиш
accordance	0.659	0.349	0.600	мувофиқ
accordion	0.604	0.490	0.361	аккордеон
account	0.531	0.347	0.472	ҳисоб
accountability	0.755	0.537	0.833	масъулиятшиносӣ
accountable	0.709	0.282	0.777	масъулиятнок
accountant	0.625	0.450	0.639	бухгалтер
accounting	0.552	0.390	0.677	бухгалтерия
accounts	0.592	0.340	0.471	ҳисобҳо
accredited	0.669	0.479	0.768	аккредитатсия шудааст
accretion	0.448	0.519	0.672	ҷамъшавӣ
accrue	0.520	0.481	0.602	ҷамъ мешавад
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	ҷамъ кардан
accumulation	0.479	0.527	0.600	ҷамъшавӣ
accuracy	0.604	0.481	0.802	дақиқӣ
accurate	0.743	0.360	0.737	дақиқ
accursed	0.135	0.745	0.345	лаънат
accusation	0.073	0.718	0.564	айбнома
accusative	0.198	0.755	0.482	айбдоркунанда
accuse	0.133	0.752	0.500	айбдор кардан
accused	0.130	0.670	0.420	айбдор
accuser	0.122	0.779	0.615	айбдоркунанда
accusing	0.156	0.745	0.324	айбдор кардан
accustomed	0.542	0.365	0.441	одат кардааст
ace	0.643	0.481	0.546	ас
acetic	0.333	0.420	0.519	уксус
acetylene	0.306	0.469	0.509	ацетилен
ache	0.146	0.760	0.312	дард
achieve	0.816	0.545	0.843	ноил гарданд
achieved	0.896	0.519	0.775	ба даст оварда шуд
achievement	0.896	0.808	0.759	дастовард
aching	0.053	0.880	0.348	дарднок
achy	0.167	0.840	0.373	дард
acid	0.265	0.642	0.566	кислота
acidity	0.156	0.663	0.360	кислотаҳо
acknowledge	0.786	0.370	0.661	эътироф кардан
acknowledged	0.714	0.443	0.765	эътироф намуд
acknowledgement	0.819	0.539	0.830	эътироф
acknowledgment	0.796	0.528	0.777	эътироф
acme	0.408	0.435	0.375	акме
acne	0.167	0.474	0.308	акне
acorn	0.448	0.198	0.192	зардолу
acoustic	0.542	0.462	0.536	акустикӣ
acoustics	0.611	0.330	0.509	акустика
acquaint	0.646	0.491	0.639	шинос шудан
acquaintance	0.656	0.290	0.670	шиносоӣ
acquainted	0.906	0.358	0.632	шинос шуд
acquiescence	0.542	0.480	0.554	итоат кардан
acquire	0.833	0.468	0.700	ба даст оранд
acquiring	0.735	0.510	0.817	ба даст овардан
acquisition	0.698	0.509	0.736	ба даст овардан
acquisitions	0.773	0.660	0.790	харид
acquit	0.583	0.571	0.611	сафед кардан
acquittal	0.760	0.497	0.700	сафед кардан
acre	0.583	0.387	0.423	акр
acreage	0.741	0.450	0.528	майдони кишт
acres	0.510	0.363	0.500	гектар
acrobat	0.708	0.828	0.602	акробат
acrylic	0.582	0.279	0.420	акрилӣ
act	0.656	0.704	0.735	амал
acting	0.698	0.643	0.500	амалкунанда
action	0.760	0.898	0.802	амал
action figure	0.615	0.774	0.611	рақами амал
actionable	0.673	0.702	0.613	амалишаванда
activate	0.764	0.650	0.806	фаъол кардан
activation	0.781	0.800	0.754	фаъолсозӣ
active	0.847	0.730	0.731	фаъол
activist	0.531	0.653	0.877	фаъол
activity	0.701	0.660	0.807	фаъолият
actor	0.653	0.561	0.629	актёр
actress	0.633	0.556	0.596	актриса
actual	0.729	0.400	0.716	воқеӣ
actuality	0.750	0.464	0.600	воқеият
actuary	0.510	0.404	0.491	актуарй
acuity	0.469	0.378	0.741	шиддат
acumen	0.564	0.660	0.679	зеҳн
acupuncture	0.531	0.324	0.549	акупунктура
acute	0.427	0.652	0.534	шадид
acutely	0.417	0.543	0.491	шадид
ad	0.521	0.705	0.558	эълон
adage	0.517	0.415	0.566	масал
adamant	0.344	0.529	0.575	катъй
adapt	0.740	0.355	0.551	мутобиқ кардан
adaptable	0.735	0.423	0.641	мутобиқшаванда
adaptation	0.663	0.365	0.609	мутобиқшавӣ
add	0.728	0.490	0.554	илова кунед
added	0.562	0.405	0.509	илова кард
addendum	0.392	0.370	0.418	илова
adder	0.388	0.461	0.588	ҷамъкунанда
addict	0.075	0.696	0.327	нашъаманд
addicted	0.156	0.712	0.483	нашъаманд
addiction	0.180	0.806	0.420	нашъамандӣ
addictive	0.302	0.683	0.472	одаткунанда
addition	0.562	0.373	0.471	илова
additional	0.673	0.462	0.526	иловагӣ
additive	0.561	0.633	0.691	илова
address	0.650	0.327	0.567	суроға
addressee	0.622	0.382	0.538	мухотаб
addresses	0.510	0.354	0.450	суроғаҳо
adept	0.594	0.539	0.789	моҳир
adequacy	0.615	0.435	0.702	кифоя
adequate	0.854	0.264	0.705	кифоя
adhere	0.633	0.339	0.554	риоя кунед
adherence	0.760	0.307	0.630	риоя кардан
adherent	0.561	0.385	0.555	пайрав
adhering	0.612	0.561	0.537	риоя кардан
adhesion	0.521	0.445	0.586	адгезия
adhesive	0.604	0.350	0.413	часпак
adieu	0.250	0.471	0.342	салом
adipose	0.333	0.350	0.391	равган
adjacency	0.365	0.417	0.375	ҳамсоягӣ
adjacent	0.645	0.276	0.536	ҳамсоя
adjective	0.570	0.316	0.569	сифат
adjoining	0.520	0.400	0.393	ҳамсоя
