English Word	Valence	Arousal	Dominance	Yiddish Word
aaaaaaah	0.479	0.606	0.291	אַאַאַאַאַאַה
aaaah	0.520	0.636	0.282	אַאַאַאַה
aardvark	0.427	0.490	0.437	ערדוואַרק
aback	0.385	0.407	0.288	פאַרוואונדערט
abacus	0.510	0.276	0.485	אַבאַקוס
abalone	0.500	0.480	0.412	אַבאַלאָן
abandon	0.052	0.519	0.245	פאַרלאָזן
abandoned	0.046	0.481	0.130	פארלאזט
abandonment	0.128	0.430	0.202	פאַרלאָזן
abashed	0.177	0.644	0.307	פאַרשעמט
abate	0.255	0.696	0.604	פאַרמינערן
abatement	0.388	0.338	0.336	אַבייטמאַנט
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	אַבי
abbot	0.427	0.321	0.483	אבאָט
abbreviate	0.531	0.375	0.330	פאַרקירצן
abbreviation	0.469	0.306	0.345	אַבריווייישאַן
abdomen	0.469	0.462	0.471	בויך
abdominal	0.490	0.456	0.445	אַבדאָמינאַל
abduct	0.173	0.720	0.615	אָפּטראָגן
abduction	0.062	0.990	0.673	אַבדאַקשאַן
aberrant	0.146	0.765	0.431	אָפּפאַל
aberration	0.125	0.816	0.417	אַבעריישאַן
abeyance	0.330	0.510	0.292	אַבייאַנס
abhor	0.125	0.602	0.349	פאַרשעמען
abhorrence	0.167	0.684	0.420	אַכעס
abhorrent	0.229	0.750	0.474	פאַרכאַפּנדיק
abide	0.635	0.354	0.705	בלייבן
abiding	0.796	0.327	0.750	בלייבן
ability	0.875	0.510	0.816	פיייקייט
abject	0.354	0.590	0.417	שלעכט
ablation	0.418	0.500	0.500	אַבלאַטיאָן
ablaze	0.240	0.847	0.525	בלײַבן
able	0.786	0.500	0.810	קענען
abnormal	0.137	0.604	0.309	אַבנאָרמאַל
abnormality	0.092	0.655	0.383	אַבנאָרמאַלאַטי
aboard	0.698	0.284	0.481	אַבאָרד
abode	0.620	0.302	0.500	פארבליבן
abolish	0.448	0.615	0.529	אָפּשאַפן
abolition	0.323	0.690	0.529	אַבאַלישאַן
abominable	0.120	0.731	0.482	אַבאַמאַנאַבאַל
abominate	0.198	0.788	0.366	אַבאַמאַנייט
abomination	0.078	0.755	0.518	אַבאַמאַניישאַן
aboriginal	0.448	0.427	0.542	אַבאָריגינאַל
abort	0.153	0.686	0.429	אַבאָרט
abortion	0.082	0.770	0.283	אַבאָרשאַן
abortive	0.090	0.776	0.280	אַבאָרטיוו
abound	0.704	0.490	0.681	פארמערט
abovementioned	0.541	0.298	0.509	אויבן דערמאנטער
abracadabra	0.673	0.632	0.434	אַבראַקאַדאַבראַ
abrasion	0.406	0.592	0.441	אַברייזשאַן
abrasive	0.392	0.610	0.593	אַברייסיוו
abreast	0.635	0.380	0.519	גלייך
abroad	0.677	0.596	0.561	אויסלאנד
abrogate	0.327	0.510	0.594	אָפּרוען
abrupt	0.271	0.819	0.545	פּלוצעמדיק
abruptly	0.250	0.808	0.556	פּלוצלינג
abscess	0.154	0.451	0.349	אַבסעסס
absence	0.153	0.235	0.266	אַוועק
absent	0.177	0.221	0.116	ניטאָ
absentee	0.235	0.330	0.279	ניטאָ
absenteeism	0.404	0.273	0.357	אַוועקזעצן
absinthe	0.481	0.510	0.462	אַבסינט
absolute	0.526	0.510	0.827	אַבסאָלוט
absolution	0.715	0.500	0.664	אַבסאָלוטיאָן
absolve	0.684	0.449	0.660	אָפּזאָגן
absorb	0.469	0.558	0.670	אַרייַנציען
absorbed	0.490	0.471	0.519	אַבזאָרבד
absorbent	0.552	0.394	0.718	אַבזאָרבאַנט
absorbing	0.490	0.490	0.578	אַבזאָרבינג
absorption	0.609	0.422	0.446	אַבזאָרפּשאַן
abstain	0.385	0.385	0.427	אָפּהאַלטן
abstention	0.271	0.264	0.509	אָפּהאַלטן
abstinence	0.260	0.392	0.429	אַבסטאַנאַנס
abstract	0.438	0.292	0.444	אַבסטראַקט
abstraction	0.469	0.439	0.525	אַבסטראַקציע
absurd	0.188	0.656	0.284	ווילד
absurdity	0.115	0.528	0.227	אַבסורד
abundance	0.812	0.690	0.852	זעט
abundant	0.958	0.590	0.760	שעפעדיק
abuse	0.071	0.873	0.469	זידלען
abused	0.021	0.874	0.235	אַביוזד
abusive	0.125	0.903	0.567	זידלען
abutment	0.500	0.265	0.616	אַבוטמענט
aby	0.385	0.452	0.368	אַבי
abysmal	0.250	0.710	0.598	אַביסמאַל
abyss	0.353	0.725	0.296	תהום
academic	0.781	0.420	0.812	אַקאַדעמיק
academy	0.704	0.473	0.792	אַקאַדעמיע
accede	0.698	0.510	0.537	צוטרעטן
accelerant	0.643	0.844	0.802	אַקסעלעראַנט
accelerate	0.615	0.902	0.759	פאַרגיכערן
accelerated	0.610	0.812	0.682	אַקסעלערייטיד
acceleration	0.704	0.905	0.843	אַקסעלעריישאַן
accelerator	0.593	0.830	0.812	אַקסעלעראַטאָר
accent	0.598	0.357	0.509	אַקצענט
accentuate	0.673	0.556	0.667	אַקצענטירן
accept	0.847	0.286	0.565	אָננעמען
acceptable	0.812	0.286	0.583	פּאַסיק
acceptance	0.833	0.287	0.755	אַקסעפּטאַנס
acceptances	0.847	0.413	0.648	אַקסעפּטאַנסעס
access	0.714	0.472	0.567	צוטריט
accessible	0.796	0.410	0.645	צוטריטלעך
accession	0.612	0.383	0.636	אַקסעשאַן
accessory	0.562	0.292	0.445	אַקסעסערי
accident	0.125	0.908	0.336	צופאַל
accidental	0.319	0.784	0.307	צופאַל
accidentally	0.333	0.741	0.333	צופאַל
acclaim	0.562	0.809	0.718	אַקליימד
accolade	0.688	0.591	0.775	אַקקאָלאַדע
accommodate	0.844	0.375	0.566	צושטעלן
accommodation	0.817	0.415	0.587	אַקאַמאַדיישאַן
accompaniment	0.740	0.479	0.695	אַקאַמפּנימאַנט
accompany	0.833	0.406	0.585	באַגלייטן
accompanying	0.787	0.460	0.582	מיטגיין
accomplice	0.408	0.580	0.510	מיטאַרבעטער
accomplish	0.929	0.673	0.816	ויספירן
accomplished	0.870	0.520	0.798	פארענדיקט
accomplishment	0.917	0.694	0.888	אַקאַמפּלישמאַנט
accord	0.898	0.264	0.382	צוטיילן
accordance	0.659	0.349	0.600	לויט
accordion	0.604	0.490	0.361	אַקאָרדיאַן
account	0.531	0.347	0.472	חשבון
accountability	0.755	0.537	0.833	אַקאַונטאַביליטי
accountable	0.709	0.282	0.777	פאַראַנטוואָרטלעך
accountant	0.625	0.450	0.639	בוכהאַלטער
accounting	0.552	0.390	0.677	אַקאַונטינג
accounts	0.592	0.340	0.471	אַקאַונץ
accredited	0.669	0.479	0.768	אַקרעדיטיד
accretion	0.448	0.519	0.672	אַקרעשאַן
accrue	0.520	0.481	0.602	צוקומען
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	אָנקלייַבן
accumulation	0.479	0.527	0.600	אַקיומיאַליישאַן
accuracy	0.604	0.481	0.802	אַקיעראַסי
accurate	0.743	0.360	0.737	פּינטלעך
accursed	0.135	0.745	0.345	פארשאלטן
accusation	0.073	0.718	0.564	באַשולדיקונג
accusative	0.198	0.755	0.482	אַקיוזאַטיוו
accuse	0.133	0.752	0.500	באַשולדיקן
accused	0.130	0.670	0.420	אָנגעקלאָגט
accuser	0.122	0.779	0.615	באַשולדיקן
accusing	0.156	0.745	0.324	באַשולדיקן
accustomed	0.542	0.365	0.441	צוגעוווינט
ace	0.643	0.481	0.546	מויז
acetic	0.333	0.420	0.519	אַסעטיק
acetylene	0.306	0.469	0.509	אַסעטילענע
ache	0.146	0.760	0.312	וויי
achieve	0.816	0.545	0.843	דערגרייכן
achieved	0.896	0.519	0.775	דערגרייכט
achievement	0.896	0.808	0.759	דערגרייה
aching	0.053	0.880	0.348	וויי טאָן
achy	0.167	0.840	0.373	achy
acid	0.265	0.642	0.566	זויער
acidity	0.156	0.663	0.360	אַסידאַטי
acknowledge	0.786	0.370	0.661	באַשטעטיקן
acknowledged	0.714	0.443	0.765	אנערקענט
acknowledgement	0.819	0.539	0.830	דערקענטעניש
acknowledgment	0.796	0.528	0.777	דערקענטעניש
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	אַקני
acorn	0.448	0.198	0.192	דעמבניסל
acoustic	0.542	0.462	0.536	אַקוסטיש
acoustics	0.611	0.330	0.509	אַקוסטיקס
acquaint	0.646	0.491	0.639	באַקענען
acquaintance	0.656	0.290	0.670	באַקאַנטער
acquainted	0.906	0.358	0.632	באַקאַנט
acquiescence	0.542	0.480	0.554	אַקווייסאַנס
acquire	0.833	0.468	0.700	קריגן
acquiring	0.735	0.510	0.817	אַקוויירינג
acquisition	0.698	0.509	0.736	אַקוואַזישאַן
acquisitions	0.773	0.660	0.790	אַקוואַזישאַנז
acquit	0.583	0.571	0.611	פריי
acquittal	0.760	0.497	0.700	פרייטאג
acre	0.583	0.387	0.423	אַקער
acreage	0.741	0.450	0.528	שטח
acres	0.510	0.363	0.500	ייקערז
acrobat	0.708	0.828	0.602	אַקראָבאַט
acrylic	0.582	0.279	0.420	אַקריליק
act	0.656	0.704	0.735	אַקט
acting	0.698	0.643	0.500	אַקטינג
action	0.760	0.898	0.802	קאַמף
action figure	0.615	0.774	0.611	קאַמף פיגור
actionable	0.673	0.702	0.613	אַקטיאָנאַבלע
activate	0.764	0.650	0.806	אַקטאַווייט
activation	0.781	0.800	0.754	אַקטאַוויישאַן
active	0.847	0.730	0.731	אַקטיוו
activist	0.531	0.653	0.877	אַקטיוויסט
activity	0.701	0.660	0.807	טעטיקייט
actor	0.653	0.561	0.629	אַקטיאָר
actress	0.633	0.556	0.596	אַקטריסע
actual	0.729	0.400	0.716	פאַקטיש
actuality	0.750	0.464	0.600	פאַקט
actuary	0.510	0.404	0.491	אַקטואַרי
acuity	0.469	0.378	0.741	אַקיואַטי
acumen	0.564	0.660	0.679	אַקיומאַן
