English Word	Valence	Arousal	Dominance	Malagasy Word
aaaaaaah	0.479	0.606	0.291	aaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	gaga
abacus	0.510	0.276	0.485	abakosy
abalone	0.500	0.480	0.412	abalone
abandon	0.052	0.519	0.245	hanary
abandoned	0.046	0.481	0.130	nandao
abandonment	0.128	0.430	0.202	fandaozana
abashed	0.177	0.644	0.307	hangaihay
abate	0.255	0.696	0.604	hampitony
abatement	0.388	0.338	0.336	fiafarana
abba	0.562	0.500	0.480	Aba
abbey	0.580	0.367	0.444	abbey
abbot	0.427	0.321	0.483	abbot
abbreviate	0.531	0.375	0.330	fanafohezana
abbreviation	0.469	0.306	0.345	fanafohezana
abdomen	0.469	0.462	0.471	kibony
abdominal	0.490	0.456	0.445	kibo
abduct	0.173	0.720	0.615	fakana an-keriny
abduction	0.062	0.990	0.673	fakàna an-keriny
aberrant	0.146	0.765	0.431	mivadika
aberration	0.125	0.816	0.417	fiovaovana
abeyance	0.330	0.510	0.292	abeyance
abhor	0.125	0.602	0.349	mankahalà
abhorrence	0.167	0.684	0.420	rikoriko
abhorrent	0.229	0.750	0.474	maharikoriko
abide	0.635	0.354	0.705	Mitoera
abiding	0.796	0.327	0.750	mitoetra
ability	0.875	0.510	0.816	fahaizana
abject	0.354	0.590	0.417	faraidiny
ablation	0.418	0.500	0.500	ablation
ablaze	0.240	0.847	0.525	nirehetan'ny
able	0.786	0.500	0.810	afaka
abnormal	0.137	0.604	0.309	ara-dalàna
abnormality	0.092	0.655	0.383	ara-dalàna,
aboard	0.698	0.284	0.481	sambo
abode	0.620	0.302	0.500	nitoetra
abolish	0.448	0.615	0.529	hanafoana
abolition	0.323	0.690	0.529	fanafoanana
abominable	0.120	0.731	0.482	fahavetavetana
abominate	0.198	0.788	0.366	zava-betaveta
abomination	0.078	0.755	0.518	fahavetavetana
aboriginal	0.448	0.427	0.542	teratany
abort	0.153	0.686	0.429	manala zaza
abortion	0.082	0.770	0.283	fanalan-jaza
abortive	0.090	0.776	0.280	fanalana zaza
abound	0.704	0.490	0.681	nampitombo
abovementioned	0.541	0.298	0.509	voalaza etsy ambony
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	abrasion
abrasive	0.392	0.610	0.593	Marokoroko
abreast	0.635	0.380	0.519	manaraka
abroad	0.677	0.596	0.561	any ivelany
abrogate	0.327	0.510	0.594	manafoana
abrupt	0.271	0.819	0.545	tampoka
abruptly	0.250	0.808	0.556	tampoka
abscess	0.154	0.451	0.349	abscess
