English Word	Valence	Arousal	Dominance	Cebuano Word
aaaaaaah	0.479	0.606	0.291	aaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	katingala
abacus	0.510	0.276	0.485	abako
abalone	0.500	0.480	0.412	abalone
abandon	0.052	0.519	0.245	biyaan
abandoned	0.046	0.481	0.130	gibiyaan
abandonment	0.128	0.430	0.202	pagbiya
abashed	0.177	0.644	0.307	gipakaulawan
abate	0.255	0.696	0.604	mihinay
abatement	0.388	0.338	0.336	pagminus
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	abbey
abbot	0.427	0.321	0.483	abbot
abbreviate	0.531	0.375	0.330	minubo
abbreviation	0.469	0.306	0.345	abbreviation
abdomen	0.469	0.462	0.471	tiyan
abdominal	0.490	0.456	0.445	tiyan
abduct	0.173	0.720	0.615	pagdagit
abduction	0.062	0.990	0.673	pagdagit
aberrant	0.146	0.765	0.431	nagtipas
aberration	0.125	0.816	0.417	aberasyon
abeyance	0.330	0.510	0.292	pagpaubos
abhor	0.125	0.602	0.349	pagdumot
abhorrence	0.167	0.684	0.420	pagdumot
abhorrent	0.229	0.750	0.474	salawayon
abide	0.635	0.354	0.705	magpabilin
abiding	0.796	0.327	0.750	pagpabilin
ability	0.875	0.510	0.816	abilidad
abject	0.354	0.590	0.417	talamayon
ablation	0.418	0.500	0.500	ablation
ablaze	0.240	0.847	0.525	nagdilaab
able	0.786	0.500	0.810	makahimo
abnormal	0.137	0.604	0.309	abnormal
abnormality	0.092	0.655	0.383	abnormalidad
aboard	0.698	0.284	0.481	sakay
abode	0.620	0.302	0.500	pinuy-anan
abolish	0.448	0.615	0.529	wagtangon
abolition	0.323	0.690	0.529	pagwagtang
abominable	0.120	0.731	0.482	salawayon
abominate	0.198	0.788	0.366	dulumtanan
abomination	0.078	0.755	0.518	dulumtanan
aboriginal	0.448	0.427	0.542	aboriginal
abort	0.153	0.686	0.429	abort
abortion	0.082	0.770	0.283	aborsyon
abortive	0.090	0.776	0.280	abortive
abound	0.704	0.490	0.681	abunda
abovementioned	0.541	0.298	0.509	gihisgutan sa ibabaw
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	abrasion
abrasive	0.392	0.610	0.593	abrasive
abreast	0.635	0.380	0.519	dungan
abroad	0.677	0.596	0.561	sa gawas sa nasud
abrogate	0.327	0.510	0.594	wagtangon
abrupt	0.271	0.819	0.545	kalit
abruptly	0.250	0.808	0.556	kalit
abscess	0.154	0.451	0.349	abscess
absence	0.153	0.235	0.266	pagkawala
absent	0.177	0.221	0.116	wala diha
