English Word	Valence	Arousal	Dominance	Japanese Word
aaaaaaah	0.479	0.606	0.291	ああああああ
aaaah	0.520	0.636	0.282	ああああ
aardvark	0.427	0.490	0.437	ツチブタ
aback	0.385	0.407	0.288	びっくり
abacus	0.510	0.276	0.485	そろばん
abalone	0.500	0.480	0.412	アワビ
abandon	0.052	0.519	0.245	放棄する
abandoned	0.046	0.481	0.130	放棄された
abandonment	0.128	0.430	0.202	放棄
abashed	0.177	0.644	0.307	恥ずべき
abate	0.255	0.696	0.604	和らぐ
abatement	0.388	0.338	0.336	軽減
abba	0.562	0.500	0.480	アバ
abbey	0.580	0.367	0.444	修道院
abbot	0.427	0.321	0.483	修道院長
abbreviate	0.531	0.375	0.330	略す
abbreviation	0.469	0.306	0.345	略語
abdomen	0.469	0.462	0.471	腹部
abdominal	0.490	0.456	0.445	腹部
abduct	0.173	0.720	0.615	拉致
abduction	0.062	0.990	0.673	拉致
aberrant	0.146	0.765	0.431	異常な
aberration	0.125	0.816	0.417	収差
abeyance	0.330	0.510	0.292	停止
abhor	0.125	0.602	0.349	嫌う
abhorrence	0.167	0.684	0.420	嫌悪
abhorrent	0.229	0.750	0.474	忌まわしい
abide	0.635	0.354	0.705	従う
abiding	0.796	0.327	0.750	従う
ability	0.875	0.510	0.816	能力
abject	0.354	0.590	0.417	卑劣な
ablation	0.418	0.500	0.500	アブレーション
ablaze	0.240	0.847	0.525	燃える
able	0.786	0.500	0.810	できる
abnormal	0.137	0.604	0.309	異常な
abnormality	0.092	0.655	0.383	異常
aboard	0.698	0.284	0.481	乗って
abode	0.620	0.302	0.500	住居
abolish	0.448	0.615	0.529	廃止する
abolition	0.323	0.690	0.529	廃止
abominable	0.120	0.731	0.482	忌まわしい
abominate	0.198	0.788	0.366	忌まわしい
abomination	0.078	0.755	0.518	憎悪
aboriginal	0.448	0.427	0.542	アボリジニの
abort	0.153	0.686	0.429	アボート
abortion	0.082	0.770	0.283	中絶
abortive	0.090	0.776	0.280	流産
abound	0.704	0.490	0.681	たくさん
abovementioned	0.541	0.298	0.509	前述した
abracadabra	0.673	0.632	0.434	アブラカダブラ
abrasion	0.406	0.592	0.441	摩耗
abrasive	0.392	0.610	0.593	研磨材
abreast	0.635	0.380	0.519	並んで
abroad	0.677	0.596	0.561	外国
abrogate	0.327	0.510	0.594	廃止する
abrupt	0.271	0.819	0.545	突然
abruptly	0.250	0.808	0.556	突然
abscess	0.154	0.451	0.349	膿瘍
absence	0.153	0.235	0.266	不在
absent	0.177	0.221	0.116	不在
absentee	0.235	0.330	0.279	不在者
absenteeism	0.404	0.273	0.357	欠席主義
absinthe	0.481	0.510	0.462	アブサン
absolute	0.526	0.510	0.827	絶対の
absolution	0.715	0.500	0.664	赦免
absolve	0.684	0.449	0.660	免除する
absorb	0.469	0.558	0.670	吸収する
absorbed	0.490	0.471	0.519	吸収された
absorbent	0.552	0.394	0.718	吸収性
absorbing	0.490	0.490	0.578	吸収する
absorption	0.609	0.422	0.446	吸収
abstain	0.385	0.385	0.427	控える
abstention	0.271	0.264	0.509	棄権
abstinence	0.260	0.392	0.429	禁欲
abstract	0.438	0.292	0.444	概要
abstraction	0.469	0.439	0.525	抽象化
absurd	0.188	0.656	0.284	ばかげた
absurdity	0.115	0.528	0.227	不条理
abundance	0.812	0.690	0.852	豊富
abundant	0.958	0.590	0.760	豊富
abuse	0.071	0.873	0.469	乱用
abused	0.021	0.874	0.235	虐待された
abusive	0.125	0.903	0.567	虐待的な
abutment	0.500	0.265	0.616	アバットメント
aby	0.385	0.452	0.368	アビー
abysmal	0.250	0.710	0.598	ひどい
abyss	0.353	0.725	0.296	深淵
academic	0.781	0.420	0.812	アカデミック
academy	0.704	0.473	0.792	学校
accede	0.698	0.510	0.537	同意する
accelerant	0.643	0.844	0.802	促進剤
accelerate	0.615	0.902	0.759	加速する
accelerated	0.610	0.812	0.682	加速
acceleration	0.704	0.905	0.843	加速度
accelerator	0.593	0.830	0.812	アクセル
accent	0.598	0.357	0.509	アクセント
accentuate	0.673	0.556	0.667	強調する
accept	0.847	0.286	0.565	受け入れる
acceptable	0.812	0.286	0.583	許容できる
acceptance	0.833	0.287	0.755	受け入れ
acceptances	0.847	0.413	0.648	受け入れ
access	0.714	0.472	0.567	アクセス
accessible	0.796	0.410	0.645	アクセシブル
accession	0.612	0.383	0.636	加盟
accessory	0.562	0.292	0.445	アクセサリー
accident	0.125	0.908	0.336	事件
accidental	0.319	0.784	0.307	偶発的な
accidentally	0.333	0.741	0.333	うっかり
acclaim	0.562	0.809	0.718	称賛
accolade	0.688	0.591	0.775	称賛
accommodate	0.844	0.375	0.566	収容
accommodation	0.817	0.415	0.587	宿泊施設
accompaniment	0.740	0.479	0.695	伴奏
accompany	0.833	0.406	0.585	同行
accompanying	0.787	0.460	0.582	付随の
accomplice	0.408	0.580	0.510	共犯者
accomplish	0.929	0.673	0.816	達成
accomplished	0.870	0.520	0.798	達成した
accomplishment	0.917	0.694	0.888	達成
accord	0.898	0.264	0.382	アコード
accordance	0.659	0.349	0.600	一致
