English Word	Valence	Arousal	Dominance	Haitian-Creole Word
aaaaaaah	0.479	0.606	0.291	aaaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	sezi
abacus	0.510	0.276	0.485	abacus
abalone	0.500	0.480	0.412	abalone
abandon	0.052	0.519	0.245	abandone
abandoned	0.046	0.481	0.130	abandone
abandonment	0.128	0.430	0.202	abandon
abashed	0.177	0.644	0.307	wont
abate	0.255	0.696	0.604	bese
abatement	0.388	0.338	0.336	rediksyon
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	abbey
abbot	0.427	0.321	0.483	aba
abbreviate	0.531	0.375	0.330	abreje
abbreviation	0.469	0.306	0.345	abreviyasyon
abdomen	0.469	0.462	0.471	vant
abdominal	0.490	0.456	0.445	nan vant
abduct	0.173	0.720	0.615	kidnape
abduction	0.062	0.990	0.673	anlèvman
aberrant	0.146	0.765	0.431	aberan
aberration	0.125	0.816	0.417	aberasyon
abeyance	0.330	0.510	0.292	rete
abhor	0.125	0.602	0.349	degoute
abhorrence	0.167	0.684	0.420	degoutans
abhorrent	0.229	0.750	0.474	degoutan
abide	0.635	0.354	0.705	rete
abiding	0.796	0.327	0.750	rete
ability	0.875	0.510	0.816	kapasite
abject	0.354	0.590	0.417	abject
ablation	0.418	0.500	0.500	ablation
ablaze	0.240	0.847	0.525	limen
able	0.786	0.500	0.810	kapab
abnormal	0.137	0.604	0.309	nòmal
abnormality	0.092	0.655	0.383	anòmal
aboard	0.698	0.284	0.481	abò
abode	0.620	0.302	0.500	abite
abolish	0.448	0.615	0.529	aboli
abolition	0.323	0.690	0.529	abolisyon
abominable	0.120	0.731	0.482	abominab
abominate	0.198	0.788	0.366	abomine
abomination	0.078	0.755	0.518	abominasyon
aboriginal	0.448	0.427	0.542	aborijèn
abort	0.153	0.686	0.429	avòte
abortion	0.082	0.770	0.283	avòtman
abortive	0.090	0.776	0.280	abortif
abound	0.704	0.490	0.681	gen anpil
abovementioned	0.541	0.298	0.509	mansyone anwo a
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	fwotman
abrasive	0.392	0.610	0.593	abrazif
abreast	0.635	0.380	0.519	okouran
abroad	0.677	0.596	0.561	aletranje
abrogate	0.327	0.510	0.594	abroge
abrupt	0.271	0.819	0.545	brid sou kou
abruptly	0.250	0.808	0.556	sibitman
abscess	0.154	0.451	0.349	absè
absence	0.153	0.235	0.266	absans
absent	0.177	0.221	0.116	absan
absentee	0.235	0.330	0.279	absan
absenteeism	0.404	0.273	0.357	absans
absinthe	0.481	0.510	0.462	absent
absolute	0.526	0.510	0.827	absoli
absolution	0.715	0.500	0.664	absolisyon
absolve	0.684	0.449	0.660	absoud
absorb	0.469	0.558	0.670	absòbe
absorbed	0.490	0.471	0.519	absòbe
absorbent	0.552	0.394	0.718	absòbe
absorbing	0.490	0.490	0.578	absòbe
absorption	0.609	0.422	0.446	absòpsyon
abstain	0.385	0.385	0.427	abstrenn
abstention	0.271	0.264	0.509	abstansyon
abstinence	0.260	0.392	0.429	abstinans
abstract	0.438	0.292	0.444	abstrè
abstraction	0.469	0.439	0.525	abstraksyon
absurd	0.188	0.656	0.284	absid
absurdity	0.115	0.528	0.227	absurdite
abundance	0.812	0.690	0.852	abondans
abundant	0.958	0.590	0.760	abondan
abuse	0.071	0.873	0.469	abi
abused	0.021	0.874	0.235	abize
abusive	0.125	0.903	0.567	abizif
abutment	0.500	0.265	0.616	abutman
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	abismal
abyss	0.353	0.725	0.296	gwo twou san fon
academic	0.781	0.420	0.812	akademik
academy	0.704	0.473	0.792	akademi
accede	0.698	0.510	0.537	aksede
accelerant	0.643	0.844	0.802	akseleratè
accelerate	0.615	0.902	0.759	akselere
accelerated	0.610	0.812	0.682	akselere
acceleration	0.704	0.905	0.843	akselerasyon
accelerator	0.593	0.830	0.812	akseleratè
accent	0.598	0.357	0.509	aksan
accentuate	0.673	0.556	0.667	aksantye
accept	0.847	0.286	0.565	aksepte
acceptable	0.812	0.286	0.583	akseptab
acceptance	0.833	0.287	0.755	akseptasyon
acceptances	0.847	0.413	0.648	akseptasyon
access	0.714	0.472	0.567	aksè
accessible	0.796	0.410	0.645	aksesib
accession	0.612	0.383	0.636	asansyon
accessory	0.562	0.292	0.445	akseswar
accident	0.125	0.908	0.336	aksidan
accidental	0.319	0.784	0.307	aksidan
accidentally	0.333	0.741	0.333	aksidantèlman
acclaim	0.562	0.809	0.718	aklamasyon
accolade	0.688	0.591	0.775	felisitasyon
accommodate	0.844	0.375	0.566	akomode
accommodation	0.817	0.415	0.587	aranjman
accompaniment	0.740	0.479	0.695	akonpayman
accompany	0.833	0.406	0.585	akonpanye
accompanying	0.787	0.460	0.582	akonpaye
accomplice	0.408	0.580	0.510	konplis
accomplish	0.929	0.673	0.816	akonpli
accomplished	0.870	0.520	0.798	akonpli
accomplishment	0.917	0.694	0.888	akonplisman
accord	0.898	0.264	0.382	akò
accordance	0.659	0.349	0.600	akò
accordion	0.604	0.490	0.361	akòdeyon
account	0.531	0.347	0.472	kont
accountability	0.755	0.537	0.833	responsabilite
accountable	0.709	0.282	0.777	responsab
accountant	0.625	0.450	0.639	kontab
accounting	0.552	0.390	0.677	kontablite
accounts	0.592	0.340	0.471	kont
accredited	0.669	0.479	0.768	akredite
accretion	0.448	0.519	0.672	akresyon
accrue	0.520	0.481	0.602	akimile
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	akimile
accumulation	0.479	0.527	0.600	akimilasyon
accuracy	0.604	0.481	0.802	presizyon
accurate	0.743	0.360	0.737	egzat
accursed	0.135	0.745	0.345	madichon
accusation	0.073	0.718	0.564	akizasyon
accusative	0.198	0.755	0.482	akuzatif
accuse	0.133	0.752	0.500	akize
accused	0.130	0.670	0.420	akize
accuser	0.122	0.779	0.615	akize
accusing	0.156	0.745	0.324	akize
accustomed	0.542	0.365	0.441	abitye
ace	0.643	0.481	0.546	ace
acetic	0.333	0.420	0.519	acetic
acetylene	0.306	0.469	0.509	asetilèn
ache	0.146	0.760	0.312	fè mal
achieve	0.816	0.545	0.843	reyalize
achieved	0.896	0.519	0.775	reyalize
achievement	0.896	0.808	0.759	reyalizasyon
aching	0.053	0.880	0.348	fè mal
achy	0.167	0.840	0.373	achy
acid	0.265	0.642	0.566	asid
acidity	0.156	0.663	0.360	asidite
acknowledge	0.786	0.370	0.661	rekonèt
acknowledged	0.714	0.443	0.765	rekonèt
acknowledgement	0.819	0.539	0.830	rekonesans
acknowledgment	0.796	0.528	0.777	rekonesans
acme	0.408	0.435	0.375	akme
acne	0.167	0.474	0.308	akne
acorn	0.448	0.198	0.192	glan
