English Word	Valence	Arousal	Dominance	Filipino Word
aaaaaaah	0.479	0.606	0.291	aaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	nabigla
abacus	0.510	0.276	0.485	abako
abalone	0.500	0.480	0.412	abalone
abandon	0.052	0.519	0.245	iwanan
abandoned	0.046	0.481	0.130	inabandona
abandonment	0.128	0.430	0.202	pag-abandona
abashed	0.177	0.644	0.307	nahihiya
abate	0.255	0.696	0.604	humina
abatement	0.388	0.338	0.336	pagbabawas
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	abbey
abbot	0.427	0.321	0.483	abbot
abbreviate	0.531	0.375	0.330	paikliin
abbreviation	0.469	0.306	0.345	pagdadaglat
abdomen	0.469	0.462	0.471	tiyan
abdominal	0.490	0.456	0.445	tiyan
abduct	0.173	0.720	0.615	pagdukot
abduction	0.062	0.990	0.673	pagdukot
aberrant	0.146	0.765	0.431	naliligaw
aberration	0.125	0.816	0.417	pagkaligaw
abeyance	0.330	0.510	0.292	abeyance
abhor	0.125	0.602	0.349	kasuklam-suklam
abhorrence	0.167	0.684	0.420	pagkasuklam
abhorrent	0.229	0.750	0.474	kasuklam-suklam
abide	0.635	0.354	0.705	manatili
abiding	0.796	0.327	0.750	nananatili
ability	0.875	0.510	0.816	kakayahan
abject	0.354	0.590	0.417	kasuklam-suklam
ablation	0.418	0.500	0.500	ablation
ablaze	0.240	0.847	0.525	nagliliyab
able	0.786	0.500	0.810	kaya
abnormal	0.137	0.604	0.309	abnormal
abnormality	0.092	0.655	0.383	abnormality
aboard	0.698	0.284	0.481	sakay
abode	0.620	0.302	0.500	tirahan
abolish	0.448	0.615	0.529	buwagin
abolition	0.323	0.690	0.529	abolisyon
abominable	0.120	0.731	0.482	kasuklam-suklam
abominate	0.198	0.788	0.366	kasuklam-suklam
abomination	0.078	0.755	0.518	kasuklamsuklam
aboriginal	0.448	0.427	0.542	aboriginal
abort	0.153	0.686	0.429	ipalaglag
abortion	0.082	0.770	0.283	pagpapalaglag
abortive	0.090	0.776	0.280	nagpapalaglag
abound	0.704	0.490	0.681	sagana
abovementioned	0.541	0.298	0.509	sa mga nasabi
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	hadhad
abrasive	0.392	0.610	0.593	nakasasakit
abreast	0.635	0.380	0.519	magkatabi
abroad	0.677	0.596	0.561	sa ibang bansa
abrogate	0.327	0.510	0.594	pawalang-bisa
abrupt	0.271	0.819	0.545	biglaan
abruptly	0.250	0.808	0.556	biglang
abscess	0.154	0.451	0.349	abscess
