English Word	Valence	Arousal	Dominance	Uzbek Word
aaaaaaah	0.479	0.606	0.291	aaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	hayratda
abacus	0.510	0.276	0.485	abak
abalone	0.500	0.480	0.412	abalone
abandon	0.052	0.519	0.245	tashlab ketish
abandoned	0.046	0.481	0.130	tashlab ketilgan
abandonment	0.128	0.430	0.202	tark etish
abashed	0.177	0.644	0.307	xijolat tortdi
abate	0.255	0.696	0.604	pasaymoq
abatement	0.388	0.338	0.336	kamaytirish
abba	0.562	0.500	0.480	obo
abbey	0.580	0.367	0.444	abbey
abbot	0.427	0.321	0.483	abbat
abbreviate	0.531	0.375	0.330	qisqartirish
abbreviation	0.469	0.306	0.345	qisqartma
abdomen	0.469	0.462	0.471	qorin
abdominal	0.490	0.456	0.445	qorin bo'shlig'i
abduct	0.173	0.720	0.615	o'g'irlash
abduction	0.062	0.990	0.673	o'g'irlab ketish
aberrant	0.146	0.765	0.431	anormal
aberration	0.125	0.816	0.417	aberatsiya
abeyance	0.330	0.510	0.292	bekorchilik
abhor	0.125	0.602	0.349	nafrat
abhorrence	0.167	0.684	0.420	nafrat
abhorrent	0.229	0.750	0.474	jirkanch
abide	0.635	0.354	0.705	turish
abiding	0.796	0.327	0.750	bardoshli
ability	0.875	0.510	0.816	qobiliyat
abject	0.354	0.590	0.417	xor
ablation	0.418	0.500	0.500	ablasyon
ablaze	0.240	0.847	0.525	yonadi
able	0.786	0.500	0.810	qodir
abnormal	0.137	0.604	0.309	g'ayritabiiy
abnormality	0.092	0.655	0.383	anormallik
aboard	0.698	0.284	0.481	bortida
abode	0.620	0.302	0.500	turar joy
abolish	0.448	0.615	0.529	bekor qilish
abolition	0.323	0.690	0.529	bekor qilish
abominable	0.120	0.731	0.482	jirkanch
abominate	0.198	0.788	0.366	jirkanch
abomination	0.078	0.755	0.518	jirkanchlik
aboriginal	0.448	0.427	0.542	aborigen
abort	0.153	0.686	0.429	bekor qilish
abortion	0.082	0.770	0.283	abort
abortive	0.090	0.776	0.280	muvaffaqiyatsiz
abound	0.704	0.490	0.681	ko'p
abovementioned	0.541	0.298	0.509	yuqorida qayd etilgan
abracadabra	0.673	0.632	0.434	abrakadabra
abrasion	0.406	0.592	0.441	ishqalanish
abrasive	0.392	0.610	0.593	abraziv
abreast	0.635	0.380	0.519	ergash
abroad	0.677	0.596	0.561	chet elda
abrogate	0.327	0.510	0.594	bekor qilish
abrupt	0.271	0.819	0.545	keskin
abruptly	0.250	0.808	0.556	to'satdan
abscess	0.154	0.451	0.349	xo'ppoz
