English Word	Valence	Arousal	Dominance	Kannada Word
aaaaaaah	0.479	0.606	0.291	aaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	ಆರ್ಡ್ವರ್ಕ್
aback	0.385	0.407	0.288	ಬೆಚ್ಚಿಬಿದ್ದ
abacus	0.510	0.276	0.485	ಅಬ್ಯಾಕಸ್
abalone	0.500	0.480	0.412	ಏಲಕ್ಕಿ
abandon	0.052	0.519	0.245	ತ್ಯಜಿಸು
abandoned	0.046	0.481	0.130	ಕೈಬಿಡಲಾಯಿತು
abandonment	0.128	0.430	0.202	ತ್ಯಜಿಸುವಿಕೆ
abashed	0.177	0.644	0.307	ನಾಚಿಕೆಪಟ್ಟರು
abate	0.255	0.696	0.604	ತಗ್ಗಿಸು
abatement	0.388	0.338	0.336	ತಗ್ಗಿಸುವಿಕೆ
abba	0.562	0.500	0.480	ಅಬ್ಬಾ
abbey	0.580	0.367	0.444	ಅಬ್ಬೆ
abbot	0.427	0.321	0.483	ಮಠಾಧೀಶರು
abbreviate	0.531	0.375	0.330	ಸಂಕ್ಷೇಪಿಸಿ
abbreviation	0.469	0.306	0.345	ಸಂಕ್ಷೇಪಣ
abdomen	0.469	0.462	0.471	ಹೊಟ್ಟೆ
abdominal	0.490	0.456	0.445	ಕಿಬ್ಬೊಟ್ಟೆಯ
abduct	0.173	0.720	0.615	ಅಪಹರಣ
abduction	0.062	0.990	0.673	ಅಪಹರಣ
aberrant	0.146	0.765	0.431	ಅಸಹಜ
aberration	0.125	0.816	0.417	ವಿಪಥನ
abeyance	0.330	0.510	0.292	ನಿಶ್ಚಲತೆ
abhor	0.125	0.602	0.349	ಅಸಹ್ಯಕರ
abhorrence	0.167	0.684	0.420	ಅಸಹ್ಯ
abhorrent	0.229	0.750	0.474	ಅಸಹ್ಯಕರ
abide	0.635	0.354	0.705	ಬದ್ಧವಾಗಿರಲು
abiding	0.796	0.327	0.750	ಬದ್ಧವಾಗಿದೆ
ability	0.875	0.510	0.816	ಸಾಮರ್ಥ್ಯ
abject	0.354	0.590	0.417	ನಿಕೃಷ್ಟ
ablation	0.418	0.500	0.500	ಕ್ಷಯಿಸುವಿಕೆ
ablaze	0.240	0.847	0.525	ಉರಿಯುತ್ತವೆ
able	0.786	0.500	0.810	ಸಾಧ್ಯವಾಗುತ್ತದೆ
abnormal	0.137	0.604	0.309	ಅಸಹಜ
abnormality	0.092	0.655	0.383	ಅಸಹಜತೆ
aboard	0.698	0.284	0.481	ವಿಮಾನದಲ್ಲಿ
abode	0.620	0.302	0.500	ನಿವಾಸ
