English Word	Valence	Arousal	Dominance	Bengali Word
aaaaaaah	0.479	0.606	0.291	আআআআআহ
aaaah	0.520	0.636	0.282	আআআআহ
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	বিস্মিত
abacus	0.510	0.276	0.485	অ্যাবাকাস
abalone	0.500	0.480	0.412	abalone
abandon	0.052	0.519	0.245	পরিত্যাগ করা
abandoned	0.046	0.481	0.130	পরিত্যক্ত
abandonment	0.128	0.430	0.202	পরিত্যাগ
abashed	0.177	0.644	0.307	লাঞ্ছিত
abate	0.255	0.696	0.604	হ্রাস করা
abatement	0.388	0.338	0.336	হ্রাস
abba	0.562	0.500	0.480	আব্বা
abbey	0.580	0.367	0.444	অ্যাবে
abbot	0.427	0.321	0.483	মঠ
abbreviate	0.531	0.375	0.330	সংক্ষিপ্ত করা
abbreviation	0.469	0.306	0.345	সংক্ষেপণ
abdomen	0.469	0.462	0.471	পেট
abdominal	0.490	0.456	0.445	পেট
abduct	0.173	0.720	0.615	অপহরণ
abduction	0.062	0.990	0.673	অপহরণ
aberrant	0.146	0.765	0.431	বিভ্রান্ত
aberration	0.125	0.816	0.417	বিকৃতি
abeyance	0.330	0.510	0.292	স্থগিত
abhor	0.125	0.602	0.349	ঘৃণা
abhorrence	0.167	0.684	0.420	ঘৃণা
abhorrent	0.229	0.750	0.474	ঘৃণ্য
abide	0.635	0.354	0.705	মেনে চলা
abiding	0.796	0.327	0.750	স্থায়ী
ability	0.875	0.510	0.816	ক্ষমতা
abject	0.354	0.590	0.417	অবজেক্ট
ablation	0.418	0.500	0.500	বিমোচন
ablaze	0.240	0.847	0.525	জ্বলন্ত
able	0.786	0.500	0.810	সক্ষম
abnormal	0.137	0.604	0.309	অস্বাভাবিক
abnormality	0.092	0.655	0.383	অস্বাভাবিকতা
aboard	0.698	0.284	0.481	BIDESH
abode	0.620	0.302	0.500	বাসস্থান
abolish	0.448	0.615	0.529	বাতিল করা
abolition	0.323	0.690	0.529	বিলুপ্তি
abominable	0.120	0.731	0.482	জঘন্য
abominate	0.198	0.788	0.366	ঘৃণ্য
abomination	0.078	0.755	0.518	ঘৃণ্য
aboriginal	0.448	0.427	0.542	আদিবাসী
abort	0.153	0.686	0.429	গর্ভপাত
abortion	0.082	0.770	0.283	গর্ভপাত
abortive	0.090	0.776	0.280	নিষ্ক্রিয়
abound	0.704	0.490	0.681	প্রচুর
abovementioned	0.541	0.298	0.509	উপর্যুক্ত
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	ঘর্ষণ
abrasive	0.392	0.610	0.593	ঘষিয়া তুলিয়া ফেলিতে সক্ষম
abreast	0.635	0.380	0.519	সমানে
abroad	0.677	0.596	0.561	বিদেশে
abrogate	0.327	0.510	0.594	বাতিল করা
abrupt	0.271	0.819	0.545	আকস্মিক
abruptly	0.250	0.808	0.556	হঠাৎ
abscess	0.154	0.451	0.349	ফোড়া
absence	0.153	0.235	0.266	অনুপস্থিতি
absent	0.177	0.221	0.116	অনুপস্থিত
absentee	0.235	0.330	0.279	অনুপস্থিত
absenteeism	0.404	0.273	0.357	অনুপস্থিতি
absinthe	0.481	0.510	0.462	অ্যাবসিন্থে
absolute	0.526	0.510	0.827	পরম
absolution	0.715	0.500	0.664	মুক্তি
absolve	0.684	0.449	0.660	নিষ্কাশন
absorb	0.469	0.558	0.670	শোষণ করা
absorbed	0.490	0.471	0.519	শোষিত
absorbent	0.552	0.394	0.718	শোষক
absorbing	0.490	0.490	0.578	শোষণকারী
absorption	0.609	0.422	0.446	শোষণ
abstain	0.385	0.385	0.427	বিরত থাকা
abstention	0.271	0.264	0.509	বিরত থাকা
abstinence	0.260	0.392	0.429	বিরত থাকা
abstract	0.438	0.292	0.444	বিমূর্ত
abstraction	0.469	0.439	0.525	বিমূর্ততা
absurd	0.188	0.656	0.284	অযৌক্তিক
absurdity	0.115	0.528	0.227	অযৌক্তিকতা
abundance	0.812	0.690	0.852	প্রাচুর্য
abundant	0.958	0.590	0.760	প্রচুর
abuse	0.071	0.873	0.469	অপব্যবহার
abused	0.021	0.874	0.235	অপব্যবহার
abusive	0.125	0.903	0.567	অপমানজনক
abutment	0.500	0.265	0.616	abutment
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	অতল
abyss	0.353	0.725	0.296	অতল
academic	0.781	0.420	0.812	একাডেমিক
academy	0.704	0.473	0.792	একাডেমি
accede	0.698	0.510	0.537	স্বীকার করা
accelerant	0.643	0.844	0.802	ত্বরক
accelerate	0.615	0.902	0.759	ত্বরান্বিত করা
accelerated	0.610	0.812	0.682	ত্বরান্বিত
acceleration	0.704	0.905	0.843	ত্বরণ
accelerator	0.593	0.830	0.812	এক্সিলারেটর
accent	0.598	0.357	0.509	উচ্চারণ
accentuate	0.673	0.556	0.667	উচ্চারণ করা
accept	0.847	0.286	0.565	গ্রহণ
acceptable	0.812	0.286	0.583	গ্রহণযোগ্য
acceptance	0.833	0.287	0.755	গ্রহণযোগ্যতা
acceptances	0.847	0.413	0.648	গ্রহণযোগ্যতা
access	0.714	0.472	0.567	অ্যাক্সেস
accessible	0.796	0.410	0.645	অ্যাক্সেসযোগ্য
accession	0.612	0.383	0.636	যোগদান
accessory	0.562	0.292	0.445	আনুষঙ্গিক
accident	0.125	0.908	0.336	দুর্ঘটনা
accidental	0.319	0.784	0.307	আকস্মিক
accidentally	0.333	0.741	0.333	দুর্ঘটনাক্রমে
acclaim	0.562	0.809	0.718	প্রশংসা
accolade	0.688	0.591	0.775	প্রশংসা
accommodate	0.844	0.375	0.566	মিটমাট করা
accommodation	0.817	0.415	0.587	বাসস্থান
accompaniment	0.740	0.479	0.695	অনুষঙ্গী
accompany	0.833	0.406	0.585	সঙ্গে
accompanying	0.787	0.460	0.582	সহগামী
accomplice	0.408	0.580	0.510	সহযোগী
accomplish	0.929	0.673	0.816	সম্পন্ন করা
accomplished	0.870	0.520	0.798	সম্পন্ন
accomplishment	0.917	0.694	0.888	সিদ্ধি
accord	0.898	0.264	0.382	চুক্তি
accordance	0.659	0.349	0.600	অনুযায়ী
accordion	0.604	0.490	0.361	অ্যাকর্ডিয়ন
account	0.531	0.347	0.472	অ্যাকাউন্ট
accountability	0.755	0.537	0.833	দায়িত্ব
accountable	0.709	0.282	0.777	দায়ী
