English Word	Valence	Arousal	Dominance	Sesotho Word
aaaaaaah	0.479	0.606	0.291	aaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	aback
abacus	0.510	0.276	0.485	abacus
abalone	0.500	0.480	0.412	abalone
abandon	0.052	0.519	0.245	lahla
abandoned	0.046	0.481	0.130	tlohetsoe
abandonment	0.128	0.430	0.202	lahla
abashed	0.177	0.644	0.307	hlabisitsoe
abate	0.255	0.696	0.604	abate
abatement	0.388	0.338	0.336	abatement
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	abbey
abbot	0.427	0.321	0.483	abbot
abbreviate	0.531	0.375	0.330	kgutsufatsa
abbreviation	0.469	0.306	0.345	kgutsufatso
abdomen	0.469	0.462	0.471	mpa
abdominal	0.490	0.456	0.445	mpeng
abduct	0.173	0.720	0.615	abduct
abduction	0.062	0.990	0.673	ho koeteloa
aberrant	0.146	0.765	0.431	aberrant
aberration	0.125	0.816	0.417	aberration
abeyance	0.330	0.510	0.292	ho tlohela
abhor	0.125	0.602	0.349	nyonya
abhorrence	0.167	0.684	0.420	ho nyonya
abhorrent	0.229	0.750	0.474	e nyonyehang
abide	0.635	0.354	0.705	sala
abiding	0.796	0.327	0.750	dulang
ability	0.875	0.510	0.816	bokgoni
abject	0.354	0.590	0.417	nyatsehang
ablation	0.418	0.500	0.500	ablation
ablaze	0.240	0.847	0.525	tuka
able	0.786	0.500	0.810	khonahala
abnormal	0.137	0.604	0.309	e sa tloaelehang
abnormality	0.092	0.655	0.383	ntho e sa tloaelehang
aboard	0.698	0.284	0.481	ka sekepeng
abode	0.620	0.302	0.500	bolulo
abolish	0.448	0.615	0.529	felisa
abolition	0.323	0.690	0.529	ho fedisa
abominable	0.120	0.731	0.482	e nyonyehang
abominate	0.198	0.788	0.366	nyonyehang
abomination	0.078	0.755	0.518	manyala
aboriginal	0.448	0.427	0.542	matsoalloa
abort	0.153	0.686	0.429	ntshetsa mpa
abortion	0.082	0.770	0.283	ho ntša mpa
abortive	0.090	0.776	0.280	abortive
abound	0.704	0.490	0.681	ngatafala
abovementioned	0.541	0.298	0.509	e boletsoeng ka holimo
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	ho khopa
abrasive	0.392	0.610	0.593	abrasive
abreast	0.635	0.380	0.519	aparetse
abroad	0.677	0.596	0.561	kantle ho naha
abrogate	0.327	0.510	0.594	hlakola
abrupt	0.271	0.819	0.545	tshohanyetso
abruptly	0.250	0.808	0.556	ka tšohanyetso
abscess	0.154	0.451	0.349	seso
