English Word	Valence	Arousal	Dominance	Dutch Word
aaaaaaah	0.479	0.606	0.291	aaaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	aardvarken
aback	0.385	0.407	0.288	verbijsterd
abacus	0.510	0.276	0.485	telraam
abalone	0.500	0.480	0.412	abalone
abandon	0.052	0.519	0.245	in de steek laten
abandoned	0.046	0.481	0.130	verlaten
abandonment	0.128	0.430	0.202	in de steek laten
abashed	0.177	0.644	0.307	beschaamd
abate	0.255	0.696	0.604	verminderen
abatement	0.388	0.338	0.336	vermindering
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	abdij
abbot	0.427	0.321	0.483	abt
abbreviate	0.531	0.375	0.330	afkorten
abbreviation	0.469	0.306	0.345	afkorting
abdomen	0.469	0.462	0.471	buikspier
abdominal	0.490	0.456	0.445	buik
abduct	0.173	0.720	0.615	ontvoeren
abduction	0.062	0.990	0.673	ontvoering
aberrant	0.146	0.765	0.431	afwijkend
aberration	0.125	0.816	0.417	aberratie
abeyance	0.330	0.510	0.292	opschorting
abhor	0.125	0.602	0.349	verafschuwen
abhorrence	0.167	0.684	0.420	afschuw
abhorrent	0.229	0.750	0.474	weerzinwekkend
abide	0.635	0.354	0.705	zich houden aan
abiding	0.796	0.327	0.750	blijvend
ability	0.875	0.510	0.816	vermogen
abject	0.354	0.590	0.417	abject
ablation	0.418	0.500	0.500	ablatie
ablaze	0.240	0.847	0.525	in vuur en vlam
able	0.786	0.500	0.810	bekwaam
abnormal	0.137	0.604	0.309	abnormaal
abnormality	0.092	0.655	0.383	afwijking
aboard	0.698	0.284	0.481	aan boord
abode	0.620	0.302	0.500	verblijfplaats
abolish	0.448	0.615	0.529	vernietigen
abolition	0.323	0.690	0.529	afschaffing
abominable	0.120	0.731	0.482	afschuwelijk
abominate	0.198	0.788	0.366	verafschuwen
abomination	0.078	0.755	0.518	gruwel
aboriginal	0.448	0.427	0.542	aboriginal
abort	0.153	0.686	0.429	afbreken
abortion	0.082	0.770	0.283	abortus
abortive	0.090	0.776	0.280	mislukt
abound	0.704	0.490	0.681	in overvloed
abovementioned	0.541	0.298	0.509	bovengenoemde
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	slijtage
abrasive	0.392	0.610	0.593	schurend
abreast	0.635	0.380	0.519	op de hoogte
abroad	0.677	0.596	0.561	Buitenland
abrogate	0.327	0.510	0.594	afschaffen
abrupt	0.271	0.819	0.545	abrupt
abruptly	0.250	0.808	0.556	abrupt
abscess	0.154	0.451	0.349	abces
absence	0.153	0.235	0.266	afwezigheid
absent	0.177	0.221	0.116	afwezig
absentee	0.235	0.330	0.279	afwezige
absenteeism	0.404	0.273	0.357	verzuim
absinthe	0.481	0.510	0.462	absint
absolute	0.526	0.510	0.827	absoluut
absolution	0.715	0.500	0.664	absolutie
absolve	0.684	0.449	0.660	vrijspreken
absorb	0.469	0.558	0.670	absorberen
absorbed	0.490	0.471	0.519	geabsorbeerd
absorbent	0.552	0.394	0.718	absorberend
absorbing	0.490	0.490	0.578	absorberend
absorption	0.609	0.422	0.446	absorptie
abstain	0.385	0.385	0.427	onthouden
abstention	0.271	0.264	0.509	onthouding
abstinence	0.260	0.392	0.429	onthouding
abstract	0.438	0.292	0.444	abstract
abstraction	0.469	0.439	0.525	abstractie
absurd	0.188	0.656	0.284	absurd
absurdity	0.115	0.528	0.227	absurditeit
abundance	0.812	0.690	0.852	overvloed
abundant	0.958	0.590	0.760	overvloedig
abuse	0.071	0.873	0.469	misbruik
abused	0.021	0.874	0.235	misbruikt
abusive	0.125	0.903	0.567	beledigend
abutment	0.500	0.265	0.616	steunpunt
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	verschrikkelijk
abyss	0.353	0.725	0.296	afgrond
academic	0.781	0.420	0.812	academisch
academy	0.704	0.473	0.792	academie
accede	0.698	0.510	0.537	toetreden
accelerant	0.643	0.844	0.802	katalysator
accelerate	0.615	0.902	0.759	versnellen
accelerated	0.610	0.812	0.682	versneld
acceleration	0.704	0.905	0.843	versnelling
accelerator	0.593	0.830	0.812	gaspedaal
accent	0.598	0.357	0.509	accent
accentuate	0.673	0.556	0.667	accentueren
accept	0.847	0.286	0.565	aanvaarden
acceptable	0.812	0.286	0.583	aanvaardbaar
acceptance	0.833	0.287	0.755	aanvaarding
acceptances	0.847	0.413	0.648	acceptaties
access	0.714	0.472	0.567	toegang
accessible	0.796	0.410	0.645	beschikbaar
accession	0.612	0.383	0.636	toetreding
accessory	0.562	0.292	0.445	accessoire
accident	0.125	0.908	0.336	ongeluk
accidental	0.319	0.784	0.307	toevallig
accidentally	0.333	0.741	0.333	per ongeluk
acclaim	0.562	0.809	0.718	toejuiching
accolade	0.688	0.591	0.775	accolade
accommodate	0.844	0.375	0.566	accommoderen
accommodation	0.817	0.415	0.587	accommodatie
accompaniment	0.740	0.479	0.695	begeleiding
accompany	0.833	0.406	0.585	begeleiden
accompanying	0.787	0.460	0.582	begeleidend
accomplice	0.408	0.580	0.510	medeplichtige
accomplish	0.929	0.673	0.816	bereiken
accomplished	0.870	0.520	0.798	volbracht
accomplishment	0.917	0.694	0.888	prestatie
accord	0.898	0.264	0.382	overeenstemming
accordance	0.659	0.349	0.600	overeenstemming
accordion	0.604	0.490	0.361	accordeon
account	0.531	0.347	0.472	account
accountability	0.755	0.537	0.833	verantwoordelijkheid
accountable	0.709	0.282	0.777	verantwoordelijk
accountant	0.625	0.450	0.639	accountant
accounting	0.552	0.390	0.677	boekhouding
accounts	0.592	0.340	0.471	rekeningen
accredited	0.669	0.479	0.768	geaccrediteerd
accretion	0.448	0.519	0.672	aanwas
accrue	0.520	0.481	0.602	groeien
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	accumuleren
accumulation	0.479	0.527	0.600	accumulatie
accuracy	0.604	0.481	0.802	nauwkeurigheid
accurate	0.743	0.360	0.737	nauwkeurig
accursed	0.135	0.745	0.345	vervloekt
accusation	0.073	0.718	0.564	beschuldiging
accusative	0.198	0.755	0.482	accusatief
accuse	0.133	0.752	0.500	beschuldigen
accused	0.130	0.670	0.420	beschuldigd
accuser	0.122	0.779	0.615	aanklager
accusing	0.156	0.745	0.324	beschuldigen
accustomed	0.542	0.365	0.441	gebruikelijk
ace	0.643	0.481	0.546	ace
acetic	0.333	0.420	0.519	azijnzuur
acetylene	0.306	0.469	0.509	acetyleen
ache	0.146	0.760	0.312	pijn
achieve	0.816	0.545	0.843	bereiken
achieved	0.896	0.519	0.775	bereikt
achievement	0.896	0.808	0.759	prestatie
aching	0.053	0.880	0.348	pijn doen
achy	0.167	0.840	0.373	achy
acid	0.265	0.642	0.566	zuur
acidity	0.156	0.663	0.360	zuurgraad
acknowledge	0.786	0.370	0.661	erkennen
