English Word	Valence	Arousal	Dominance	Tamil Word
aaaaaaah	0.479	0.606	0.291	aaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	திகைப்பு
abacus	0.510	0.276	0.485	அபாகஸ்
abalone	0.500	0.480	0.412	அபலோன்
abandon	0.052	0.519	0.245	கைவிடு
abandoned	0.046	0.481	0.130	கைவிடப்பட்டது
abandonment	0.128	0.430	0.202	கைவிடுதல்
abashed	0.177	0.644	0.307	வெட்கப்பட்டார்
abate	0.255	0.696	0.604	குறைதணி
abatement	0.388	0.338	0.336	குறைப்பு
abba	0.562	0.500	0.480	அப்பா
abbey	0.580	0.367	0.444	அபே
abbot	0.427	0.321	0.483	மடாதிபதி
abbreviate	0.531	0.375	0.330	சுருக்கமாக
abbreviation	0.469	0.306	0.345	சுருக்கம்
abdomen	0.469	0.462	0.471	வயிறு
abdominal	0.490	0.456	0.445	வயிறு
abduct	0.173	0.720	0.615	கடத்தல்
abduction	0.062	0.990	0.673	கடத்தல்
aberrant	0.146	0.765	0.431	மாறுபட்ட
aberration	0.125	0.816	0.417	பிறழ்வு
abeyance	0.330	0.510	0.292	புறக்கணிப்பு
abhor	0.125	0.602	0.349	வெறுப்பு
abhorrence	0.167	0.684	0.420	வெறுப்பு
abhorrent	0.229	0.750	0.474	அருவருப்பான
abide	0.635	0.354	0.705	பிின்பற்று
abiding	0.796	0.327	0.750	நிலைத்து நிற்கிறது
ability	0.875	0.510	0.816	திறன்
abject	0.354	0.590	0.417	கீழ்த்தரமான
ablation	0.418	0.500	0.500	நீக்குதல்
ablaze	0.240	0.847	0.525	எரிகிறது
able	0.786	0.500	0.810	முடியும்
abnormal	0.137	0.604	0.309	அசாதாரணமான
abnormality	0.092	0.655	0.383	அசாதாரணம்
aboard	0.698	0.284	0.481	கப்பலில்
abode	0.620	0.302	0.500	தங்குமிடம்
abolish	0.448	0.615	0.529	ஒழிக்க
abolition	0.323	0.690	0.529	ஒழித்தல்
abominable	0.120	0.731	0.482	அருவருப்பானது
abominate	0.198	0.788	0.366	அருவருப்பு
abomination	0.078	0.755	0.518	அருவருப்பு
aboriginal	0.448	0.427	0.542	பழங்குடியினர்
abort	0.153	0.686	0.429	கருக்கலைப்பு
abortion	0.082	0.770	0.283	கருக்கலைப்பு
abortive	0.090	0.776	0.280	கருக்கலைப்பு
abound	0.704	0.490	0.681	நிறைந்துள்ளன
abovementioned	0.541	0.298	0.509	மேலே குறிப்பிட்டுள்ள
abracadabra	0.673	0.632	0.434	அப்ரகாடப்ரா
abrasion	0.406	0.592	0.441	சிராய்ப்பு
