English Word	Valence	Arousal	Dominance	Shona Word
aaaaaaah	0.479	0.606	0.291	aaaaaah
aaaah	0.520	0.636	0.282	aaaaah
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	aback
abacus	0.510	0.276	0.485	abacus
abalone	0.500	0.480	0.412	abalone
abandon	0.052	0.519	0.245	abandon
abandoned	0.046	0.481	0.130	kusiiwa
abandonment	0.128	0.430	0.202	kusiiwa
abashed	0.177	0.644	0.307	kunyadziswa
abate	0.255	0.696	0.604	abate
abatement	0.388	0.338	0.336	abatement
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	abbey
abbot	0.427	0.321	0.483	abbot
abbreviate	0.531	0.375	0.330	pfupisa
abbreviation	0.469	0.306	0.345	chidimbu
abdomen	0.469	0.462	0.471	dumbu
abdominal	0.490	0.456	0.445	abdominal
abduct	0.173	0.720	0.615	abduct
abduction	0.062	0.990	0.673	kupambwa
aberrant	0.146	0.765	0.431	aberrant
aberration	0.125	0.816	0.417	aberration
abeyance	0.330	0.510	0.292	abeyance
abhor	0.125	0.602	0.349	sema
abhorrence	0.167	0.684	0.420	kuvenga
abhorrent	0.229	0.750	0.474	zvinosemesa
abide	0.635	0.354	0.705	abide
abiding	0.796	0.327	0.750	abiding
ability	0.875	0.510	0.816	kugona
abject	0.354	0.590	0.417	abject
ablation	0.418	0.500	0.500	ablation
ablaze	0.240	0.847	0.525	ablaze
able	0.786	0.500	0.810	kugona
abnormal	0.137	0.604	0.309	abnormal
abnormality	0.092	0.655	0.383	kusagadzikana
aboard	0.698	0.284	0.481	aboard
abode	0.620	0.302	0.500	akagara
abolish	0.448	0.615	0.529	bvisa
abolition	0.323	0.690	0.529	abolition
abominable	0.120	0.731	0.482	zvinonyangadza
abominate	0.198	0.788	0.366	anonyangadza
abomination	0.078	0.755	0.518	chinonyangadza
aboriginal	0.448	0.427	0.542	veAboriginal
abort	0.153	0.686	0.429	kubvisa pamuviri
abortion	0.082	0.770	0.283	kubvisa pamuviri
abortive	0.090	0.776	0.280	kubvisa pamuviri
abound	0.704	0.490	0.681	zvakawanda
abovementioned	0.541	0.298	0.509	zvataurwa pamusoro
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	abrasion
abrasive	0.392	0.610	0.593	abrasive
abreast	0.635	0.380	0.519	abreast
abroad	0.677	0.596	0.561	kunze kwenyika
abrogate	0.327	0.510	0.594	abrogate
abrupt	0.271	0.819	0.545	pakarepo
abruptly	0.250	0.808	0.556	pakarepo
abscess	0.154	0.451	0.349	abscess
absence	0.153	0.235	0.266	kusavapo
absent	0.177	0.221	0.116	asipo
absentee	0.235	0.330	0.279	asipo
absenteeism	0.404	0.273	0.357	kusaenda kubasa
absinthe	0.481	0.510	0.462	absinthe
absolute	0.526	0.510	0.827	Mhedziso
absolution	0.715	0.500	0.664	absolution
absolve	0.684	0.449	0.660	absolve
absorb	0.469	0.558	0.670	absorb
absorbed	0.490	0.471	0.519	absorbed
absorbent	0.552	0.394	0.718	absorbent
absorbing	0.490	0.490	0.578	kuyamwisa
absorption	0.609	0.422	0.446	kutorwa
abstain	0.385	0.385	0.427	abstain
abstention	0.271	0.264	0.509	abstention
abstinence	0.260	0.392	0.429	kuzvidzora
abstract	0.438	0.292	0.444	abstract
abstraction	0.469	0.439	0.525	abstraction
absurd	0.188	0.656	0.284	zvisina musoro
absurdity	0.115	0.528	0.227	kusanzwisisa
abundance	0.812	0.690	0.852	kuwanda
abundant	0.958	0.590	0.760	abundant
abuse	0.071	0.873	0.469	kushungurudzwa
abused	0.021	0.874	0.235	kushungurudzwa
abusive	0.125	0.903	0.567	abusive
abutment	0.500	0.265	0.616	abutment
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	abysmal
abyss	0.353	0.725	0.296	abyss
academic	0.781	0.420	0.812	zvedzidzo
academy	0.704	0.473	0.792	academy
accede	0.698	0.510	0.537	Accede
accelerant	0.643	0.844	0.802	accelerant
accelerate	0.615	0.902	0.759	accelerate
accelerated	0.610	0.812	0.682	accelerated
acceleration	0.704	0.905	0.843	acceleration
accelerator	0.593	0.830	0.812	accelerator
accent	0.598	0.357	0.509	matauriro
accentuate	0.673	0.556	0.667	simbisa
accept	0.847	0.286	0.565	bvuma
acceptable	0.812	0.286	0.583	zvinogamuchirika
acceptance	0.833	0.287	0.755	kugamuchirwa
acceptances	0.847	0.413	0.648	kugamuchirwa
access	0.714	0.472	0.567	access
accessible	0.796	0.410	0.645	svikika
accession	0.612	0.383	0.636	accession
accessory	0.562	0.292	0.445	accessory
accident	0.125	0.908	0.336	tsaona
accidental	0.319	0.784	0.307	ngozi
accidentally	0.333	0.741	0.333	netsaona
acclaim	0.562	0.809	0.718	acclaim
accolade	0.688	0.591	0.775	accolade
accommodate	0.844	0.375	0.566	accommodate
accommodation	0.817	0.415	0.587	pekugara
accompaniment	0.740	0.479	0.695	kuperekedza
accompany	0.833	0.406	0.585	perekedza
accompanying	0.787	0.460	0.582	kuperekedza
accomplice	0.408	0.580	0.510	kufambidzana
accomplish	0.929	0.673	0.816	zadzisa
accomplished	0.870	0.520	0.798	accomplished
accomplishment	0.917	0.694	0.888	kubudirira
accord	0.898	0.264	0.382	chibvumirano
accordance	0.659	0.349	0.600	zvinoenderana
accordion	0.604	0.490	0.361	accordion
account	0.531	0.347	0.472	account
accountability	0.755	0.537	0.833	kuzvidavirira
accountable	0.709	0.282	0.777	kuzvidavirira
accountant	0.625	0.450	0.639	accountant
accounting	0.552	0.390	0.677	accounting
accounts	0.592	0.340	0.471	accounts
accredited	0.669	0.479	0.768	accredited
accretion	0.448	0.519	0.672	acretion
accrue	0.520	0.481	0.602	accrue
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	kuunganidza
accumulation	0.479	0.527	0.600	kuunganidza
accuracy	0.604	0.481	0.802	kururama
accurate	0.743	0.360	0.737	yakarurama
accursed	0.135	0.745	0.345	vakatukwa
accusation	0.073	0.718	0.564	mhosva
accusative	0.198	0.755	0.482	anopomera mhosva
accuse	0.133	0.752	0.500	pomera mhosva
accused	0.130	0.670	0.420	mhosva
accuser	0.122	0.779	0.615	mupomeri
accusing	0.156	0.745	0.324	vachipomera mhosva
accustomed	0.542	0.365	0.441	accustomed
ace	0.643	0.481	0.546	ace
acetic	0.333	0.420	0.519	acetic
acetylene	0.306	0.469	0.509	acetylene
ache	0.146	0.760	0.312	kurwadziwa
achieve	0.816	0.545	0.843	achieve
achieved	0.896	0.519	0.775	kubudirira
achievement	0.896	0.808	0.759	kubudirira
aching	0.053	0.880	0.348	kurwadziwa
achy	0.167	0.840	0.373	achy
acid	0.265	0.642	0.566	acid
acidity	0.156	0.663	0.360	acidity
acknowledge	0.786	0.370	0.661	bvuma
acknowledged	0.714	0.443	0.765	akabvuma
acknowledgement	0.819	0.539	0.830	kubvuma
acknowledgment	0.796	0.528	0.777	kubvuma
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	mburwa
acorn	0.448	0.198	0.192	acorn
acoustic	0.542	0.462	0.536	acoustic
acoustics	0.611	0.330	0.509	acoustics
acquaint	0.646	0.491	0.639	acquaint
acquaintance	0.656	0.290	0.670	acquaintance
acquainted	0.906	0.358	0.632	acquainted
acquiescence	0.542	0.480	0.554	kubvuma
acquire	0.833	0.468	0.700	kuwana
acquiring	0.735	0.510	0.817	kuwana
acquisition	0.698	0.509	0.736	kuwana
acquisitions	0.773	0.660	0.790	acquisitions
acquit	0.583	0.571	0.611	bvisa mhosva
acquittal	0.760	0.497	0.700	kusunungurwa
acre	0.583	0.387	0.423	acre
acreage	0.741	0.450	0.528	acreage
acres	0.510	0.363	0.500	maeka
acrobat	0.708	0.828	0.602	acrobat
acrylic	0.582	0.279	0.420	acrylic
act	0.656	0.704	0.735	act
acting	0.698	0.643	0.500	acting
action	0.760	0.898	0.802	chiito
action figure	0.615	0.774	0.611	chiito chimiro
actionable	0.673	0.702	0.613	zvinogoneka
activate	0.764	0.650	0.806	activate
activation	0.781	0.800	0.754	activation
active	0.847	0.730	0.731	active
activist	0.531	0.653	0.877	activist
activity	0.701	0.660	0.807	chiitiko
actor	0.653	0.561	0.629	mutambi
actress	0.633	0.556	0.596	mutambi
actual	0.729	0.400	0.716	chaiyo
actuality	0.750	0.464	0.600	chokwadi
actuary	0.510	0.404	0.491	actuary
acuity	0.469	0.378	0.741	acuity
acumen	0.564	0.660	0.679	acumen
acupuncture	0.531	0.324	0.549	acupuncture
acute	0.427	0.652	0.534	acute
acutely	0.417	0.543	0.491	acutely
ad	0.521	0.705	0.558	ad
adage	0.517	0.415	0.566	chirevo
adamant	0.344	0.529	0.575	akasimba
adapt	0.740	0.355	0.551	adapt
adaptable	0.735	0.423	0.641	inochinjika
adaptation	0.663	0.365	0.609	adaptation
add	0.728	0.490	0.554	wedzera
added	0.562	0.405	0.509	akawedzera
addendum	0.392	0.370	0.418	addendum
adder	0.388	0.461	0.588	adder
addict	0.075	0.696	0.327	muropa
addicted	0.156	0.712	0.483	kupindwa muropa
