English Word	Valence	Arousal	Dominance	Danish Word
aaaaaaah	0.479	0.606	0.291	aaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	jordvark
aback	0.385	0.407	0.288	overrasket
abacus	0.510	0.276	0.485	abacus
abalone	0.500	0.480	0.412	abalone
abandon	0.052	0.519	0.245	opgive
abandoned	0.046	0.481	0.130	forladt
abandonment	0.128	0.430	0.202	opgivelse
abashed	0.177	0.644	0.307	forarget
abate	0.255	0.696	0.604	aftage
abatement	0.388	0.338	0.336	reduktion
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	kloster
abbot	0.427	0.321	0.483	abbed
abbreviate	0.531	0.375	0.330	forkorte
abbreviation	0.469	0.306	0.345	forkortelse
abdomen	0.469	0.462	0.471	mave
abdominal	0.490	0.456	0.445	abdominal
abduct	0.173	0.720	0.615	bortføre
abduction	0.062	0.990	0.673	bortførelse
aberrant	0.146	0.765	0.431	afvigende
aberration	0.125	0.816	0.417	aberration
abeyance	0.330	0.510	0.292	afholdenhed
abhor	0.125	0.602	0.349	afsky
abhorrence	0.167	0.684	0.420	afsky
abhorrent	0.229	0.750	0.474	afskyeligt
abide	0.635	0.354	0.705	overholde
abiding	0.796	0.327	0.750	blivende
ability	0.875	0.510	0.816	evne
abject	0.354	0.590	0.417	afskyeligt
ablation	0.418	0.500	0.500	ablation
ablaze	0.240	0.847	0.525	i flammer
able	0.786	0.500	0.810	i stand
abnormal	0.137	0.604	0.309	abnorm
abnormality	0.092	0.655	0.383	abnormitet
aboard	0.698	0.284	0.481	ombord
abode	0.620	0.302	0.500	opholdssted
abolish	0.448	0.615	0.529	afskaffe
abolition	0.323	0.690	0.529	afskaffelse
abominable	0.120	0.731	0.482	afskyeligt
abominate	0.198	0.788	0.366	afskyeligt
abomination	0.078	0.755	0.518	vederstyggelighed
aboriginal	0.448	0.427	0.542	aboriginal
abort	0.153	0.686	0.429	abort
abortion	0.082	0.770	0.283	abort
abortive	0.090	0.776	0.280	mislykket
abound	0.704	0.490	0.681	bugne
abovementioned	0.541	0.298	0.509	ovennævnte
abracadabra	0.673	0.632	0.434	abrakadabra
abrasion	0.406	0.592	0.441	slid
abrasive	0.392	0.610	0.593	slibende
abreast	0.635	0.380	0.519	ajour
abroad	0.677	0.596	0.561	i udlandet
abrogate	0.327	0.510	0.594	ophæve
abrupt	0.271	0.819	0.545	brat
abruptly	0.250	0.808	0.556	brat
abscess	0.154	0.451	0.349	byld
absence	0.153	0.235	0.266	fravær
absent	0.177	0.221	0.116	fraværende
absentee	0.235	0.330	0.279	fraværende
absenteeism	0.404	0.273	0.357	fravær
