English Word	Valence	Arousal	Dominance	Kyrgyz Word
aaaaaaah	0.479	0.606	0.291	аааааа
aaaah	0.520	0.636	0.282	аааа
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	таң калуу
abacus	0.510	0.276	0.485	абакус
abalone	0.500	0.480	0.412	балан
abandon	0.052	0.519	0.245	таштоо
abandoned	0.046	0.481	0.130	ташталган
abandonment	0.128	0.430	0.202	таштоо
abashed	0.177	0.644	0.307	уялды
abate	0.255	0.696	0.604	азайтуу
abatement	0.388	0.338	0.336	азайтуу
abba	0.562	0.500	0.480	абба
abbey	0.580	0.367	0.444	аббат
abbot	0.427	0.321	0.483	аббат
abbreviate	0.531	0.375	0.330	кыскартуу
abbreviation	0.469	0.306	0.345	аббревиатура
abdomen	0.469	0.462	0.471	курсак
abdominal	0.490	0.456	0.445	ич
abduct	0.173	0.720	0.615	уурдоо
abduction	0.062	0.990	0.673	уурдоо
aberrant	0.146	0.765	0.431	аберант
aberration	0.125	0.816	0.417	аберация
abeyance	0.330	0.510	0.292	токтоп калуу
abhor	0.125	0.602	0.349	жийиркенүү
abhorrence	0.167	0.684	0.420	жек көрүү
abhorrent	0.229	0.750	0.474	жийиркеничтүү
abide	0.635	0.354	0.705	туруу
abiding	0.796	0.327	0.750	туруктуу
ability	0.875	0.510	0.816	жөндөмдүүлүк
abject	0.354	0.590	0.417	абийирсиз
ablation	0.418	0.500	0.500	абляция
ablaze	0.240	0.847	0.525	жалындайт
able	0.786	0.500	0.810	жөндөмдүү
abnormal	0.137	0.604	0.309	анормалдуу
abnormality	0.092	0.655	0.383	аномалия
aboard	0.698	0.284	0.481	бортунда
abode	0.620	0.302	0.500	турак жай
abolish	0.448	0.615	0.529	жоюу
abolition	0.323	0.690	0.529	жоюу
abominable	0.120	0.731	0.482	жийиркеничтүү
abominate	0.198	0.788	0.366	жийиркеничтүү
abomination	0.078	0.755	0.518	жийиркеничтүү
aboriginal	0.448	0.427	0.542	абориген
abort	0.153	0.686	0.429	токтотуу
abortion	0.082	0.770	0.283	аборт
abortive	0.090	0.776	0.280	аборт
abound	0.704	0.490	0.681	мол
abovementioned	0.541	0.298	0.509	жогоруда айтылган
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	абразия
abrasive	0.392	0.610	0.593	абразивдүү
abreast	0.635	0.380	0.519	артта жүрүү
abroad	0.677	0.596	0.561	чет өлкөдө
abrogate	0.327	0.510	0.594	жокко чыгаруу
abrupt	0.271	0.819	0.545	кескин
abruptly	0.250	0.808	0.556	капыстан
abscess	0.154	0.451	0.349	абсцесс
absence	0.153	0.235	0.266	жоктугу
absent	0.177	0.221	0.116	жок
absentee	0.235	0.330	0.279	жок
absenteeism	0.404	0.273	0.357	жумушка келбей калуу
absinthe	0.481	0.510	0.462	абсент
absolute	0.526	0.510	0.827	абсолюттук
absolution	0.715	0.500	0.664	абсолюттук
absolve	0.684	0.449	0.660	кечирүү
absorb	0.469	0.558	0.670	сиңирүү
absorbed	0.490	0.471	0.519	сиңирилген
absorbent	0.552	0.394	0.718	абсорбент
absorbing	0.490	0.490	0.578	сиңирүү
absorption	0.609	0.422	0.446	жутуу
abstain	0.385	0.385	0.427	кармануу
abstention	0.271	0.264	0.509	калыс
abstinence	0.260	0.392	0.429	абстиненция
abstract	0.438	0.292	0.444	абстракттуу
abstraction	0.469	0.439	0.525	абстракция
absurd	0.188	0.656	0.284	абсурд
absurdity	0.115	0.528	0.227	абсурддук
abundance	0.812	0.690	0.852	молчулук
abundant	0.958	0.590	0.760	мол
abuse	0.071	0.873	0.469	кыянаттык
abused	0.021	0.874	0.235	кордолгон
abusive	0.125	0.903	0.567	кордогон
abutment	0.500	0.265	0.616	таяныч
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	туңгуюк
abyss	0.353	0.725	0.296	туңгуюк
academic	0.781	0.420	0.812	академик
academy	0.704	0.473	0.792	академия
accede	0.698	0.510	0.537	кошулуу
accelerant	0.643	0.844	0.802	тездетүүчү
accelerate	0.615	0.902	0.759	тездетүү
accelerated	0.610	0.812	0.682	тездетилген
acceleration	0.704	0.905	0.843	ылдамдатуу
accelerator	0.593	0.830	0.812	акселератор
accent	0.598	0.357	0.509	акцент
accentuate	0.673	0.556	0.667	басым жасоо
accept	0.847	0.286	0.565	кабыл алуу
acceptable	0.812	0.286	0.583	алгылыктуу
acceptance	0.833	0.287	0.755	кабыл алуу
acceptances	0.847	0.413	0.648	кабыл алуулар
access	0.714	0.472	0.567	мүмкүндүк алуу
accessible	0.796	0.410	0.645	жеткиликтүү
accession	0.612	0.383	0.636	кошулуу
accessory	0.562	0.292	0.445	аксессуар
accident	0.125	0.908	0.336	кырсык
accidental	0.319	0.784	0.307	кокусунан
accidentally	0.333	0.741	0.333	кокусунан
acclaim	0.562	0.809	0.718	мактоо
accolade	0.688	0.591	0.775	мактоо
accommodate	0.844	0.375	0.566	жайгаштыруу
accommodation	0.817	0.415	0.587	жатакана
accompaniment	0.740	0.479	0.695	коштоо
accompany	0.833	0.406	0.585	коштоп жүрүү
accompanying	0.787	0.460	0.582	коштоп жүрүүчү
accomplice	0.408	0.580	0.510	шериктеш
accomplish	0.929	0.673	0.816	аткаруу
accomplished	0.870	0.520	0.798	аткарылган
accomplishment	0.917	0.694	0.888	жетишкендик
accord	0.898	0.264	0.382	макулдашуу
accordance	0.659	0.349	0.600	ылайык
accordion	0.604	0.490	0.361	аккордеон
account	0.531	0.347	0.472	эсеп
accountability	0.755	0.537	0.833	жоопкерчилик
accountable	0.709	0.282	0.777	жоопкерчиликтүү
accountant	0.625	0.450	0.639	бухгалтер
accounting	0.552	0.390	0.677	бухгалтердик эсеп
accounts	0.592	0.340	0.471	эсептер
accredited	0.669	0.479	0.768	аккредиттелген
accretion	0.448	0.519	0.672	топтоо
accrue	0.520	0.481	0.602	топтоо
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	топтоо
accumulation	0.479	0.527	0.600	топтоо
accuracy	0.604	0.481	0.802	тактык
accurate	0.743	0.360	0.737	так
accursed	0.135	0.745	0.345	каргыш тийген
accusation	0.073	0.718	0.564	айыптоо
accusative	0.198	0.755	0.482	айыптоочу
accuse	0.133	0.752	0.500	айыптоо
accused	0.130	0.670	0.420	айыпталган
accuser	0.122	0.779	0.615	айыптоочу
accusing	0.156	0.745	0.324	айыптоо
accustomed	0.542	0.365	0.441	көнүп калган
ace	0.643	0.481	0.546	ace
acetic	0.333	0.420	0.519	уксус
acetylene	0.306	0.469	0.509	ацетилен
ache	0.146	0.760	0.312	оору
achieve	0.816	0.545	0.843	жетишүү
achieved	0.896	0.519	0.775	жетишилген
achievement	0.896	0.808	0.759	жетишкендик
aching	0.053	0.880	0.348	оорутуу
achy	0.167	0.840	0.373	ачы
acid	0.265	0.642	0.566	кислота
acidity	0.156	0.663	0.360	кислоталык
acknowledge	0.786	0.370	0.661	моюнга алуу
acknowledged	0.714	0.443	0.765	таанылган
acknowledgement	0.819	0.539	0.830	таануу
acknowledgment	0.796	0.528	0.777	таануу
acme	0.408	0.435	0.375	acme
acne	0.167	0.474	0.308	безетки
acorn	0.448	0.198	0.192	аккорн
acoustic	0.542	0.462	0.536	акустикалык
acoustics	0.611	0.330	0.509	акустика
acquaint	0.646	0.491	0.639	таанышуу
acquaintance	0.656	0.290	0.670	таанышуу
acquainted	0.906	0.358	0.632	таанышкан
acquiescence	0.542	0.480	0.554	макул болуу
acquire	0.833	0.468	0.700	алуу
acquiring	0.735	0.510	0.817	алуу
acquisition	0.698	0.509	0.736	алуу
acquisitions	0.773	0.660	0.790	сатып алуулар
acquit	0.583	0.571	0.611	актоо
acquittal	0.760	0.497	0.700	актоо
acre	0.583	0.387	0.423	акр
acreage	0.741	0.450	0.528	гектар
acres	0.510	0.363	0.500	гектар
acrobat	0.708	0.828	0.602	акробат
acrylic	0.582	0.279	0.420	акрил
act	0.656	0.704	0.735	акт
acting	0.698	0.643	0.500	актёрдук кылуу
action	0.760	0.898	0.802	иш-аракет
action figure	0.615	0.774	0.611	аракет фигурасы
actionable	0.673	0.702	0.613	аракетке жарамдуу
activate	0.764	0.650	0.806	иштетүү
activation	0.781	0.800	0.754	активдештирүү
active	0.847	0.730	0.731	активдүү
activist	0.531	0.653	0.877	активист
activity	0.701	0.660	0.807	активдүүлүк
actor	0.653	0.561	0.629	актер
actress	0.633	0.556	0.596	актриса
actual	0.729	0.400	0.716	актуалдуу
actuality	0.750	0.464	0.600	актуалдуулук
actuary	0.510	0.404	0.491	актуарий
acuity	0.469	0.378	0.741	курчтук
acumen	0.564	0.660	0.679	кыраакылык
acupuncture	0.531	0.324	0.549	акупунктура
acute	0.427	0.652	0.534	курч
acutely	0.417	0.543	0.491	курч
ad	0.521	0.705	0.558	жарнама
adage	0.517	0.415	0.566	макал
adamant	0.344	0.529	0.575	бекем
adapt	0.740	0.355	0.551	ылайыкташтыруу
adaptable	0.735	0.423	0.641	ийкемдүү
adaptation	0.663	0.365	0.609	адаптация
add	0.728	0.490	0.554	кошуу
added	0.562	0.405	0.509	кошулду
addendum	0.392	0.370	0.418	кошумча
adder	0.388	0.461	0.588	толуктоочу
addict	0.075	0.696	0.327	көз каранды
addicted	0.156	0.712	0.483	көз каранды
addiction	0.180	0.806	0.420	көз карандылык
addictive	0.302	0.683	0.472	көз каранды
addition	0.562	0.373	0.471	кошумча
additional	0.673	0.462	0.526	кошумча
additive	0.561	0.633	0.691	кошумча
address	0.650	0.327	0.567	дареги
addressee	0.622	0.382	0.538	адресат
addresses	0.510	0.354	0.450	даректер
adept	0.594	0.539	0.789	чебер
adequacy	0.615	0.435	0.702	адекваттуулугу
adequate	0.854	0.264	0.705	адекваттуу
adhere	0.633	0.339	0.554	кармануу
adherence	0.760	0.307	0.630	кармануу
adherent	0.561	0.385	0.555	кармануучу
adhering	0.612	0.561	0.537	кармануу
adhesion	0.521	0.445	0.586	адгезия
adhesive	0.604	0.350	0.413	клей
adieu	0.250	0.471	0.342	кош
adipose	0.333	0.350	0.391	Майлуу
adjacency	0.365	0.417	0.375	жанаша болуу
adjacent	0.645	0.276	0.536	жанаша
adjective	0.570	0.316	0.569	сын атооч
adjoining	0.520	0.400	0.393	жанаша
adjourn	0.385	0.456	0.475	тыныгуу
adjournment	0.438	0.510	0.370	тыныгуу
adjudicate	0.559	0.520	0.683	өкүм чыгаруу
adjudication	0.551	0.462	0.691	өкүм чыгаруу
