English Word	Valence	Arousal	Dominance	Persian Word
aaaaaaah	0.479	0.606	0.291	آاااااا
aaaah	0.520	0.636	0.282	آااا
aardvark	0.427	0.490	0.437	مورچه خوار
aback	0.385	0.407	0.288	متعجب
abacus	0.510	0.276	0.485	چرتکه
abalone	0.500	0.480	0.412	آبلون
abandon	0.052	0.519	0.245	رها کردن
abandoned	0.046	0.481	0.130	رها شده است
abandonment	0.128	0.430	0.202	رها شدن
abashed	0.177	0.644	0.307	شرمنده
abate	0.255	0.696	0.604	کاهش دادن
abatement	0.388	0.338	0.336	کاهش
abba	0.562	0.500	0.480	بابا
abbey	0.580	0.367	0.444	صومعه
abbot	0.427	0.321	0.483	ابات
abbreviate	0.531	0.375	0.330	مخفف کردن
abbreviation	0.469	0.306	0.345	مخفف
abdomen	0.469	0.462	0.471	شکم
abdominal	0.490	0.456	0.445	شکمی
abduct	0.173	0.720	0.615	ربودن
abduction	0.062	0.990	0.673	آدم ربایی
aberrant	0.146	0.765	0.431	ناهنجار
aberration	0.125	0.816	0.417	انحراف
abeyance	0.330	0.510	0.292	معطل ماندن
abhor	0.125	0.602	0.349	بیزاری
abhorrence	0.167	0.684	0.420	بیزاری
abhorrent	0.229	0.750	0.474	نفرت انگیز
abide	0.635	0.354	0.705	پایبند بودن
abiding	0.796	0.327	0.750	ماندگار
ability	0.875	0.510	0.816	توانایی
abject	0.354	0.590	0.417	افتضاح
ablation	0.418	0.500	0.500	فرسایش
ablaze	0.240	0.847	0.525	مشتعل
able	0.786	0.500	0.810	قادر است
abnormal	0.137	0.604	0.309	غیرطبیعی
abnormality	0.092	0.655	0.383	ناهنجاری
aboard	0.698	0.284	0.481	در کشتی
abode	0.620	0.302	0.500	اقامت
abolish	0.448	0.615	0.529	لغو کند
abolition	0.323	0.690	0.529	لغو
abominable	0.120	0.731	0.482	نفرت انگیز
abominate	0.198	0.788	0.366	نفرت انگیز
abomination	0.078	0.755	0.518	عمل شنیع
aboriginal	0.448	0.427	0.542	بومی
abort	0.153	0.686	0.429	سقط
abortion	0.082	0.770	0.283	سقط جنین
abortive	0.090	0.776	0.280	ناقص
abound	0.704	0.490	0.681	فراوان است
abovementioned	0.541	0.298	0.509	فوق الذکر
abracadabra	0.673	0.632	0.434	ابراکادابرا
abrasion	0.406	0.592	0.441	سایش
abrasive	0.392	0.610	0.593	ساینده
abreast	0.635	0.380	0.519	همگام
abroad	0.677	0.596	0.561	خارج از کشور
abrogate	0.327	0.510	0.594	لغو کردن
abrupt	0.271	0.819	0.545	ناگهانی
abruptly	0.250	0.808	0.556	ناگهان
abscess	0.154	0.451	0.349	آبسه
absence	0.153	0.235	0.266	غیبت
absent	0.177	0.221	0.116	غایب
absentee	0.235	0.330	0.279	غایب
absenteeism	0.404	0.273	0.357	غیبت
absinthe	0.481	0.510	0.462	ابسنت
absolute	0.526	0.510	0.827	مطلق
absolution	0.715	0.500	0.664	عفو
absolve	0.684	0.449	0.660	تبرئه کردن
absorb	0.469	0.558	0.670	جذب
absorbed	0.490	0.471	0.519	جذب شده است
absorbent	0.552	0.394	0.718	جاذب
absorbing	0.490	0.490	0.578	جذب کننده
absorption	0.609	0.422	0.446	جذب
abstain	0.385	0.385	0.427	خودداری کنند
abstention	0.271	0.264	0.509	ممتنع
abstinence	0.260	0.392	0.429	پرهیز
abstract	0.438	0.292	0.444	چکیده
abstraction	0.469	0.439	0.525	انتزاع - مفهوم - برداشت
absurd	0.188	0.656	0.284	چرند
absurdity	0.115	0.528	0.227	پوچی
abundance	0.812	0.690	0.852	فراوانی
abundant	0.958	0.590	0.760	فراوان
abuse	0.071	0.873	0.469	سو استفاده کردن
abused	0.021	0.874	0.235	مورد سوء استفاده قرار گرفته است
abusive	0.125	0.903	0.567	بد لحن
abutment	0.500	0.265	0.616	تکیه گاه
aby	0.385	0.452	0.368	ابی
abysmal	0.250	0.710	0.598	افتضاح
abyss	0.353	0.725	0.296	پرتگاه
academic	0.781	0.420	0.812	علمی
academy	0.704	0.473	0.792	آکادمی
accede	0.698	0.510	0.537	ملحق شدن
accelerant	0.643	0.844	0.802	شتاب دهنده
accelerate	0.615	0.902	0.759	سرعت بخشیدن
accelerated	0.610	0.812	0.682	شتاب گرفت
acceleration	0.704	0.905	0.843	شتاب
accelerator	0.593	0.830	0.812	شتاب دهنده
accent	0.598	0.357	0.509	لهجه
accentuate	0.673	0.556	0.667	برجسته کردن
accept	0.847	0.286	0.565	تایید کنید
acceptable	0.812	0.286	0.583	قابل قبول
acceptance	0.833	0.287	0.755	پذیرش - پذیرفته شدن
acceptances	0.847	0.413	0.648	پذیرش ها
access	0.714	0.472	0.567	دسترسی داشته باشید
accessible	0.796	0.410	0.645	در دسترس
accession	0.612	0.383	0.636	الحاق
accessory	0.562	0.292	0.445	لوازم جانبی
accident	0.125	0.908	0.336	تصادف
accidental	0.319	0.784	0.307	تصادفی
accidentally	0.333	0.741	0.333	به طور تصادفی
acclaim	0.562	0.809	0.718	تحسین
accolade	0.688	0.591	0.775	تحسین
accommodate	0.844	0.375	0.566	تطبیق
accommodation	0.817	0.415	0.587	محل اقامت
accompaniment	0.740	0.479	0.695	همراهی
accompany	0.833	0.406	0.585	همراهی کردن
accompanying	0.787	0.460	0.582	مشایعت
accomplice	0.408	0.580	0.510	همدستان
accomplish	0.929	0.673	0.816	انجام دهد
accomplished	0.870	0.520	0.798	انجام شد
