English Word	Valence	Arousal	Dominance	Turkish Word
aaaaaaah	0.479	0.606	0.291	aaaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	yerdomuzu
aback	0.385	0.407	0.288	şaşırmak
abacus	0.510	0.276	0.485	abaküs
abalone	0.500	0.480	0.412	deniz kulağı
abandon	0.052	0.519	0.245	terk etmek
abandoned	0.046	0.481	0.130	terk edilmiş
abandonment	0.128	0.430	0.202	terk etme
abashed	0.177	0.644	0.307	utanmış
abate	0.255	0.696	0.604	hafifletmek
abatement	0.388	0.338	0.336	azaltma
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	manastır
abbot	0.427	0.321	0.483	başrahip
abbreviate	0.531	0.375	0.330	kısaltmak
abbreviation	0.469	0.306	0.345	kısaltma
abdomen	0.469	0.462	0.471	karın
abdominal	0.490	0.456	0.445	karın
abduct	0.173	0.720	0.615	kaçırmak
abduction	0.062	0.990	0.673	kaçırma
aberrant	0.146	0.765	0.431	anormal
aberration	0.125	0.816	0.417	sapma
abeyance	0.330	0.510	0.292	bekleme
abhor	0.125	0.602	0.349	iğrenmek
abhorrence	0.167	0.684	0.420	tiksinme
abhorrent	0.229	0.750	0.474	iğrenç
abide	0.635	0.354	0.705	uymak
abiding	0.796	0.327	0.750	sadık
ability	0.875	0.510	0.816	kabiliyet
abject	0.354	0.590	0.417	sefil
ablation	0.418	0.500	0.500	ablasyon
ablaze	0.240	0.847	0.525	alev alev yanmak
able	0.786	0.500	0.810	hünerli
abnormal	0.137	0.604	0.309	Anormal
abnormality	0.092	0.655	0.383	anormallik
aboard	0.698	0.284	0.481	gemide
abode	0.620	0.302	0.500	mesken
abolish	0.448	0.615	0.529	ortadan kaldırmak
abolition	0.323	0.690	0.529	kaldırılması
abominable	0.120	0.731	0.482	iğrenç
abominate	0.198	0.788	0.366	iğrenç
abomination	0.078	0.755	0.518	iğrenç
aboriginal	0.448	0.427	0.542	yerli
abort	0.153	0.686	0.429	iptal etmek
abortion	0.082	0.770	0.283	kürtaj
abortive	0.090	0.776	0.280	kürtaj
abound	0.704	0.490	0.681	bol
abovementioned	0.541	0.298	0.509	yukarıda belirtilen
abracadabra	0.673	0.632	0.434	abrakadabra
abrasion	0.406	0.592	0.441	aşınma
abrasive	0.392	0.610	0.593	aşındırıcı
abreast	0.635	0.380	0.519	yan yana
abroad	0.677	0.596	0.561	yurt dışı
abrogate	0.327	0.510	0.594	yürürlükten kaldırmak
abrupt	0.271	0.819	0.545	ani
abruptly	0.250	0.808	0.556	aniden
abscess	0.154	0.451	0.349	apse
absence	0.153	0.235	0.266	yokluk
absent	0.177	0.221	0.116	mevcut olmayan
absentee	0.235	0.330	0.279	devamsızlık
absenteeism	0.404	0.273	0.357	devamsızlık
absinthe	0.481	0.510	0.462	absinthe
absolute	0.526	0.510	0.827	mutlak
absolution	0.715	0.500	0.664	bağışlanma
absolve	0.684	0.449	0.660	aklamak
absorb	0.469	0.558	0.670	absorbe etmek
absorbed	0.490	0.471	0.519	emilen
absorbent	0.552	0.394	0.718	emici
absorbing	0.490	0.490	0.578	Sürükleyici
absorption	0.609	0.422	0.446	emilim
abstain	0.385	0.385	0.427	çekimser kalmak
abstention	0.271	0.264	0.509	çekimser kalma
abstinence	0.260	0.392	0.429	yoksunluk
abstract	0.438	0.292	0.444	Öz
abstraction	0.469	0.439	0.525	soyutlama
absurd	0.188	0.656	0.284	absürt
absurdity	0.115	0.528	0.227	saçmalık
abundance	0.812	0.690	0.852	bolluk
abundant	0.958	0.590	0.760	bolluk
abuse	0.071	0.873	0.469	taciz
abused	0.021	0.874	0.235	suistimal edilmiş
abusive	0.125	0.903	0.567	küfürlü
abutment	0.500	0.265	0.616	dayanak
aby	0.385	0.452	0.368	uçurum
abysmal	0.250	0.710	0.598	dipsiz
abyss	0.353	0.725	0.296	Uçurum
academic	0.781	0.420	0.812	akademik
academy	0.704	0.473	0.792	akademi
accede	0.698	0.510	0.537	katılmak
accelerant	0.643	0.844	0.802	hızlandırıcı
accelerate	0.615	0.902	0.759	hızlanmak
accelerated	0.610	0.812	0.682	hızlandırılmış
acceleration	0.704	0.905	0.843	hızlanma
accelerator	0.593	0.830	0.812	gaz pedalı
accent	0.598	0.357	0.509	Aksan
accentuate	0.673	0.556	0.667	vurgulamak
accept	0.847	0.286	0.565	kabul
acceptable	0.812	0.286	0.583	kabul edilebilir
acceptance	0.833	0.287	0.755	kabul
acceptances	0.847	0.413	0.648	kabuller
access	0.714	0.472	0.567	erişim
accessible	0.796	0.410	0.645	erişilebilir
accession	0.612	0.383	0.636	katılım
accessory	0.562	0.292	0.445	aksesuar
accident	0.125	0.908	0.336	kaza
accidental	0.319	0.784	0.307	tesadüfi
accidentally	0.333	0.741	0.333	kazara
acclaim	0.562	0.809	0.718	beğeni
accolade	0.688	0.591	0.775	övgü
accommodate	0.844	0.375	0.566	Karşılamak
accommodation	0.817	0.415	0.587	konaklama
accompaniment	0.740	0.479	0.695	eşlik
accompany	0.833	0.406	0.585	eşlik etmek
accompanying	0.787	0.460	0.582	Eşlik eden
accomplice	0.408	0.580	0.510	suç ortağı
accomplish	0.929	0.673	0.816	sonuçlandırmak
accomplished	0.870	0.520	0.798	başarılmış
accomplishment	0.917	0.694	0.888	başarı
accord	0.898	0.264	0.382	anlaşma
accordance	0.659	0.349	0.600	uyum
accordion	0.604	0.490	0.361	akordeon
account	0.531	0.347	0.472	hesap
accountability	0.755	0.537	0.833	Hesap verebilirlik
accountable	0.709	0.282	0.777	sorumlu
accountant	0.625	0.450	0.639	Muhasebeci
accounting	0.552	0.390	0.677	muhasebe
accounts	0.592	0.340	0.471	hesaplar
accredited	0.669	0.479	0.768	akredite
accretion	0.448	0.519	0.672	yığılma
accrue	0.520	0.481	0.602	tahakkuk etmek
accueil	0.450	0.451	0.470	acele etmek
accumulate	0.573	0.536	0.607	biriktirmek
accumulation	0.479	0.527	0.600	birikim
accuracy	0.604	0.481	0.802	kesinlik
accurate	0.743	0.360	0.737	kesin
accursed	0.135	0.745	0.345	lanetli
accusation	0.073	0.718	0.564	suçlama
accusative	0.198	0.755	0.482	suçlayıcı
accuse	0.133	0.752	0.500	suçlamak
accused	0.130	0.670	0.420	sanık
accuser	0.122	0.779	0.615	suçlayıcı
accusing	0.156	0.745	0.324	suçlamak
accustomed	0.542	0.365	0.441	alışmış
ace	0.643	0.481	0.546	as
acetic	0.333	0.420	0.519	asetik
acetylene	0.306	0.469	0.509	asetilen
ache	0.146	0.760	0.312	ağrı
achieve	0.816	0.545	0.843	başarmak
achieved	0.896	0.519	0.775	ulaşıldı
achievement	0.896	0.808	0.759	başarı
aching	0.053	0.880	0.348	ağrıyan
achy	0.167	0.840	0.373	ağrılı
acid	0.265	0.642	0.566	asit
