English Word	Valence	Arousal	Dominance	French Word
aaaaaaah	0.479	0.606	0.291	aaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	Aardvark
aback	0.385	0.407	0.288	surpris
abacus	0.510	0.276	0.485	abaque
abalone	0.500	0.480	0.412	ormeau
abandon	0.052	0.519	0.245	abandonner
abandoned	0.046	0.481	0.130	abandonné
abandonment	0.128	0.430	0.202	abandon
abashed	0.177	0.644	0.307	confus
abate	0.255	0.696	0.604	diminuer
abatement	0.388	0.338	0.336	réduction
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	une abbaye
abbot	0.427	0.321	0.483	abbé
abbreviate	0.531	0.375	0.330	abréger
abbreviation	0.469	0.306	0.345	abréviation
abdomen	0.469	0.462	0.471	abdomen
abdominal	0.490	0.456	0.445	abdominal
abduct	0.173	0.720	0.615	enlever
abduction	0.062	0.990	0.673	enlèvement
aberrant	0.146	0.765	0.431	aberrant
aberration	0.125	0.816	0.417	aberration
abeyance	0.330	0.510	0.292	situation en suspens
abhor	0.125	0.602	0.349	abhorrer
abhorrence	0.167	0.684	0.420	horreur
abhorrent	0.229	0.750	0.474	odieux
abide	0.635	0.354	0.705	se conformer
abiding	0.796	0.327	0.750	respectueux
ability	0.875	0.510	0.816	aptitude
abject	0.354	0.590	0.417	abject
ablation	0.418	0.500	0.500	ablation
ablaze	0.240	0.847	0.525	en feu
able	0.786	0.500	0.810	pouvoir
abnormal	0.137	0.604	0.309	anormal
abnormality	0.092	0.655	0.383	anomalie
aboard	0.698	0.284	0.481	une planche
abode	0.620	0.302	0.500	demeure
abolish	0.448	0.615	0.529	abolir
abolition	0.323	0.690	0.529	abolition
abominable	0.120	0.731	0.482	abominable
abominate	0.198	0.788	0.366	abominer
abomination	0.078	0.755	0.518	abomination
aboriginal	0.448	0.427	0.542	Aborigène
abort	0.153	0.686	0.429	avorter
abortion	0.082	0.770	0.283	Avortement
abortive	0.090	0.776	0.280	abortif
abound	0.704	0.490	0.681	abonder
abovementioned	0.541	0.298	0.509	mentionné ci-dessus
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	abrasion
abrasive	0.392	0.610	0.593	abrasif
abreast	0.635	0.380	0.519	au courant
abroad	0.677	0.596	0.561	à l'étranger
abrogate	0.327	0.510	0.594	abroger
abrupt	0.271	0.819	0.545	brusque
abruptly	0.250	0.808	0.556	brusquement
abscess	0.154	0.451	0.349	abcès
absence	0.153	0.235	0.266	absence
absent	0.177	0.221	0.116	absent
absentee	0.235	0.330	0.279	absent
absenteeism	0.404	0.273	0.357	absentéisme
