English Word	Valence	Arousal	Dominance	Slovak Word
aaaaaaah	0.479	0.606	0.291	aaaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	zaskočený
abacus	0.510	0.276	0.485	počítadlo
abalone	0.500	0.480	0.412	mušle
abandon	0.052	0.519	0.245	opustiť
abandoned	0.046	0.481	0.130	opustené
abandonment	0.128	0.430	0.202	opustenie
abashed	0.177	0.644	0.307	zahanbený
abate	0.255	0.696	0.604	zmierniť
abatement	0.388	0.338	0.336	znižovanie
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	opátstva
abbot	0.427	0.321	0.483	opat
abbreviate	0.531	0.375	0.330	skrátiť
abbreviation	0.469	0.306	0.345	skratka
abdomen	0.469	0.462	0.471	brucha
abdominal	0.490	0.456	0.445	brušnej
abduct	0.173	0.720	0.615	uniesť
abduction	0.062	0.990	0.673	únosu
aberrant	0.146	0.765	0.431	aberantný
aberration	0.125	0.816	0.417	aberácie
abeyance	0.330	0.510	0.292	prestávka
abhor	0.125	0.602	0.349	nenávidieť
abhorrence	0.167	0.684	0.420	ohavnosť
abhorrent	0.229	0.750	0.474	odporný
abide	0.635	0.354	0.705	dodržať
abiding	0.796	0.327	0.750	zotrvávanie
ability	0.875	0.510	0.816	schopnosť
abject	0.354	0.590	0.417	biedny
ablation	0.418	0.500	0.500	ablácia
ablaze	0.240	0.847	0.525	horieť
able	0.786	0.500	0.810	schopný
abnormal	0.137	0.604	0.309	abnormálne
abnormality	0.092	0.655	0.383	abnormalita
aboard	0.698	0.284	0.481	na palube
abode	0.620	0.302	0.500	príbytok
abolish	0.448	0.615	0.529	zrušiť
abolition	0.323	0.690	0.529	zrušenie
abominable	0.120	0.731	0.482	ohavný
abominate	0.198	0.788	0.366	ohavný
abomination	0.078	0.755	0.518	ohavnosť
aboriginal	0.448	0.427	0.542	domorodý
abort	0.153	0.686	0.429	prerušiť
abortion	0.082	0.770	0.283	potrat
abortive	0.090	0.776	0.280	neúspešný
abound	0.704	0.490	0.681	oplývať
abovementioned	0.541	0.298	0.509	vyššie uvedené
abracadabra	0.673	0.632	0.434	abrakadabra
abrasion	0.406	0.592	0.441	obrusovanie
abrasive	0.392	0.610	0.593	abrazívne
abreast	0.635	0.380	0.519	vedľa seba
abroad	0.677	0.596	0.561	v zahraničí
abrogate	0.327	0.510	0.594	zrušiť
abrupt	0.271	0.819	0.545	náhle
abruptly	0.250	0.808	0.556	náhle
abscess	0.154	0.451	0.349	absces
absence	0.153	0.235	0.266	neprítomnosť
absent	0.177	0.221	0.116	neprítomný
absentee	0.235	0.330	0.279	neprítomný
absenteeism	0.404	0.273	0.357	absencia
absinthe	0.481	0.510	0.462	absint
absolute	0.526	0.510	0.827	absolútne
absolution	0.715	0.500	0.664	rozhrešenie
absolve	0.684	0.449	0.660	ospravedlniť
absorb	0.469	0.558	0.670	absorbovať
absorbed	0.490	0.471	0.519	absorbované
absorbent	0.552	0.394	0.718	absorpčný
absorbing	0.490	0.490	0.578	absorbujúce
absorption	0.609	0.422	0.446	absorpcie
abstain	0.385	0.385	0.427	zdržať sa hlasovania
abstention	0.271	0.264	0.509	zdržania sa hlasovania
abstinence	0.260	0.392	0.429	abstinencia
abstract	0.438	0.292	0.444	abstraktné
abstraction	0.469	0.439	0.525	abstrakcie
absurd	0.188	0.656	0.284	absurdné
absurdity	0.115	0.528	0.227	absurdnosť
abundance	0.812	0.690	0.852	hojnosti
abundant	0.958	0.590	0.760	hojný
abuse	0.071	0.873	0.469	zneužívanie
abused	0.021	0.874	0.235	zneužívané
abusive	0.125	0.903	0.567	urážlivé
abutment	0.500	0.265	0.616	opora
aby	0.385	0.452	0.368	priepasť
abysmal	0.250	0.710	0.598	priepastný
abyss	0.353	0.725	0.296	priepasť
academic	0.781	0.420	0.812	akademický
academy	0.704	0.473	0.792	akadémie
accede	0.698	0.510	0.537	pristúpiť
accelerant	0.643	0.844	0.802	urýchľovač
accelerate	0.615	0.902	0.759	urýchliť
accelerated	0.610	0.812	0.682	zrýchlené
acceleration	0.704	0.905	0.843	zrýchlenie
accelerator	0.593	0.830	0.812	urýchľovač
accent	0.598	0.357	0.509	prízvuk
accentuate	0.673	0.556	0.667	zdôrazniť
accept	0.847	0.286	0.565	súhlasiť
acceptable	0.812	0.286	0.583	prijateľné
acceptance	0.833	0.287	0.755	prijatie
acceptances	0.847	0.413	0.648	prijatia
access	0.714	0.472	0.567	prístup
accessible	0.796	0.410	0.645	prístupný
accession	0.612	0.383	0.636	pristúpenie
accessory	0.562	0.292	0.445	príslušenstvo
accident	0.125	0.908	0.336	nehoda
accidental	0.319	0.784	0.307	náhodný
accidentally	0.333	0.741	0.333	náhodne
acclaim	0.562	0.809	0.718	uznanie
accolade	0.688	0.591	0.775	vyznamenanie
accommodate	0.844	0.375	0.566	ubytovať
accommodation	0.817	0.415	0.587	ubytovanie
accompaniment	0.740	0.479	0.695	sprevádzanie
accompany	0.833	0.406	0.585	sprevádzať
accompanying	0.787	0.460	0.582	sprevádzajúci
accomplice	0.408	0.580	0.510	spolupáchateľ
accomplish	0.929	0.673	0.816	splniť
accomplished	0.870	0.520	0.798	splnené
accomplishment	0.917	0.694	0.888	úspech
accord	0.898	0.264	0.382	súhlas
accordance	0.659	0.349	0.600	súlad
accordion	0.604	0.490	0.361	akordeón
account	0.531	0.347	0.472	účtu
accountability	0.755	0.537	0.833	zodpovednosť
accountable	0.709	0.282	0.777	zodpovedný
accountant	0.625	0.450	0.639	účtovník
accounting	0.552	0.390	0.677	účtovníctvo
accounts	0.592	0.340	0.471	účtov
accredited	0.669	0.479	0.768	akreditovaný
accretion	0.448	0.519	0.672	narastanie
accrue	0.520	0.481	0.602	pribúdať
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	hromadiť
accumulation	0.479	0.527	0.600	akumulácia
accuracy	0.604	0.481	0.802	presnosť
accurate	0.743	0.360	0.737	presné
accursed	0.135	0.745	0.345	prekliaty
accusation	0.073	0.718	0.564	obvinenie
accusative	0.198	0.755	0.482	akuzatív
accuse	0.133	0.752	0.500	obviňovať
accused	0.130	0.670	0.420	obvinený
accuser	0.122	0.779	0.615	žalobca
accusing	0.156	0.745	0.324	obviňujúci
accustomed	0.542	0.365	0.441	zvyknutý
ace	0.643	0.481	0.546	eso
acetic	0.333	0.420	0.519	octová
acetylene	0.306	0.469	0.509	acetylén
ache	0.146	0.760	0.312	bolesť
achieve	0.816	0.545	0.843	dosiahnuť
achieved	0.896	0.519	0.775	dosiahnuté
achievement	0.896	0.808	0.759	úspech
aching	0.053	0.880	0.348	boľavý
achy	0.167	0.840	0.373	bolieť
acid	0.265	0.642	0.566	kyselina
acidity	0.156	0.663	0.360	kyslosť
