English Word	Valence	Arousal	Dominance	Kurdish-Kurmanji Word
aaaaaaah	0.479	0.606	0.291	aaaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	aback
abacus	0.510	0.276	0.485	abacus
abalone	0.500	0.480	0.412	abalone
abandon	0.052	0.519	0.245	terikandin
abandoned	0.046	0.481	0.130	terikandin
abandonment	0.128	0.430	0.202	terikandin
abashed	0.177	0.644	0.307	hejandin
abate	0.255	0.696	0.604	kêm kirin
abatement	0.388	0.338	0.336	kêmkirin
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	abbey
abbot	0.427	0.321	0.483	abbot
abbreviate	0.531	0.375	0.330	kinkirin
abbreviation	0.469	0.306	0.345	kinkirî
abdomen	0.469	0.462	0.471	binzik
abdominal	0.490	0.456	0.445	zik
abduct	0.173	0.720	0.615	revandin
abduction	0.062	0.990	0.673	revandinî
aberrant	0.146	0.765	0.431	aberrant
aberration	0.125	0.816	0.417	aberration
abeyance	0.330	0.510	0.292	sekinîn
abhor	0.125	0.602	0.349	nefret kirin
abhorrence	0.167	0.684	0.420	nefretkirin
abhorrent	0.229	0.750	0.474	nefret
abide	0.635	0.354	0.705	debirandin
abiding	0.796	0.327	0.750	abiding
ability	0.875	0.510	0.816	kêrhatî
abject	0.354	0.590	0.417	abject
ablation	0.418	0.500	0.500	ablation
ablaze	0.240	0.847	0.525	arpêketî
able	0.786	0.500	0.810	kêrhat
abnormal	0.137	0.604	0.309	nenormal
abnormality	0.092	0.655	0.383	anormalî
aboard	0.698	0.284	0.481	li ser
abode	0.620	0.302	0.500	rûniştiye
abolish	0.448	0.615	0.529	rakirin
abolition	0.323	0.690	0.529	betalkirin
abominable	0.120	0.731	0.482	nefret
abominate	0.198	0.788	0.366	nefret kirin
abomination	0.078	0.755	0.518	nefret
aboriginal	0.448	0.427	0.542	aborjîn
abort	0.153	0.686	0.429	betal kirin
abortion	0.082	0.770	0.283	ji berxwegirtin
abortive	0.090	0.776	0.280	abortive
abound	0.704	0.490	0.681	pirbûn
abovementioned	0.541	0.298	0.509	li jor behs kirin
abracadabra	0.673	0.632	0.434	abracadabra
abrasion	0.406	0.592	0.441	abrasion
abrasive	0.392	0.610	0.593	abrasive
abreast	0.635	0.380	0.519	abreast
abroad	0.677	0.596	0.561	ji derve
abrogate	0.327	0.510	0.594	betal kirin
abrupt	0.271	0.819	0.545	seranser
abruptly	0.250	0.808	0.556	ji nişka ve
abscess	0.154	0.451	0.349	kûl
absence	0.153	0.235	0.266	neamadeyî
absent	0.177	0.221	0.116	neamade
absentee	0.235	0.330	0.279	nebûn
absenteeism	0.404	0.273	0.357	nebûn
absinthe	0.481	0.510	0.462	absinthe
absolute	0.526	0.510	0.827	absolute
absolution	0.715	0.500	0.664	absolution
absolve	0.684	0.449	0.660	betal kirin
absorb	0.469	0.558	0.670	mehandin
absorbed	0.490	0.471	0.519	hejandin
absorbent	0.552	0.394	0.718	absorbent
absorbing	0.490	0.490	0.578	vegirtin
absorption	0.609	0.422	0.446	vegirtin
abstain	0.385	0.385	0.427	bêdengmayin
abstention	0.271	0.264	0.509	betalkirin
abstinence	0.260	0.392	0.429	bêparkirin
abstract	0.438	0.292	0.444	veqetî
abstraction	0.469	0.439	0.525	abstraction
absurd	0.188	0.656	0.284	dijrast
absurdity	0.115	0.528	0.227	absurdity
abundance	0.812	0.690	0.852	zêdayî
abundant	0.958	0.590	0.760	gellek
abuse	0.071	0.873	0.469	nebaşkaranî
abused	0.021	0.874	0.235	îstîsmar kirin
abusive	0.125	0.903	0.567	rixe
abutment	0.500	0.265	0.616	abutment
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	abysmal
abyss	0.353	0.725	0.296	abyss
academic	0.781	0.420	0.812	danişgayî
academy	0.704	0.473	0.792	danişga
accede	0.698	0.510	0.537	bipejirînin
accelerant	0.643	0.844	0.802	accelerant
accelerate	0.615	0.902	0.759	lezdan
accelerated	0.610	0.812	0.682	lez kirin
acceleration	0.704	0.905	0.843	lezdanî
accelerator	0.593	0.830	0.812	pêdala xazê
accent	0.598	0.357	0.509	devok
accentuate	0.673	0.556	0.667	accentuate kirin
accept	0.847	0.286	0.565	baweranîn
acceptable	0.812	0.286	0.583	bawerbar
acceptance	0.833	0.287	0.755	bawerî
acceptances	0.847	0.413	0.648	qebûlkirinan
access	0.714	0.472	0.567	navketin
accessible	0.796	0.410	0.645	navketî
accession	0.612	0.383	0.636	tevlêbûn
accessory	0.562	0.292	0.445	perçê pêva
accident	0.125	0.908	0.336	qeza
accidental	0.319	0.784	0.307	bêqesd
accidentally	0.333	0.741	0.333	tesadûfî
acclaim	0.562	0.809	0.718	acclaim
accolade	0.688	0.591	0.775	accolade
accommodate	0.844	0.375	0.566	bicihkirin
accommodation	0.817	0.415	0.587	cih
accompaniment	0.740	0.479	0.695	hevalrêtî
accompany	0.833	0.406	0.585	hevalrêtîkirin
accompanying	0.787	0.460	0.582	bi hev re
accomplice	0.408	0.580	0.510	hevkar
accomplish	0.929	0.673	0.816	bicihanîn
accomplished	0.870	0.520	0.798	pêk anîn
accomplishment	0.917	0.694	0.888	bicihhatî
accord	0.898	0.264	0.382	lihevkirin
accordance	0.659	0.349	0.600	li gorî
accordion	0.604	0.490	0.361	akordîyon
account	0.531	0.347	0.472	konto
accountability	0.755	0.537	0.833	berpirsiyarî
accountable	0.709	0.282	0.777	berpirsîyarîn
accountant	0.625	0.450	0.639	hesabdar
accounting	0.552	0.390	0.677	hesabkirin
accounts	0.592	0.340	0.471	hesaban
accredited	0.669	0.479	0.768	pejirandî
accretion	0.448	0.519	0.672	accretion
accrue	0.520	0.481	0.602	hevgîhandin
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	hevcivandin
accumulation	0.479	0.527	0.600	serhevhatin
accuracy	0.604	0.481	0.802	tamî
accurate	0.743	0.360	0.737	tam
accursed	0.135	0.745	0.345	nifir kirin
accusation	0.073	0.718	0.564	gilî
accusative	0.198	0.755	0.482	berkar
accuse	0.133	0.752	0.500	gilîkirin
accused	0.130	0.670	0.420	gilîdar
accuser	0.122	0.779	0.615	tawanbar
accusing	0.156	0.745	0.324	tawanbar kirin
accustomed	0.542	0.365	0.441	adetî
ace	0.643	0.481	0.546	as
acetic	0.333	0.420	0.519	acetic
acetylene	0.306	0.469	0.509	acetylen
ache	0.146	0.760	0.312	êş
achieve	0.816	0.545	0.843	gîhaştin
achieved	0.896	0.519	0.775	bidestxistin
achievement	0.896	0.808	0.759	suxre
aching	0.053	0.880	0.348	êşandin
achy	0.167	0.840	0.373	achy
acid	0.265	0.642	0.566	tirş
acidity	0.156	0.663	0.360	acidity
acknowledge	0.786	0.370	0.661	nasîn
