English Word	Valence	Arousal	Dominance	Chinese-Simplified Word
aaaaaaah	0.479	0.606	0.291	啊啊啊
aaaah	0.520	0.636	0.282	啊啊啊
aardvark	0.427	0.490	0.437	土豚
aback	0.385	0.407	0.288	吃惊
abacus	0.510	0.276	0.485	算盘
abalone	0.500	0.480	0.412	鲍鱼
abandon	0.052	0.519	0.245	放弃
abandoned	0.046	0.481	0.130	弃
abandonment	0.128	0.430	0.202	放弃
abashed	0.177	0.644	0.307	羞愧
abate	0.255	0.696	0.604	减弱
abatement	0.388	0.338	0.336	减排
abba	0.562	0.500	0.480	阿爸
abbey	0.580	0.367	0.444	修道院
abbot	0.427	0.321	0.483	方丈
abbreviate	0.531	0.375	0.330	缩写
abbreviation	0.469	0.306	0.345	缩写
abdomen	0.469	0.462	0.471	腹部
abdominal	0.490	0.456	0.445	腹部
abduct	0.173	0.720	0.615	拐
abduction	0.062	0.990	0.673	绑架
aberrant	0.146	0.765	0.431	异常
aberration	0.125	0.816	0.417	像差
abeyance	0.330	0.510	0.292	暂停
abhor	0.125	0.602	0.349	痛恨
abhorrence	0.167	0.684	0.420	憎恶
abhorrent	0.229	0.750	0.474	可恶的
abide	0.635	0.354	0.705	遵守
abiding	0.796	0.327	0.750	坚守
ability	0.875	0.510	0.816	能力
abject	0.354	0.590	0.417	下贱的
ablation	0.418	0.500	0.500	消融
ablaze	0.240	0.847	0.525	燃烧的
able	0.786	0.500	0.810	有能力的
abnormal	0.137	0.604	0.309	异常
abnormality	0.092	0.655	0.383	紊乱 etc.
aboard	0.698	0.284	0.481	船上
abode	0.620	0.302	0.500	住所
abolish	0.448	0.615	0.529	废除
abolition	0.323	0.690	0.529	废除
abominable	0.120	0.731	0.482	可恶
abominate	0.198	0.788	0.366	鄙弃
abomination	0.078	0.755	0.518	厌恶
aboriginal	0.448	0.427	0.542	土著
abort	0.153	0.686	0.429	中止
abortion	0.082	0.770	0.283	流产
abortive	0.090	0.776	0.280	未遂
abound	0.704	0.490	0.681	盛产
abovementioned	0.541	0.298	0.509	上述
abracadabra	0.673	0.632	0.434	胡言乱语
abrasion	0.406	0.592	0.441	磨损
abrasive	0.392	0.610	0.593	磨料
abreast	0.635	0.380	0.519	并列
abroad	0.677	0.596	0.561	国外
abrogate	0.327	0.510	0.594	废除
abrupt	0.271	0.819	0.545	突然
abruptly	0.250	0.808	0.556	突然
abscess	0.154	0.451	0.349	脓肿
absence	0.153	0.235	0.266	缺席
absent	0.177	0.221	0.116	缺席的
absentee	0.235	0.330	0.279	缺席者
absenteeism	0.404	0.273	0.357	旷工
absinthe	0.481	0.510	0.462	苦艾酒
absolute	0.526	0.510	0.827	绝对
absolution	0.715	0.500	0.664	赦免
absolve	0.684	0.449	0.660	开脱
absorb	0.469	0.558	0.670	吸收
absorbed	0.490	0.471	0.519	吸收
absorbent	0.552	0.394	0.718	吸水
absorbing	0.490	0.490	0.578	吸收
absorption	0.609	0.422	0.446	吸收
abstain	0.385	0.385	0.427	弃权
abstention	0.271	0.264	0.509	弃权
abstinence	0.260	0.392	0.429	节制
abstract	0.438	0.292	0.444	抽象的
abstraction	0.469	0.439	0.525	抽象
absurd	0.188	0.656	0.284	荒诞
absurdity	0.115	0.528	0.227	荒谬
abundance	0.812	0.690	0.852	丰富
abundant	0.958	0.590	0.760	丰富
abuse	0.071	0.873	0.469	虐待
abused	0.021	0.874	0.235	被虐待
abusive	0.125	0.903	0.567	辱骂
abutment	0.500	0.265	0.616	邻接
aby	0.385	0.452	0.368	阿比
abysmal	0.250	0.710	0.598	糟糕透了
abyss	0.353	0.725	0.296	深渊
academic	0.781	0.420	0.812	学术的
academy	0.704	0.473	0.792	学院
accede	0.698	0.510	0.537	加入
accelerant	0.643	0.844	0.802	促进剂
accelerate	0.615	0.902	0.759	加速
accelerated	0.610	0.812	0.682	加速
acceleration	0.704	0.905	0.843	加速度
accelerator	0.593	0.830	0.812	加速器
accent	0.598	0.357	0.509	口音
accentuate	0.673	0.556	0.667	强调
accept	0.847	0.286	0.565	接受
acceptable	0.812	0.286	0.583	可接受的
acceptance	0.833	0.287	0.755	验收
acceptances	0.847	0.413	0.648	接受
access	0.714	0.472	0.567	使用权
accessible	0.796	0.410	0.645	无障碍
accession	0.612	0.383	0.636	加入
accessory	0.562	0.292	0.445	配饰
accident	0.125	0.908	0.336	事故
accidental	0.319	0.784	0.307	偶然
accidentally	0.333	0.741	0.333	偶然
acclaim	0.562	0.809	0.718	欢呼
accolade	0.688	0.591	0.775	荣誉
accommodate	0.844	0.375	0.566	容纳
accommodation	0.817	0.415	0.587	住宿
accompaniment	0.740	0.479	0.695	伴奏
accompany	0.833	0.406	0.585	陪伴
accompanying	0.787	0.460	0.582	随同
accomplice	0.408	0.580	0.510	同案犯
accomplish	0.929	0.673	0.816	完成
accomplished	0.870	0.520	0.798	完成
accomplishment	0.917	0.694	0.888	成就
accord	0.898	0.264	0.382	符合
accordance	0.659	0.349	0.600	按照
accordion	0.604	0.490	0.361	手风琴
account	0.531	0.347	0.472	帐户
