English Word	Valence	Arousal	Dominance	Malayalam Word
aaaaaaah	0.479	0.606	0.291	aaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	അമ്പരന്നു
abacus	0.510	0.276	0.485	അബാക്കസ്
abalone	0.500	0.480	0.412	അബലൻ
abandon	0.052	0.519	0.245	ഉപേക്ഷിക്കുക
abandoned	0.046	0.481	0.130	ഉപേക്ഷിച്ചു
abandonment	0.128	0.430	0.202	ഉപേക്ഷിക്കൽ
abashed	0.177	0.644	0.307	നാണിച്ചു
abate	0.255	0.696	0.604	കുറയ്ക്കുക
abatement	0.388	0.338	0.336	കുറയ്ക്കൽ
abba	0.562	0.500	0.480	അബ്ബാ
abbey	0.580	0.367	0.444	ആശ്രമം
abbot	0.427	0.321	0.483	മഠാധിപതി
abbreviate	0.531	0.375	0.330	ചുരുക്കി
abbreviation	0.469	0.306	0.345	ചുരുക്കെഴുത്ത്
abdomen	0.469	0.462	0.471	ഉദരം
abdominal	0.490	0.456	0.445	ഉദരഭാഗം
abduct	0.173	0.720	0.615	തട്ടിക്കൊണ്ടുപോകുക
abduction	0.062	0.990	0.673	തട്ടിക്കൊണ്ടുപോകൽ
aberrant	0.146	0.765	0.431	വ്യതിചലനം
aberration	0.125	0.816	0.417	അപഭ്രംശം
abeyance	0.330	0.510	0.292	ഉപേക്ഷിക്കൽ
abhor	0.125	0.602	0.349	വെറുപ്പ്
abhorrence	0.167	0.684	0.420	വെറുപ്പ്
abhorrent	0.229	0.750	0.474	വെറുപ്പുളവാക്കുന്ന
abide	0.635	0.354	0.705	പാലിക്കുക
abiding	0.796	0.327	0.750	നിലനിൽക്കുന്നു
ability	0.875	0.510	0.816	കഴിവ്
abject	0.354	0.590	0.417	നികൃഷ്ടമായ
ablation	0.418	0.500	0.500	അബ്ലേഷൻ
ablaze	0.240	0.847	0.525	ജ്വലിക്കുന്നു
able	0.786	0.500	0.810	കഴിവുള്ള
abnormal	0.137	0.604	0.309	അസാധാരണമായ
abnormality	0.092	0.655	0.383	അസാധാരണത്വം
aboard	0.698	0.284	0.481	കപ്പലിൽ
abode	0.620	0.302	0.500	വാസസ്ഥലം
abolish	0.448	0.615	0.529	ഇല്ലാതാക്കുക
abolition	0.323	0.690	0.529	ഉന്മൂലനം
abominable	0.120	0.731	0.482	മ്ലേച്ഛമായ
abominate	0.198	0.788	0.366	വെറുപ്പുളവാക്കുക
abomination	0.078	0.755	0.518	മ്ലേച്ഛത
aboriginal	0.448	0.427	0.542	ആദിവാസികൾ
abort	0.153	0.686	0.429	ഉപേക്ഷിക്കുക
