English Word	Valence	Arousal	Dominance	Slovenian Word
aaaaaaah	0.479	0.606	0.291	aaaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	nazaj
abacus	0.510	0.276	0.485	abakus
abalone	0.500	0.480	0.412	morsko uho
abandon	0.052	0.519	0.245	opustiti
abandoned	0.046	0.481	0.130	zapuščen
abandonment	0.128	0.430	0.202	opustitev
abashed	0.177	0.644	0.307	osramočen
abate	0.255	0.696	0.604	zmanjšati
abatement	0.388	0.338	0.336	zmanjšanje emisij
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	opatija
abbot	0.427	0.321	0.483	opat
abbreviate	0.531	0.375	0.330	skrajšati
abbreviation	0.469	0.306	0.345	okrajšava
abdomen	0.469	0.462	0.471	trebuh
abdominal	0.490	0.456	0.445	trebušne
abduct	0.173	0.720	0.615	ugrabiti
abduction	0.062	0.990	0.673	ugrabitev
aberrant	0.146	0.765	0.431	aberantno
aberration	0.125	0.816	0.417	aberacija
abeyance	0.330	0.510	0.292	mirovanje
abhor	0.125	0.602	0.349	gnusiti se
abhorrence	0.167	0.684	0.420	gnus
abhorrent	0.229	0.750	0.474	gnusno
abide	0.635	0.354	0.705	spoštovati
abiding	0.796	0.327	0.750	spoštovanje
ability	0.875	0.510	0.816	sposobnost
abject	0.354	0.590	0.417	abject
ablation	0.418	0.500	0.500	ablacija
ablaze	0.240	0.847	0.525	goreče
able	0.786	0.500	0.810	sposobni
abnormal	0.137	0.604	0.309	nenormalno
abnormality	0.092	0.655	0.383	nenormalnost
aboard	0.698	0.284	0.481	na krovu
abode	0.620	0.302	0.500	bivališče
abolish	0.448	0.615	0.529	ukiniti
abolition	0.323	0.690	0.529	ukinitev
abominable	0.120	0.731	0.482	gnusno
abominate	0.198	0.788	0.366	odvraten
abomination	0.078	0.755	0.518	gnusoba
aboriginal	0.448	0.427	0.542	staroselec
abort	0.153	0.686	0.429	prekiniti
abortion	0.082	0.770	0.283	splav
abortive	0.090	0.776	0.280	neuspešno
abound	0.704	0.490	0.681	obilo
abovementioned	0.541	0.298	0.509	zgoraj omenjeno
abracadabra	0.673	0.632	0.434	abrakadabra
abrasion	0.406	0.592	0.441	odrgnina
abrasive	0.392	0.610	0.593	abraziv
abreast	0.635	0.380	0.519	na tekočem
abroad	0.677	0.596	0.561	v tujini
abrogate	0.327	0.510	0.594	razveljaviti
abrupt	0.271	0.819	0.545	nenaden
abruptly	0.250	0.808	0.556	nenadoma
abscess	0.154	0.451	0.349	absces
absence	0.153	0.235	0.266	odsotnost
absent	0.177	0.221	0.116	odsoten
absentee	0.235	0.330	0.279	odsoten
absenteeism	0.404	0.273	0.357	absentizem
absinthe	0.481	0.510	0.462	absint
absolute	0.526	0.510	0.827	absolutno
absolution	0.715	0.500	0.664	odpuščanje
absolve	0.684	0.449	0.660	oprostiti
absorb	0.469	0.558	0.670	absorbirati
absorbed	0.490	0.471	0.519	absorbira
absorbent	0.552	0.394	0.718	absorbent
absorbing	0.490	0.490	0.578	absorbira
absorption	0.609	0.422	0.446	absorpcija
abstain	0.385	0.385	0.427	vzdržati se
abstention	0.271	0.264	0.509	vzdržan
abstinence	0.260	0.392	0.429	abstinenca
abstract	0.438	0.292	0.444	povzetek
abstraction	0.469	0.439	0.525	abstrakcija
absurd	0.188	0.656	0.284	absurdno
absurdity	0.115	0.528	0.227	absurdnost
abundance	0.812	0.690	0.852	obilje
abundant	0.958	0.590	0.760	obilno
abuse	0.071	0.873	0.469	zloraba
abused	0.021	0.874	0.235	zlorabljen
abusive	0.125	0.903	0.567	žaljiv
abutment	0.500	0.265	0.616	abutment
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	brezno
abyss	0.353	0.725	0.296	brezno
academic	0.781	0.420	0.812	akademski
academy	0.704	0.473	0.792	akademija
accede	0.698	0.510	0.537	pristopiti
accelerant	0.643	0.844	0.802	pospeševalnik
accelerate	0.615	0.902	0.759	pospešiti
accelerated	0.610	0.812	0.682	pospešeno
acceleration	0.704	0.905	0.843	pospešek
accelerator	0.593	0.830	0.812	pospeševalnik
accent	0.598	0.357	0.509	naglas
accentuate	0.673	0.556	0.667	poudariti
accept	0.847	0.286	0.565	sprejeti
acceptable	0.812	0.286	0.583	sprejemljivo
acceptance	0.833	0.287	0.755	sprejemanje
acceptances	0.847	0.413	0.648	sprejemi
access	0.714	0.472	0.567	dostop
accessible	0.796	0.410	0.645	dostopen
accession	0.612	0.383	0.636	pristop
accessory	0.562	0.292	0.445	pripomoček
accident	0.125	0.908	0.336	nesreča
accidental	0.319	0.784	0.307	naključno
accidentally	0.333	0.741	0.333	po naključju
acclaim	0.562	0.809	0.718	pohvaliti
accolade	0.688	0.591	0.775	priznanje
accommodate	0.844	0.375	0.566	prilagoditi
accommodation	0.817	0.415	0.587	namestitev
accompaniment	0.740	0.479	0.695	spremstvo
accompany	0.833	0.406	0.585	spremljati
accompanying	0.787	0.460	0.582	spremljevalni
accomplice	0.408	0.580	0.510	sostorilec
accomplish	0.929	0.673	0.816	doseči
accomplished	0.870	0.520	0.798	dosežen
accomplishment	0.917	0.694	0.888	dosežek
accord	0.898	0.264	0.382	soglasje
accordance	0.659	0.349	0.600	skladnost
accordion	0.604	0.490	0.361	harmonika
account	0.531	0.347	0.472	račun
accountability	0.755	0.537	0.833	odgovornost
accountable	0.709	0.282	0.777	odgovoren
accountant	0.625	0.450	0.639	računovodja
accounting	0.552	0.390	0.677	računovodstvo
accounts	0.592	0.340	0.471	računi
accredited	0.669	0.479	0.768	akreditiran
accretion	0.448	0.519	0.672	priraščanje
accrue	0.520	0.481	0.602	nabirati
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	kopičiti
accumulation	0.479	0.527	0.600	kopičenje
accuracy	0.604	0.481	0.802	natančnost
accurate	0.743	0.360	0.737	natančno
accursed	0.135	0.745	0.345	preklet
accusation	0.073	0.718	0.564	obtožba
accusative	0.198	0.755	0.482	tožilnik
accuse	0.133	0.752	0.500	obtožiti
accused	0.130	0.670	0.420	obtožen
accuser	0.122	0.779	0.615	tožilec
accusing	0.156	0.745	0.324	obtožujoče
accustomed	0.542	0.365	0.441	navajeni
ace	0.643	0.481	0.546	as
acetic	0.333	0.420	0.519	ocetna
acetylene	0.306	0.469	0.509	acetilen
ache	0.146	0.760	0.312	bolečina
achieve	0.816	0.545	0.843	doseči
achieved	0.896	0.519	0.775	dosežen
achievement	0.896	0.808	0.759	dosežek
aching	0.053	0.880	0.348	boleče
achy	0.167	0.840	0.373	boleč
acid	0.265	0.642	0.566	kislina
acidity	0.156	0.663	0.360	kislost
acknowledge	0.786	0.370	0.661	priznati
acknowledged	0.714	0.443	0.765	priznano
