English Word	Valence	Arousal	Dominance	Finnish Word
aaaaaaah	0.479	0.606	0.291	aaaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	maasika
aback	0.385	0.407	0.288	hämmästynyt
abacus	0.510	0.276	0.485	abacus
abalone	0.500	0.480	0.412	abalone
abandon	0.052	0.519	0.245	luopua
abandoned	0.046	0.481	0.130	hylätty
abandonment	0.128	0.430	0.202	hylkääminen
abashed	0.177	0.644	0.307	hämillään
abate	0.255	0.696	0.604	laantua
abatement	0.388	0.338	0.336	vähentäminen
abba	0.562	0.500	0.480	abba
abbey	0.580	0.367	0.444	luostari
abbot	0.427	0.321	0.483	apotti
abbreviate	0.531	0.375	0.330	lyhentää
abbreviation	0.469	0.306	0.345	lyhenne
abdomen	0.469	0.462	0.471	vatsa
abdominal	0.490	0.456	0.445	vatsan-
abduct	0.173	0.720	0.615	ryöstää
abduction	0.062	0.990	0.673	sieppaus
aberrant	0.146	0.765	0.431	poikkeava
aberration	0.125	0.816	0.417	poikkeama
abeyance	0.330	0.510	0.292	keskeytys
abhor	0.125	0.602	0.349	inhoaa
abhorrence	0.167	0.684	0.420	vastenmielisyyttä
abhorrent	0.229	0.750	0.474	vastenmielistä
abide	0.635	0.354	0.705	pysyä
abiding	0.796	0.327	0.750	pysyvä
ability	0.875	0.510	0.816	kyky
abject	0.354	0.590	0.417	surkea
ablation	0.418	0.500	0.500	ablaatio
ablaze	0.240	0.847	0.525	ilmiliekeissä
able	0.786	0.500	0.810	pystyy
abnormal	0.137	0.604	0.309	epänormaalia
abnormality	0.092	0.655	0.383	poikkeavuus
aboard	0.698	0.284	0.481	kyytiin
abode	0.620	0.302	0.500	asuinpaikka
abolish	0.448	0.615	0.529	poistaa
abolition	0.323	0.690	0.529	poistaminen
abominable	0.120	0.731	0.482	inhottavaa
abominate	0.198	0.788	0.366	inhota
abomination	0.078	0.755	0.518	kauhistus
aboriginal	0.448	0.427	0.542	aboriginaali
abort	0.153	0.686	0.429	keskeyttää
abortion	0.082	0.770	0.283	abortti
abortive	0.090	0.776	0.280	epäonnistunut
abound	0.704	0.490	0.681	runsaasti
abovementioned	0.541	0.298	0.509	yllämainittu
abracadabra	0.673	0.632	0.434	abrakadabra
abrasion	0.406	0.592	0.441	hankausta
abrasive	0.392	0.610	0.593	hankaava
abreast	0.635	0.380	0.519	perässä
abroad	0.677	0.596	0.561	ulkomailla
abrogate	0.327	0.510	0.594	kumota
abrupt	0.271	0.819	0.545	äkillinen
abruptly	0.250	0.808	0.556	yhtäkkiä
abscess	0.154	0.451	0.349	paise
absence	0.153	0.235	0.266	poissaolo
absent	0.177	0.221	0.116	poissa
absentee	0.235	0.330	0.279	poissaolija
absenteeism	0.404	0.273	0.357	poissaolot
absinthe	0.481	0.510	0.462	absintti
absolute	0.526	0.510	0.827	ehdoton
absolution	0.715	0.500	0.664	anteeksianto
absolve	0.684	0.449	0.660	vapauttaa
absorb	0.469	0.558	0.670	omaksua
absorbed	0.490	0.471	0.519	imeytyy
absorbent	0.552	0.394	0.718	imukykyinen
absorbing	0.490	0.490	0.578	imevää
absorption	0.609	0.422	0.446	imeytyminen
abstain	0.385	0.385	0.427	pidättäytyä äänestämästä
abstention	0.271	0.264	0.509	tyhjää
abstinence	0.260	0.392	0.429	raittiutta
abstract	0.438	0.292	0.444	abstrakti
abstraction	0.469	0.439	0.525	abstraktio
absurd	0.188	0.656	0.284	absurdia
absurdity	0.115	0.528	0.227	absurdia
abundance	0.812	0.690	0.852	yltäkylläisyys
abundant	0.958	0.590	0.760	runsas
abuse	0.071	0.873	0.469	väärinkäyttö
abused	0.021	0.874	0.235	väärin käytetty
abusive	0.125	0.903	0.567	loukkaavaa
abutment	0.500	0.265	0.616	abutmentti
aby	0.385	0.452	0.368	aby
abysmal	0.250	0.710	0.598	synkkä
abyss	0.353	0.725	0.296	kuiluun
academic	0.781	0.420	0.812	akateeminen
academy	0.704	0.473	0.792	akatemia
accede	0.698	0.510	0.537	liittyä
accelerant	0.643	0.844	0.802	kiihdytin
accelerate	0.615	0.902	0.759	kiihdyttää
accelerated	0.610	0.812	0.682	kiihdytetty
acceleration	0.704	0.905	0.843	kiihtyvyys
accelerator	0.593	0.830	0.812	kiihdytin
accent	0.598	0.357	0.509	aksentti
accentuate	0.673	0.556	0.667	korostaa
accept	0.847	0.286	0.565	hyväksyä
acceptable	0.812	0.286	0.583	hyväksyttävää
acceptance	0.833	0.287	0.755	hyväksyminen
acceptances	0.847	0.413	0.648	hyväksynnät
access	0.714	0.472	0.567	pääsy
accessible	0.796	0.410	0.645	saatavilla
accession	0.612	0.383	0.636	liittyminen
accessory	0.562	0.292	0.445	lisävaruste
accident	0.125	0.908	0.336	onnettomuus
accidental	0.319	0.784	0.307	vahingossa
accidentally	0.333	0.741	0.333	vahingossa
acclaim	0.562	0.809	0.718	kiitosta
accolade	0.688	0.591	0.775	kunnianosoitus
accommodate	0.844	0.375	0.566	majoittaa
accommodation	0.817	0.415	0.587	majoitus
accompaniment	0.740	0.479	0.695	säestys
accompany	0.833	0.406	0.585	mukana
accompanying	0.787	0.460	0.582	mukana
accomplice	0.408	0.580	0.510	rikoskumppani
accomplish	0.929	0.673	0.816	saavuttaa
accomplished	0.870	0.520	0.798	saavutettu
accomplishment	0.917	0.694	0.888	saavutus
accord	0.898	0.264	0.382	sopimusta
accordance	0.659	0.349	0.600	mukaisesti
accordion	0.604	0.490	0.361	harmonikka
account	0.531	0.347	0.472	tili
accountability	0.755	0.537	0.833	vastuullisuus
accountable	0.709	0.282	0.777	vastuussa
accountant	0.625	0.450	0.639	kirjanpitäjä
accounting	0.552	0.390	0.677	kirjanpito
accounts	0.592	0.340	0.471	tilit
accredited	0.669	0.479	0.768	akkreditoitu
accretion	0.448	0.519	0.672	vesijättö
accrue	0.520	0.481	0.602	kertyä
accueil	0.450	0.451	0.470	accueil
accumulate	0.573	0.536	0.607	kerääntyä
accumulation	0.479	0.527	0.600	kertyminen
accuracy	0.604	0.481	0.802	tarkkuus
accurate	0.743	0.360	0.737	tarkka
accursed	0.135	0.745	0.345	kirottu
accusation	0.073	0.718	0.564	syytös
accusative	0.198	0.755	0.482	akkusatiivi
accuse	0.133	0.752	0.500	syyttää
accused	0.130	0.670	0.420	syytetty
accuser	0.122	0.779	0.615	syyttäjä
accusing	0.156	0.745	0.324	syyttävä
accustomed	0.542	0.365	0.441	tottunut
ace	0.643	0.481	0.546	ässä
acetic	0.333	0.420	0.519	etikka
acetylene	0.306	0.469	0.509	asetyleeni
ache	0.146	0.760	0.312	särky
achieve	0.816	0.545	0.843	saavuttaa
achieved	0.896	0.519	0.775	saavutettu
achievement	0.896	0.808	0.759	saavutus
aching	0.053	0.880	0.348	kipeä
achy	0.167	0.840	0.373	kipeä
