English Word	Valence	Arousal	Dominance	Arabic Word
aaaaaaah	0.479	0.606	0.291	aaaaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	خنزير الأرض
aback	0.385	0.407	0.288	فوجئ
abacus	0.510	0.276	0.485	طبلية تاج
abalone	0.500	0.480	0.412	أذن البحر
abandon	0.052	0.519	0.245	تخلى
abandoned	0.046	0.481	0.130	مهجور
abandonment	0.128	0.430	0.202	التخلي عن
abashed	0.177	0.644	0.307	خجول
abate	0.255	0.696	0.604	خف
abatement	0.388	0.338	0.336	تخفيف
abba	0.562	0.500	0.480	أبا
abbey	0.580	0.367	0.444	دير
abbot	0.427	0.321	0.483	رئيس الدير
abbreviate	0.531	0.375	0.330	اختصر
abbreviation	0.469	0.306	0.345	اختصار
abdomen	0.469	0.462	0.471	البطن
abdominal	0.490	0.456	0.445	البطني
abduct	0.173	0.720	0.615	اختطاف
abduction	0.062	0.990	0.673	اختطاف
aberrant	0.146	0.765	0.431	ضلال
aberration	0.125	0.816	0.417	انحراف
abeyance	0.330	0.510	0.292	تعليق
abhor	0.125	0.602	0.349	يبغض
abhorrence	0.167	0.684	0.420	اشمئزاز
abhorrent	0.229	0.750	0.474	مقيت
abide	0.635	0.354	0.705	يلتزم
abiding	0.796	0.327	0.750	يلتزم
ability	0.875	0.510	0.816	قدرة
abject	0.354	0.590	0.417	حقير
ablation	0.418	0.500	0.500	استئصال
ablaze	0.240	0.847	0.525	مشتعل
able	0.786	0.500	0.810	قادر
abnormal	0.137	0.604	0.309	غير طبيعي
abnormality	0.092	0.655	0.383	اضطراب
aboard	0.698	0.284	0.481	على متن سفينة
abode	0.620	0.302	0.500	مسكن
abolish	0.448	0.615	0.529	تلغي
abolition	0.323	0.690	0.529	إلغاء
abominable	0.120	0.731	0.482	بغيضة
abominate	0.198	0.788	0.366	مكروه
abomination	0.078	0.755	0.518	رجس - مقت شديد، عمل بغيض
aboriginal	0.448	0.427	0.542	من السكان الأصليين
abort	0.153	0.686	0.429	إجهاض
abortion	0.082	0.770	0.283	إجهاض
abortive	0.090	0.776	0.280	مجهض
abound	0.704	0.490	0.681	يزخر
abovementioned	0.541	0.298	0.509	المذكورة أعلاه
abracadabra	0.673	0.632	0.434	تعويذة
abrasion	0.406	0.592	0.441	تآكل
abrasive	0.392	0.610	0.593	كاشط
abreast	0.635	0.380	0.519	جنبا إلى جنب
abroad	0.677	0.596	0.561	خارج البلاد
abrogate	0.327	0.510	0.594	فسخ
abrupt	0.271	0.819	0.545	شديد الأنحدار
abruptly	0.250	0.808	0.556	بشكل مفاجئ
abscess	0.154	0.451	0.349	خراج
absence	0.153	0.235	0.266	غياب
absent	0.177	0.221	0.116	غائب
absentee	0.235	0.330	0.279	متغيب عن العمل
absenteeism	0.404	0.273	0.357	التغيب
absinthe	0.481	0.510	0.462	الأفسنتين
absolute	0.526	0.510	0.827	مطلق
absolution	0.715	0.500	0.664	الغفران
absolve	0.684	0.449	0.660	يعفي
absorb	0.469	0.558	0.670	تمتص
absorbed	0.490	0.471	0.519	يمتص
absorbent	0.552	0.394	0.718	ماص
absorbing	0.490	0.490	0.578	تمتص
absorption	0.609	0.422	0.446	استيعاب
abstain	0.385	0.385	0.427	امتنع
abstention	0.271	0.264	0.509	الامتناع
abstinence	0.260	0.392	0.429	الامتناع
abstract	0.438	0.292	0.444	نبذة مختصرة
abstraction	0.469	0.439	0.525	التجريد
absurd	0.188	0.656	0.284	سخيف
absurdity	0.115	0.528	0.227	سخافة
abundance	0.812	0.690	0.852	وفرة
abundant	0.958	0.590	0.760	وفير
abuse	0.071	0.873	0.469	تعاطي
abused	0.021	0.874	0.235	سوء المعاملة
abusive	0.125	0.903	0.567	تَعَسُّفيّ
abutment	0.500	0.265	0.616	دعامة
aby	0.385	0.452	0.368	أبي
abysmal	0.250	0.710	0.598	سيئ
abyss	0.353	0.725	0.296	هاوية
academic	0.781	0.420	0.812	أكاديمي
academy	0.704	0.473	0.792	الأكاديمية
accede	0.698	0.510	0.537	تنضم
accelerant	0.643	0.844	0.802	معجل
accelerate	0.615	0.902	0.759	تسريع
accelerated	0.610	0.812	0.682	معجل
acceleration	0.704	0.905	0.843	التسريع
accelerator	0.593	0.830	0.812	مسرع
accent	0.598	0.357	0.509	لهجة
accentuate	0.673	0.556	0.667	إبراز
accept	0.847	0.286	0.565	قبول
acceptable	0.812	0.286	0.583	مقبول
acceptance	0.833	0.287	0.755	قبول
acceptances	0.847	0.413	0.648	القبول
access	0.714	0.472	0.567	التمكن من
accessible	0.796	0.410	0.645	يمكن الوصول
accession	0.612	0.383	0.636	انضمام
accessory	0.562	0.292	0.445	ملحق
accident	0.125	0.908	0.336	حادثة
accidental	0.319	0.784	0.307	عرضي
accidentally	0.333	0.741	0.333	بطريق الخطأ
acclaim	0.562	0.809	0.718	هتاف
accolade	0.688	0.591	0.775	احتضان
accommodate	0.844	0.375	0.566	يستوعب
accommodation	0.817	0.415	0.587	الإقامة
accompaniment	0.740	0.479	0.695	مرافقة
accompany	0.833	0.406	0.585	مرافقة
accompanying	0.787	0.460	0.582	مصاحب
accomplice	0.408	0.580	0.510	شريك
accomplish	0.929	0.673	0.816	ينجز
accomplished	0.870	0.520	0.798	مُتَفَوِّق
accomplishment	0.917	0.694	0.888	إنجاز
accord	0.898	0.264	0.382	اتفاق
accordance	0.659	0.349	0.600	وفقا
accordion	0.604	0.490	0.361	الأكورديون
account	0.531	0.347	0.472	الحساب
accountability	0.755	0.537	0.833	مسئولية
accountable	0.709	0.282	0.777	مسؤول
accountant	0.625	0.450	0.639	محاسب
accounting	0.552	0.390	0.677	محاسبة
accounts	0.592	0.340	0.471	حسابات
accredited	0.669	0.479	0.768	معتمد
accretion	0.448	0.519	0.672	التراكم
accrue	0.520	0.481	0.602	تعود
accueil	0.450	0.451	0.470	Accueil
accumulate	0.573	0.536	0.607	جمع
accumulation	0.479	0.527	0.600	تراكم
accuracy	0.604	0.481	0.802	صحة
accurate	0.743	0.360	0.737	دقيق
accursed	0.135	0.745	0.345	ملعون
accusation	0.073	0.718	0.564	الاتهام
accusative	0.198	0.755	0.482	حالة النصب
accuse	0.133	0.752	0.500	اتهم
accused	0.130	0.670	0.420	المتهم
accuser	0.122	0.779	0.615	المتهم
accusing	0.156	0.745	0.324	يتهم
accustomed	0.542	0.365	0.441	معتاد
ace	0.643	0.481	0.546	أجاد
acetic	0.333	0.420	0.519	اسيتيك
acetylene	0.306	0.469	0.509	الأسيتيلين
ache	0.146	0.760	0.312	وجع
achieve	0.816	0.545	0.843	التوصل
achieved	0.896	0.519	0.775	حقق
achievement	0.896	0.808	0.759	إنجاز
aching	0.053	0.880	0.348	وجع
achy	0.167	0.840	0.373	مؤلم
acid	0.265	0.642	0.566	حامض
