English Word	Valence	Arousal	Dominance	Pashto Word
aaaaaaah	0.479	0.606	0.291	aaaaah
aaaah	0.520	0.636	0.282	aaaah
aardvark	0.427	0.490	0.437	aardvark
aback	0.385	0.407	0.288	حیران
abacus	0.510	0.276	0.485	اباکوس
abalone	0.500	0.480	0.412	ابالون
abandon	0.052	0.519	0.245	پریښودل
abandoned	0.046	0.481	0.130	پریښودل
abandonment	0.128	0.430	0.202	پریښودل
abashed	0.177	0.644	0.307	خپه شوی
abate	0.255	0.696	0.604	کمول
abatement	0.388	0.338	0.336	تخفیف
abba	0.562	0.500	0.480	ابا
abbey	0.580	0.367	0.444	ابی
abbot	0.427	0.321	0.483	ایبټ
abbreviate	0.531	0.375	0.330	لنډیز
abbreviation	0.469	0.306	0.345	لنډیز
abdomen	0.469	0.462	0.471	معده
abdominal	0.490	0.456	0.445	معده
abduct	0.173	0.720	0.615	تښتول
abduction	0.062	0.990	0.673	تښتونه
aberrant	0.146	0.765	0.431	ناپاک
aberration	0.125	0.816	0.417	تخریب
abeyance	0.330	0.510	0.292	ځنډ
abhor	0.125	0.602	0.349	کرکه
abhorrence	0.167	0.684	0.420	کرکه
abhorrent	0.229	0.750	0.474	کرکه
abide	0.635	0.354	0.705	پاتې کیدل
abiding	0.796	0.327	0.750	تلپاتې
ability	0.875	0.510	0.816	وړتیا
abject	0.354	0.590	0.417	سپکاوی
ablation	0.418	0.500	0.500	خلاصون
ablaze	0.240	0.847	0.525	سوځول
able	0.786	0.500	0.810	وړ
abnormal	0.137	0.604	0.309	غیر معمولي
abnormality	0.092	0.655	0.383	غیرعادلیت
aboard	0.698	0.284	0.481	بېړۍ
abode	0.620	0.302	0.500	استوګنه
abolish	0.448	0.615	0.529	لغوه کول
abolition	0.323	0.690	0.529	له منځه وړل
abominable	0.120	0.731	0.482	ناوړه
abominate	0.198	0.788	0.366	کرکه
abomination	0.078	0.755	0.518	کرکه
aboriginal	0.448	0.427	0.542	اصلي
abort	0.153	0.686	0.429	بندول
abortion	0.082	0.770	0.283	سقط
