English Word	Valence	Arousal	Dominance	Belarusian Word
aaaaaaah	0.479	0.606	0.291	ааааааа
aaaah	0.520	0.636	0.282	аааа
aardvark	0.427	0.490	0.437	мускатнік
aback	0.385	0.407	0.288	у спіну
abacus	0.510	0.276	0.485	абак
abalone	0.500	0.480	0.412	вушка
abandon	0.052	0.519	0.245	адмовіцца
abandoned	0.046	0.481	0.130	закінуты
abandonment	0.128	0.430	0.202	закінутасць
abashed	0.177	0.644	0.307	збянтэжаны
abate	0.255	0.696	0.604	сціхаць
abatement	0.388	0.338	0.336	паслабленне
abba	0.562	0.500	0.480	абба
abbey	0.580	0.367	0.444	абацтва
abbot	0.427	0.321	0.483	настаяцель
abbreviate	0.531	0.375	0.330	скарачаць
abbreviation	0.469	0.306	0.345	абрэвіятура
abdomen	0.469	0.462	0.471	жывот
abdominal	0.490	0.456	0.445	брушной
abduct	0.173	0.720	0.615	выкрадаць
abduction	0.062	0.990	0.673	выкраданне
aberrant	0.146	0.765	0.431	аберрантны
aberration	0.125	0.816	0.417	аберацыя
abeyance	0.330	0.510	0.292	прыпыненне
abhor	0.125	0.602	0.349	гідзіцца
abhorrence	0.167	0.684	0.420	агіда
abhorrent	0.229	0.750	0.474	агідны
abide	0.635	0.354	0.705	выконваць
abiding	0.796	0.327	0.750	нязменны
ability	0.875	0.510	0.816	здольнасць
abject	0.354	0.590	0.417	панізна
ablation	0.418	0.500	0.500	абляцыя
ablaze	0.240	0.847	0.525	палаючы
able	0.786	0.500	0.810	здольны
abnormal	0.137	0.604	0.309	ненармальны
abnormality	0.092	0.655	0.383	ненармальнасць
aboard	0.698	0.284	0.481	на борце
abode	0.620	0.302	0.500	месца жыхарства
abolish	0.448	0.615	0.529	скасаваць
abolition	0.323	0.690	0.529	адмена
abominable	0.120	0.731	0.482	агідны
abominate	0.198	0.788	0.366	агідны
abomination	0.078	0.755	0.518	агіднасць
aboriginal	0.448	0.427	0.542	першабытнік
abort	0.153	0.686	0.429	перапыніць
abortion	0.082	0.770	0.283	аборт
abortive	0.090	0.776	0.280	абартыўна
abound	0.704	0.490	0.681	багата
abovementioned	0.541	0.298	0.509	вышэйзгаданы
abracadabra	0.673	0.632	0.434	абракадабра
abrasion	0.406	0.592	0.441	пацёртасць
abrasive	0.392	0.610	0.593	абразіўны
abreast	0.635	0.380	0.519	у шэраг
abroad	0.677	0.596	0.561	за мяжой
abrogate	0.327	0.510	0.594	адмяніць
abrupt	0.271	0.819	0.545	рэзкі
abruptly	0.250	0.808	0.556	рэзка
abscess	0.154	0.451	0.349	абсцэс
absence	0.153	0.235	0.266	адсутнасць
absent	0.177	0.221	0.116	адсутнічае
absentee	0.235	0.330	0.279	завочны
absenteeism	0.404	0.273	0.357	прагулы
absinthe	0.481	0.510	0.462	абсэнт
absolute	0.526	0.510	0.827	абсалютны
absolution	0.715	0.500	0.664	адпушчэнне
absolve	0.684	0.449	0.660	вызваліць
absorb	0.469	0.558	0.670	паглынаць
absorbed	0.490	0.471	0.519	паглынаецца
absorbent	0.552	0.394	0.718	абсорбент
absorbing	0.490	0.490	0.578	паглынальны
absorption	0.609	0.422	0.446	паглынанне
abstain	0.385	0.385	0.427	устрымацца
abstention	0.271	0.264	0.509	устрыманне
abstinence	0.260	0.392	0.429	ўстрыманне
abstract	0.438	0.292	0.444	анатацыя
abstraction	0.469	0.439	0.525	абстракцыя
absurd	0.188	0.656	0.284	абсурд
absurdity	0.115	0.528	0.227	абсурд
abundance	0.812	0.690	0.852	багацце
abundant	0.958	0.590	0.760	багаты
abuse	0.071	0.873	0.469	злоўжыванне
abused	0.021	0.874	0.235	злоўжывалі
abusive	0.125	0.903	0.567	абразлівы
abutment	0.500	0.265	0.616	абатмент
aby	0.385	0.452	0.368	абы
abysmal	0.250	0.710	0.598	бездань
abyss	0.353	0.725	0.296	бездань
academic	0.781	0.420	0.812	акадэмічны
academy	0.704	0.473	0.792	акадэміі
accede	0.698	0.510	0.537	далучыцца
accelerant	0.643	0.844	0.802	паскаральнік
accelerate	0.615	0.902	0.759	паскорыць
accelerated	0.610	0.812	0.682	паскораны
acceleration	0.704	0.905	0.843	паскарэнне
accelerator	0.593	0.830	0.812	паскаральнік
accent	0.598	0.357	0.509	акцэнт
accentuate	0.673	0.556	0.667	акцэнтаваць
accept	0.847	0.286	0.565	прыняць
acceptable	0.812	0.286	0.583	прымальна
acceptance	0.833	0.287	0.755	прыняцце
acceptances	0.847	0.413	0.648	прыняцці
access	0.714	0.472	0.567	доступ
accessible	0.796	0.410	0.645	даступныя
accession	0.612	0.383	0.636	далучэнне
accessory	0.562	0.292	0.445	аксэсуар
